,https://roic.ai/company/CNFR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,19588000,43495000,60929000,83632000,104185000,96348000,94186000,94633000,107325000,115963000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,103488000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.9642,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6520000,9161000,12139000,14806000,17596000,17367000,17683000,17582000,18468000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6520000,9161000,12139000,14806000,17596000,17367000,17683000,17582000,18468000,- -
9,Other Expenses,- -,23839000,55861000,56194000,85404000,101633000,90317000,87418000,- -,16509000
10,Operating Expenses,- -,33000000,68000000,71000000,103000000,119000000,108000000,105000000,18468000,16509000
11,COGS and Expenses,19191000,33193000,68149000,70640000,102526000,118891000,108376000,105119000,103726000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),428000,541000,584000,769000,647000,1362000,2644000,2882000,2925000,2852000
14,Depreciation and Amortization,248000,268000,371000,398000,401000,372000,386000,453000,437000,- -
15,EBITDA,1073000,1161000,-6261000,1279000,-7466000,-20255000,-6145000,-5400000,3963000,1142000
16,EBITDA ratio,0.0548,0.0267,-0.1028,0.0153,-0.0717,-0.2102,-0.0652,-0.0571,0.0369,0.0098
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,2310000,1582000,2109000,-85258000,- -
20,Income Before Tax,397000,283000,-7220000,83000,-8643000,-22054000,-9465000,-9121000,-238000,-1710000
21,Income Before Tax Ratio,0.0203,0.0065,-0.1185,0.0010,-0.0830,-0.2289,-0.1005,-0.0964,-0.0022,-0.0147
22,Income Tax expense (Gain),-16000,3000,-281000,48000,-77000,-447000,52000,-913000,6000,-616000
23,Net Income,413000,349000,-6935000,64000,-8437000,-21542000,-9227000,-7822000,595000,-1094000
24,Net Income ratio,0.0211,0.0080,-0.1138,0.0008,-0.0810,-0.2236,-0.0980,-0.0827,0.0055,-0.0094
25,EPS,0.08,0.05,-1.02,-0.09,-1.11,-2.74,-1.08,-0.88,0.06,-0.11
26,EPS Diluted,0.08,0.05,-1.02,-0.09,-1.11,-2.74,-1.08,-0.88,0.06,-0.11
27,Weighted Average Shares Outstanding,4949162,6393784,4949162,5369960,7618588,7867344,8543876,8880107,9625059,9691998
28,Weighted Average Shares Outstanding Diluted,4949162,6403308,4949162,5369960,7618588,7867344,8543876,8880107,9625059,9691998
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1502292/000150229216000019/0001502292-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229217000007/0001502292-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229218000011/0001502292-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000150229219000008/0001502292-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459020010435/0001564590-20-010435-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459021012548/0001564590-21-012548-index.htm,https://www.sec.gov/Archives/edgar/data/1502292/000156459022009601/0001564590-22-009601-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,11296000,18488000,12703000,12493000,11868000,10792000,7464000,8193000,9913000
32,Short-Term Investments,- -,9282000,16749000,6391000,10788000,147963000,129365000,162426000,165316000,23013000
33,Cash and Short-Term Investments,- -,20578000,35237000,19094000,23281000,159831000,140157000,169890000,173509000,32926000
34,Net Receivables,- -,16698000,19617000,26846000,33787000,48579000,59574000,48215000,46526000,21197000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,84487000,83955000,-38892000,-48837000,-210641000,-211842000,- -
37,Total Current Assets,- -,- -,- -,130427000,141023000,169518000,150894000,7464000,8193000,54123000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,1104000,1104000,- -,- -,- -,- -,- -,- -,- -
