,https://roic.ai/company/WWW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,389500000,341700000,321100000,323700000,323600000,322200000,313800000,293100000,333100000,378500000,414000000,511000000,- -,665100000,669300000,701300000,720100000,827100000,- -,888900000,1060999000,1141900000,1198972000,- -,1220600000,1101100000,1409068000,1640800000,2691100000,- -,2761100000,2494600000,2350000000,2239200000,2273700000,- -,1791100000
2,COGS,270100000,240900000,221100000,224900000,222100000,219600000,208500000,201000000,227900000,253100000,290500000,355200000,- -,461000000,456700000,477300000,463000000,532900000,- -,562300000,655800000,700300000,727041000,- -,734500000,663500000,852316000,1008200000,1619000000,- -,1673800000,1534700000,1426600000,1317900000,1349900000,- -,1055500000
3,Gross Profit,119400000,100800000,100000000,98800000,101500000,102600000,105300000,92100000,105200000,125400000,123500000,155800000,- -,204100000,212600000,224000000,257100000,294200000,- -,326600000,405199000,441600000,471931000,- -,486100000,437600000,556752000,632600000,1072100000,- -,1087300000,959900000,923400000,921300000,923800000,- -,735600000
4,Gross Profit Ratio,0.3065,0.2950,0.3114,0.3052,0.3137,0.3184,0.3356,0.3142,0.3158,0.3313,0.2983,0.3049,- -,0.3069,0.3176,0.3194,0.3570,0.3557,- -,0.3674,0.3819,0.3867,0.3936,- -,0.3982,0.3974,0.3951,0.3855,0.3984,- -,0.3938,0.3848,0.3929,0.4114,0.4063,- -,0.4107
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,90300000,86000000,107500000,- -,137200000,143400000,47000,22000,46000,- -,48000,- -,-43000,- -,- -,345200000,316400000,- -,481900000,830700000,- -,815200000,- -,706000000,654100000,669300000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198953000,182178000,217154000,- -,246652000,- -,318243000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",106600000,95000000,84200000,80600000,84000000,84800000,85600000,74300000,80400000,90300000,86000000,107500000,- -,137200000,143400000,199000000,182200000,217200000,- -,246700000,291891000,318200000,333151000,- -,345183000,316378000,386534000,481899000,830700000,- -,815200000,758000000,713700000,654100000,669300000,- -,639400000
9,Other Expenses,5700000,5400000,5200000,5000000,4900000,5100000,5000000,5200000,5200000,5700000,- -,- -,- -,3400000,0,-0,0,-100000,- -,0,- -,100000,- -,- -,17000,35522000,- -,42201000,62200000,- -,43500000,- -,178100000,15900000,83500000,- -,11100000
10,Operating Expenses,112300000,100400000,89400000,85600000,88900000,89900000,90600000,79500000,85600000,96000000,86000000,107500000,- -,140600000,143400000,199000000,182200000,217100000,- -,246700000,291891000,318300000,333151000,- -,345200000,351900000,386534000,524100000,892900000,- -,858700000,758000000,891800000,670000000,752800000,- -,650500000
11,COGS and Expenses,382400000,341300000,310500000,310500000,311000000,309500000,299100000,280500000,313500000,349100000,376500000,462700000,- -,601600000,600100000,676300000,645200000,750000000,- -,809000000,947691000,1018600000,1060192000,- -,1079700000,1015400000,1238850000,1532300000,2511900000,- -,2532500000,2292700000,2318400000,1987900000,2102700000,- -,1706000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757000,383000,370000,565000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2850000,494000,1395000,14597000,52000000,- -,45400000,34800000,32100000,24500000,30000000,- -,43600000
14,Depreciation and Amortization,5700000,5400000,5200000,5000000,4900000,5100000,5000000,5200000,5200000,5700000,5800000,7100000,- -,9200000,13000000,17700000,17600000,16800000,- -,18000000,20040000,20600000,22791000,- -,20700000,17600000,15907000,27700000,56200000,- -,53300000,43500000,37200000,31500000,32700000,- -,32800000
15,EBITDA,8800000,-9400000,12500000,13900000,15200000,-1100000,9600000,-3900000,21100000,29700000,39900000,54800000,- -,70200000,74900000,32700000,86100000,88300000,- -,93000000,131287000,142800000,161362000,- -,164150000,103794000,186212000,136411000,235300000,- -,279400000,189000000,59700000,283200000,208200000,- -,-106000000
16,EBITDA ratio,0.0226,-0.0275,0.0389,0.0429,0.0470,-0.0034,0.0306,-0.0133,0.0633,0.0785,0.0964,0.1072,- -,0.1055,0.1119,0.0466,0.1196,0.1068,- -,0.1046,0.1237,0.1251,0.1346,- -,0.1345,0.0943,0.1322,0.0831,0.0874,- -,0.1012,0.0758,0.0254,0.1265,0.0916,- -,-0.0592
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113724000,192300000,- -,229900000,159900000,23900000,251900000,171000000,- -,-137100000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0693,0.0715,- -,0.0833,0.0641,0.0102,0.1125,0.0752,- -,-0.0765
19,Total Other Income Expenses (Gains),-4000000,-15200000,-3300000,-4300000,-2300000,-18900000,-10100000,-6100000,-3700000,-3900000,-3400000,-600000,- -,-2400000,-7400000,-10000000,-6400000,-5400000,- -,-4800000,-2061000,-1000000,-209000,- -,-200000,100000,-1308000,-19524000,-64600000,- -,-48400000,-49400000,-34500000,-24500000,-25100000,- -,-47000000
20,Income Before Tax,3100000,-14800000,7300000,8900000,10300000,-6200000,4600000,6500000,15900000,25500000,34100000,47700000,- -,61100000,61800000,15000000,68500000,71700000,- -,75100000,111247000,122300000,138571000,- -,140600000,85700000,168910000,94200000,127700000,- -,181500000,110500000,-10600000,227400000,145900000,- -,-184100000
21,Income Before Tax Ratio,0.0080,-0.0433,0.0227,0.0275,0.0318,-0.0192,0.0147,0.0222,0.0477,0.0674,0.0824,0.0933,- -,0.0919,0.0923,0.0214,0.0951,0.0867,- -,0.0845,0.1049,0.1071,0.1156,- -,0.1152,0.0778,0.1199,0.0574,0.0475,- -,0.0657,0.0443,-0.0045,0.1016,0.0642,- -,-0.1028
22,Income Tax expense (Gain),-900000,-2200000,800000,1200000,3000000,-500000,1300000,1900000,4400000,7400000,10000000,14800000,- -,19500000,20200000,4300000,23300000,23600000,- -,23300000,36780000,38600000,45685000,- -,44800000,23800000,45623000,13414000,26700000,- -,47600000,23000000,-9900000,27100000,17000000,- -,-45500000
23,Net Income,4000000,-12600000,6500000,7700000,7300000,-5700000,3300000,-11000000,11500000,16600000,24100000,32900000,- -,41500000,41700000,10700000,45200000,47900000,- -,51700000,74467000,83600000,92886000,- -,95800000,61900000,123287000,80700000,100400000,- -,133100000,87700000,300000,200100000,128500000,- -,-136900000
24,Net Income ratio,0.0103,-0.0369,0.0202,0.0238,0.0226,-0.0177,0.0105,-0.0375,0.0345,0.0439,0.0582,0.0644,- -,0.0624,0.0623,0.0153,0.0628,0.0579,- -,0.0582,0.0702,0.0732,0.0775,- -,0.0785,0.0562,0.0875,0.0492,0.0373,- -,0.0482,0.0352,0.0001,0.0894,0.0565,- -,-0.0764
25,EPS,0.00,-0.02,0.01,0.01,0.01,-0.01,0.00,-0.01,0.02,0.15,0.21,0.26,- -,0.33,0.33,0.09,0.37,0.40,- -,0.44,0.67,0.76,0.89,- -,0.98,0.62,1.28,0.82,1.00,- -,1.31,0.90,0.00,2.18,1.58,- -,-1.67
26,EPS Diluted,0.00,-0.02,0.01,0.01,0.01,-0.01,0.00,-0.01,0.01,0.15,0.21,0.26,- -,0.32,0.32,0.09,0.36,0.38,- -,0.42,0.64,0.73,0.85,- -,0.95,0.62,1.24,0.81,0.99,- -,1.30,0.89,0.00,2.05,1.44,- -,-1.70
27,Weighted Average Shares Outstanding,108893554,109091454,107964018,101652174,102113944,99376312,99376312,101289356,103625188,110575658,115372340,128739130,- -,124500000,125100000,123346154,122270270,120786555,- -,117536364,111980451,110061842,104955932,- -,98207132,96348950,96342064,98667202,100745458,- -,101836338,97124615,96060308,91703525,81147738,- -,82141495
28,Weighted Average Shares Outstanding Diluted,108893554,109091454,107964018,101652174,102113944,99376312,99376312,101289356,103625188,112050000,116196429,128739130,- -,129687500,128969072,123346154,126841121,124987826,- -,122163780,117270866,113805442,109277647,- -,100864211,99858065,97456000,98667202,100745458,- -,101836338,97124615,96060308,95000000,87200000,- -,82141495
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/110471/000090572995000017/0000905729-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572996000049/0000905729-96-000049-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572997000052/0000905729-97-000052-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/110471/000090572999000076/0000905729-99-000076-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572901500086/0000905729-01-500086-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572902000051/0000905729-02-000051-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572903000154/0000905729-03-000154-index.html,undefined,https://www.sec.gov/Archives/edgar/data/110471/000090572904000147/0000905729-04-000147-index.html,https://www.sec.gov/Archives/edgar/data/110471/000090572906000156/www10k_031506.htm,https://www.sec.gov/Archives/edgar/data/110471/000090572907000103/www10k_022807.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/110471/000136231009003153/0001362310-09-003153-index.html,https://www.sec.gov/Archives/edgar/data/110471/000095012310020483/0000950123-10-020483-index.html,https://www.sec.gov/Archives/edgar/data/110471/000119312512089426/0001193125-12-089426-index.html,https://www.sec.gov/Archives/edgar/data/110471/000119312513079739/0001193125-13-079739-index.html,https://www.sec.gov/Archives/edgar/data/110471/000011047114000003/wolverineform10-k2013.htm,undefined,https://www.sec.gov/Archives/edgar/data/110471/000011047115000012/wolverineform10-k2014.htm,https://www.sec.gov/Archives/edgar/data/110471/000011047117000010/0000110471-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/110471/000011047118000010/0000110471-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/110471/000011047119000009/0000110471-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/110471/000011047120000008/0000110471-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/110471/000011047121000008/0000110471-21-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13500000,18400000,2300000,2400000,3200000,2500000,2200000,2400000,3700000,2900000,27100000,8500000,- -,5800000,6200000,8400000,35800000,27100000,- -,55400000,85258000,124700000,76087000,- -,89500000,160400000,140012000,171400000,214200000,- -,223800000,369800000,481000000,143100000,180600000,- -,347400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13500000,18400000,2300000,2400000,3200000,2500000,2200000,2400000,3700000,2900000,27100000,8500000,- -,5800000,6200000,8400000,35800000,27100000,- -,55400000,85258000,124700000,76087000,- -,89500000,160400000,140012000,171400000,214200000,- -,223800000,369800000,481000000,143100000,180600000,- -,347400000
34,Net Receivables,56400000,48600000,57500000,59900000,62800000,61800000,67000000,51500000,62400000,70700000,86300000,128100000,- -,145200000,156900000,162000000,152300000,156300000,- -,146900000,157119000,152600000,179934000,- -,167900000,163800000,219963000,353600000,398100000,- -,312700000,263300000,271300000,361200000,331200000,- -,268300000
35,Inventory,96200000,68400000,71500000,72300000,73400000,71600000,77900000,64300000,70600000,79000000,88400000,117400000,- -,143800000,167000000,144200000,177000000,169000000,- -,164900000,161347000,184300000,165852000,- -,196800000,158100000,234757000,466200000,428200000,- -,414000000,348700000,276700000,317600000,348200000,- -,243100000
36,Other Current Assets,17000000,7000000,2100000,3500000,2200000,5800000,8400000,29500000,12800000,15900000,13100000,10600000,- -,9100000,10900000,10500000,9700000,10900000,- -,19400000,17024000,23700000,23768000,- -,19600000,21200000,39764000,83700000,77500000,- -,91700000,49600000,45300000,45800000,107100000,- -,45400000
37,Total Current Assets,183100000,142400000,133400000,138100000,141600000,141700000,155500000,147700000,149500000,168500000,214900000,264600000,- -,303900000,341000000,325100000,374800000,363300000,- -,386600000,420748000,485300000,445641000,- -,473800000,503500000,634496000,1074900000,1118000000,- -,1042200000,1031400000,1074300000,867700000,967100000,- -,904200000
38,PP&E,37000000,34500000,32300000,31500000,32200000,31600000,33500000,30500000,31600000,35300000,46900000,63000000,- -,90300000,111100000,102700000,99000000,97300000,- -,96000000,93202000,88000000,85417000,- -,85800000,74000000,78489000,149700000,151900000,- -,136800000,146100000,136700000,130900000,301800000,- -,267100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,19900000,14300000,15000000,- -,- -,- -,- -,- -,39573000,- -,- -,- -,38894000,1139700000,445300000,- -,438800000,424300000,429800000,424400000,438900000,- -,442400000
40,Intangible Assets,2500000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,- -,- -,- -,- -,- -,3300000,- -,1000000,43971000,11500000,8936000,- -,13600000,19600000,17375000,153500000,817200000,- -,802600000,762300000,681500000,676400000,682300000,- -,455300000
41,Intangible Assets,2500000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,- -,18800000,19900000,14300000,15000000,3300000,- -,1000000,43971000,11500000,48509000,- -,13600000,19600000,56269000,1293200000,1262500000,- -,1241400000,1186600000,1111300000,1100800000,1121200000,- -,897700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2800000,- -,4200000,5800000,9400000,12900000,100000,- -,13100000,- -,- -,3877000,- -,- -,- -,42349000,240500000,253900000,- -,217000000,2300000,84200000,107900000,99000000,- -,3200000
44,Other Non-Current Assets,6200000,7900000,10400000,14100000,15400000,16500000,19100000,25800000,24600000,26400000,19600000,28100000,- -,32500000,43700000,43100000,42000000,68000000,- -,82200000,68659000,86300000,54934000,- -,91600000,110800000,40049000,-143900000,-164100000,- -,-132900000,65300000,-7500000,-24200000,-9100000,- -,65200000
45,Total Non-Current Assets,45700000,44100000,42700000,45600000,47600000,48100000,52600000,56300000,56200000,61700000,68700000,97000000,- -,145800000,180500000,169500000,168900000,168700000,- -,192300000,205832000,185800000,192737000,- -,191000000,204400000,217156000,1539500000,1504200000,- -,1462300000,1400300000,1324700000,1315400000,1512900000,- -,1233200000
