,https://roic.ai/company/M&MFIN.NS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,5823166000,8291067000,12163914000,13817107000,15612252000,20435171000,28849006000,24608894000,30406178000,34417565000,37544007000,40398027000,51725944000,58782567000,65194646000,67979000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,544259000,797649000,969286000,1005615000,1078037000,1437610000,1875549000,2439171000,2941678000,2828105000,3476681000,4619315000,5725358000,2030243000,1819313000,1355500000
7,Selling and Marketing Exp.,236657000,296334000,307805000,205989000,271716000,571660000,- -,1202469000,1474789000,1627172000,1725103000,2255326000,2528573000,2205777000,2033869000,882800000
8,"Selling, General and Administrative Exp.",780916000,1093983000,1277091000,1211604000,1349753000,2009270000,1875549000,3641640000,4416467000,4455277000,5201784000,6874641000,8253931000,4236020000,3853182000,2238300000
9,Other Expenses,1333007000,2037194000,3697415000,4291140000,4107803000,3259459000,6215708000,4864109000,6184874000,7473341000,9129152000,11180658000,14093646000,19343508000,22582733000,19087200000
10,Operating Expenses,2113923000,3131177000,4974506000,5502744000,5457556000,5268729000,8091257000,8505749000,10601341000,11928618000,14330936000,18055299000,22347577000,23579528000,26435915000,21325500000
11,COGS and Expenses,2113923000,3131177000,4974506000,5502744000,5457556000,5268729000,8091257000,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,2136385000,3171530000,4465496000,5002119000,4927772000,6544776000,11239697000,36642550000,48180502000,54910405000,59390258000,65502888000,77727407000,99695290000,114576128000,117037900000
13,Interest Expense (Gain),2136385000,3171530000,4465496000,5002119000,4927772000,6544776000,11239697000,16520720000,22599070000,26189978000,28420458000,31607505000,34003847000,44053435000,54725838000,50671500000
14,Depreciation and Amortization,51733000,74256000,90038000,88299000,100772000,161469000,202852000,236590000,260805000,455076000,456978000,537232000,552115000,755334000,1468738000,1505200000
15,EBITDA,3809662000,5273187000,7343737000,8435011000,10427228000,14174479000,21045288000,30265172000,37371622000,40524119000,40967555000,40341651000,50898102000,72816549000,72108149000,61447400000
16,EBITDA ratio,0.6542,0.6360,0.6037,0.6105,0.6679,0.6936,0.7295,1.2298,1.2291,1.1774,1.0912,0.9986,0.9840,1.2387,1.1060,0.9039
17,Operating Income,3709243000,5159890000,7189408000,8314363000,10154696000,15166442000,20757749000,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.6370,0.6223,0.5910,0.6017,0.6504,0.7422,0.7195,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-2087699000,-3132489000,-4401205000,-4969882000,-4753285000,-7689302000,-11144770000,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,1621544000,2027401000,2788203000,3344481000,5401411000,7477140000,9612979000,13526581000,14615275000,13998686000,12241198000,8377545000,16617365000,28407616000,16020297000,9341400000
21,Income Before Tax Ratio,0.2785,0.2445,0.2292,0.2421,0.3460,0.3659,0.3332,0.5497,0.4807,0.4067,0.3260,0.2074,0.3213,0.4833,0.2457,0.1374
22,Income Tax expense (Gain),538820000,698567000,976850000,1147588000,1840470000,2540521000,3167768000,4237508000,4967533000,4750011000,4367183000,3080547000,6103027000,9734797000,5162120000,1538600000
23,Net Income,1082724000,1328834000,1811353000,2197005000,3558214000,4927713000,6434971000,9270354000,9544214000,9129054000,7722936000,5116367000,10239113000,18272983000,10751453000,7732100000
24,Net Income ratio,0.1859,0.1603,0.1489,0.1590,0.2279,0.2411,0.2231,0.3767,0.3139,0.2652,0.2057,0.1266,0.1979,0.3109,0.1649,0.1137
25,EPS,1.78,1.93,2.60,2.81,4.53,6.21,7.65,10.63,10.33,9.87,8.35,5.52,10.74,18.13,10.66,6.99
26,EPS Diluted,1.76,1.87,2.28,2.76,4.48,5.78,7.54,10.51,10.23,9.79,8.28,5.49,10.72,18.09,10.63,6.98
27,Weighted Average Shares Outstanding,586604714,684312781,697753441,783117063,785566705,793620536,841060434,872481213,923711855,924782359,925506123,926235900,953090153,1008076634,1008768828,1105895353
28,Weighted Average Shares Outstanding Diluted,593606614,704199877,794660856,794660856,794660856,852904589,852904589,882697832,932864399,932864399,932864399,932342697,954483008,1010261534,1010952585,1108279000
29,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
