,https://roic.ai/company/SFL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,486655000,365174000,695068000,492069000,437510000,424658000,398792000,475723000,369941000,336164000,295114000,317828000,268800000,323038000,404836000,410364000,379131000,416839000,456048000,471047000,513396000
2,COGS,- -,- -,230522000,106483000,113840000,119693000,107161000,100447000,91494000,81021000,81063000,150516000,163970000,186863000,198911000,230309000,219944000,232627000,250815000,266922000,295062000
3,Gross Profit,- -,- -,464546000,385586000,323670000,304965000,291631000,375276000,278447000,255143000,214051000,167312000,104830000,136175000,205925000,180055000,159187000,184212000,205233000,204125000,218334000
4,Gross Profit Ratio,- -,- -,0.6683,0.7836,0.7398,0.7181,0.7313,0.7889,0.7527,0.7590,0.7253,0.5264,0.3900,0.4215,0.5087,0.4388,0.4199,0.4419,0.4500,0.4333,0.4253
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,3812000,2447000,6584000,7783000,9836000,12191000,9097000,9885000,8942000,7549000,7609000,6737000,9072000,7432000,9167000,10203000,11400000,12974000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,6945000,9715000,3812000,2447000,6584000,7783000,9836000,12191000,9097000,9885000,8942000,7549000,7609000,6737000,9072000,7432000,9167000,10203000,11400000,12974000
9,Other Expenses,- -,- -,336537000,141100000,134401000,134183000,127797000,28038000,30236000,34201000,49929000,-1864000,-2060000,-4449000,-1904000,-2587000,-1747000,-1873000,-2801000,1771000,- -
10,Operating Expenses,- -,- -,346252000,144912000,136848000,140767000,135580000,37874000,42427000,43298000,59814000,7078000,5489000,3160000,4833000,6485000,5685000,7294000,7402000,13171000,12974000
11,COGS and Expenses,255937000,279083000,576774000,251395000,250688000,260460000,242741000,138321000,133921000,124319000,140877000,157594000,169459000,190023000,203744000,236794000,225629000,239921000,258217000,280093000,308036000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,3478000,240000,21107000,23401000,27174000,30080000,40451000,39142000,21736000,19330000,17951000,20064000,13400000,7450000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,127192000,117075000,101432000,103378000,88985000,75920000,74810000,58970000,60871000,81400000,113886000,136974000,126402000,90385000
14,Depreciation and Amortization,- -,96773000,106015000,34617000,19907000,14490000,23994000,31815000,35743000,34201000,49929000,55602000,58436000,67393000,78080000,94293000,88150000,104079000,116381000,117920000,151706000
15,EBITDA,212010000,114797000,440827000,297276000,229453000,195288000,191701000,340618000,345416000,301345000,284482000,330423000,223562000,265018000,337882000,301570000,270759000,291587000,342532000,19897000,406434000
16,EBITDA ratio,0.4356,0.3144,0.6342,0.6041,0.5245,0.4599,0.4807,0.7160,0.9337,0.8964,0.9640,1.0396,0.8317,0.8204,0.8346,0.7349,0.7142,0.6995,0.7511,0.0422,0.7917
17,Operating Income,230718000,86091000,348816000,347157000,300662000,293697000,304881000,337402000,209264000,211845000,162705000,207620000,117366000,145146000,166046000,168089000,154626000,117615000,137777000,-138174000,242838000
