,https://roic.ai/company/AREC,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,62429,147282,20820998,31524825,24477707,1059691,7755306
2,COGS,- -,60222,80922,23876294,31107964,36554798,8657328,7088951
3,Gross Profit,- -,2207,66360,-3055296,416861,-12077091,-7597637,666355
4,Gross Profit Ratio,- -,0.0354,0.4506,-0.1467,0.0132,-0.4934,-7.1697,0.0859
5,Research and Development Exp.,- -,- -,- -,6850062,3815235,7236652,3998885,- -
6,General and Administrative Exp.,84951,376926,338384,2072477,7539600,11864536,3563347,5161894
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",84951,376926,338384,2072477,7539600,11864536,3563347,5161894
9,Other Expenses,- -,30167,38500,1791051,1366322,1482349,1287496,- -
10,Operating Expenses,84951,407093,376884,10713590,12721157,20583537,8849728,5161894
11,COGS and Expenses,84951,467315,457806,34589884,43829121,57138335,17507056,12250845
12,Interest Income ,- -,- -,- -,298721,164166,164686,205857,230529
13,Interest Expense (Gain),- -,- -,- -,1035828,1959591,10633655,3394810,4159813
14,Depreciation and Amortization,- -,30167,38500,2557714,2940358,6245809,2794908,1980026
15,EBITDA,-80973,-394392,-679173,-10775023,-8008627,-54038838,-4066044,-26254484
16,EBITDA ratio,-Infinity,-6.3174,-4.6114,-0.5175,-0.2540,-2.2077,-3.8370,-3.3854
17,Operating Income,-84951,-404886,-754906,-14018886,-11496705,-59954174,-16447365,-28223408
18,Operating Income ratio,-Infinity,-6.4855,-5.1256,-0.6733,-0.3647,-2.4493,-15.5209,-3.6392
19,Total Other Income Expenses (Gains),-3979,-39569,35743,-6580,-1260607,-10964128,6191603,-4170915
20,Income Before Tax,-88930,-444455,-719163,-14025466,-12757312,-70918302,-10255762,-32394323
21,Income Before Tax Ratio,-Infinity,-7.1194,-4.8829,-0.6736,-0.4047,-2.8973,-9.6781,-4.1771
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-88930,-424559,-717673,-14368565,-12908576,-70918302,-10255762,-32394323
24,Net Income ratio,-Infinity,-6.8007,-4.8728,-0.6901,-0.4095,-2.8973,-9.6781,-4.1771
25,EPS,-0.38,-0.60,-0.90,-18.20,-3.69,-2.94,-0.35,-1.10
26,EPS Diluted,-0.38,-0.60,-0.90,-18.20,-3.69,-2.94,-0.35,-1.10
27,Weighted Average Shares Outstanding,233331,737916,836628,792391,3513513,24094420,29359993,29359993
