,https://roic.ai/company/MMMB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,4582845,8741621,780000,12339256,12603447,18048792,27543335,28522112,34837447,40758605
2,COGS,- -,- -,- -,3230589,6190595,540000,8803540,9006220,11555976,18282660,18531678,23766137,28019296
3,Gross Profit,- -,- -,- -,1352256,2551026,240000,3535716,3597227,6492816,9260675,9990434,11071310,12739309
4,Gross Profit Ratio,- -,- -,- -,0.2951,0.2918,0.3077,0.2865,0.2854,0.3597,0.3362,0.3503,0.3178,0.3126
5,Research and Development Exp.,- -,- -,- -,68372,19408,10000,100864,107632,144013,138000,130920,114626,110713
6,General and Administrative Exp.,- -,60000,21254,- -,5470586,470000,7185042,5748912,5941794,8059533,8294450,8873260,9150748
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,60000,21254,3271160,5470586,5470586,7185042,5748912,5941794,8059533,8294450,8873260,9150748
9,Other Expenses,- -,- -,- -,- -,- -,-5000586,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,60000,21254,3339532,5489994,480000,7285906,5856544,6085807,8197533,8425370,8987886,9261461
11,COGS and Expenses,- -,60000,21254,6570121,11680589,1020000,16089446,14862764,17641783,26480193,26957048,32754023,37280757
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,12347,8640,8640,310286,555071,667623,679974,1015016,550730,155615
14,Depreciation and Amortization,- -,- -,- -,12564,33891,33891,170113,285516,348814,538322,679005,749282,801312
15,EBITDA,- -,-60000,-21254,-1974712,-2905077,-197469,-3580077,-2671031,727297,1538036,2244069,2832706,4279160
16,EBITDA ratio,- -,-Infinity,-Infinity,-0.4309,-0.3323,-0.2532,-0.2901,-0.2119,0.0403,0.0558,0.0787,0.0813,0.1050
17,Operating Income,- -,-60000,-21254,-1987276,-2938968,-2938968,-3750190,-2259317,407009,1063142,-1565064,2083424,3477848
18,Operating Income ratio,- -,-Infinity,-Infinity,-0.4336,-0.3362,-3.7679,-0.3039,-0.1793,0.0226,0.0386,-0.0549,0.0598,0.0853
19,Total Other Income Expenses (Gains),- -,- -,- -,-12347,-8640,2698968,-310286,-1252301,-696149,-743402,2115112,-550730,-155615
20,Income Before Tax,- -,-60000,- -,-1999623,-2947608,-240000,-4060476,-3511618,-289140,319740,550048,1532694,3322233
21,Income Before Tax Ratio,- -,-Infinity,- -,-0.4363,-0.3372,-0.3077,-0.3291,-0.2786,-0.0160,0.0116,0.0193,0.0440,0.0815
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-744973
23,Net Income,- -,-60000,-21254,-1999623,-2947608,-240000,-4060476,-3511618,-289140,319740,550048,1532694,4067206
24,Net Income ratio,- -,-Infinity,-Infinity,-0.4363,-0.3372,-0.3077,-0.3291,-0.2786,-0.0160,0.0116,0.0193,0.0440,0.0998
25,EPS,- -,-0.00,-0.00,-0.12,-0.13,-0.13,-0.16,-0.14,-0.02,0.01,0.02,0.05,0.12
26,EPS Diluted,- -,-0.00,-0.00,-0.12,-0.13,-0.13,-0.16,-0.14,-0.02,0.01,0.02,0.04,0.12
27,Weighted Average Shares Outstanding,- -,104210000,101935860,17358333,22012920,22012920,25487778,26147913,27100316,29811521,31843755,31949803,33503208
28,Weighted Average Shares Outstanding Diluted,- -,104210000,101935860,17358333,22012920,22012920,25487778,26147913,27100316,32205577,32521821,34339256,34016581
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520358/000149315214000789/form10k.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315214003020/form10kt.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315215001673/0001493152-15-001673-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315216009105/0001493152-16-009105-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315217002786/0001493152-17-002786-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315218007220/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315219005779/0001493152-19-005779-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315220006975/0001493152-20-006975-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315221009285/0001493152-21-009285-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,13,2008161,2101441,1540000,854995,587422,666580,581322,609409,393683,3190560
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,13,2008161,2101441,1540000,854995,587422,666580,581322,609409,393683,3190560
34,Net Receivables,- -,- -,- -,815721,1845370,1800000,4446248,3725363,3897528,3084715,2698562,3727887,3973793
35,Inventory,- -,- -,- -,76570,112279,160000,301170,252752,443623,824276,1396400,1246417,1195211
36,Other Current Assets,- -,- -,- -,64178,135525,740000,107242,154458,135747,261980,155178,252268,519887
37,Total Current Assets,- -,- -,13,2964630,4194615,4240000,5709655,4719995,5143478,4752293,4859549,5620255,8879451
38,PP&E,- -,- -,- -,17451,929496,980000,1124745,1047455,1175508,2499875,2884594,4296637,4316085
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87639
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744973
44,Other Non-Current Assets,- -,- -,- -,- -,- -,50000,101197,26620,- -,20177,20177,20177,20177
45,Total Non-Current Assets,- -,- -,- -,17451,929496,1030000,1225942,1074075,1175508,2520052,2904771,4316814,5168874
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,13,2982081,5124111,5270000,6935597,5794070,6318986,7272345,7764320,9937069,14048325
48,Accounts Payable,- -,- -,5500,329233,- -,- -,- -,- -,- -,3456918,3061932,3552790,- -
49,Short-Term Debt,- -,- -,- -,200000,- -,220000,1529098,4011429,2905055,4198784,500000,423799,338238
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,18550,- -,823044,600000,1216436,769551,484752,- -,53730,231642,3707111
53,Total Current Liabilities,- -,- -,24050,529233,823044,820000,2745534,4780980,3389807,7655702,3615662,4208231,4045349
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2027447,389767,1929803,1551333,5168279,3639192,1693230
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162527,1687583,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2027447,389767,1929803,1551333,5330806,5326775,1693230
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216257,1919225,2031468
61,Total Liabilities,- -,- -,24050,529233,823044,820000,4772981,5170747,5319610,9207035,8946468,9535006,5738579
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1042,20054,242,- -,260,266,279,318,320,321,357
64,Retained Earnings,- -,-60000,-84757,-3352033,-6299641,-6540000,-10603761,-14182371,-14676432,-18130303,-17580255,-16144110,-12076904
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-52521,-60000,-226775,-512291,-861105,-2074852,-2753857,-3394103,- -
66,Other Total Stockholders Equity,- -,- -,59678,- -,10652987,11050000,12992892,15317719,16536634,18270147,19151644,19939955,20386293
67,Total Stockholders Equity,- -,- -,-24037,2452848,4301067,4301067,2162616,623323,999376,-1934690,-1182148,402063,8309746
68,Total Liabilities And Stockholders Equity,- -,- -,13,2982081,5124111,5121067,6935597,5794070,6318986,7272345,7764320,9937069,14048325
69,Minority Interest,- -,- -,- -,- -,- -,148933,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,13,2982081,5124111,5270000,6935597,5794070,6318986,7272345,7764320,9937069,14048325
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520358/000149315214000789/form10k.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315214003020/form10kt.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315215001673/0001493152-15-001673-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315216009105/0001493152-16-009105-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315217002786/0001493152-17-002786-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315218007220/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1520358/000149315219005779/0001493152-19-005779-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315220006975/0001493152-20-006975-index.html,https://www.sec.gov/Archives/edgar/data/1520358/000149315221009285/0001493152-21-009285-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,-60000,-21254,-1999623,-2947608,-240000,-4060476,-3511618,-289140,319740,550048,1532694,4067206
74,Depreciation and Amortization,- -,- -,- -,12564,33891,33891,170113,285516,348814,538322,679005,749282,801312
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-744973
76,Stock Based Compensation,- -,- -,- -,- -,162933,162933,266362,245547,598200,428240,162494,93862,52895
77,Change in Working Capital,- -,- -,-24037,-106155,936174,48429,-455879,-3025106,1814656,-4657080,4147296,168137,3422078
78,Accounts Receivable,- -,- -,- -,117914,-600284,-600284,-1203579,756629,-341238,-1266895,386153,-1077063,-245906
79,Inventory,- -,- -,- -,24540,-35709,-35709,-141341,48418,-190871,-17653,-572124,101172,51206
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1332038,- -,- -,- -
81,Other Working Capital,- -,- -,-24037,-90096,3371571,3420000,2964121,-60985,1753671,-2903409,1243887,1412024,4834102
82,Other Non-Cash Items,- -,- -,26037,- -,-2006988,-3826851,-927484,4745402,-1989738,4686278,-4095435,-729286,-3899978
83,Cash Provided by Operating Activities,- -,-60000,-19254,-2093214,-3821598,-3821598,-5007364,-1260259,482792,1315500,1443408,1814689,3698540
84,CAPEX,- -,- -,- -,-10000,-877522,-877522,- -,-208226,-476867,-1474816,-1033724,-268106,-451940
85,Acquisitions Net,- -,- -,- -,- -,-295000,-295000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-8288,- -,- -,-316831,- -,- -,- -,- -,- -,-32567
89,Cash Used for Investing Activites,- -,- -,- -,-18288,-1172522,-1172522,-316831,-208226,-476867,-1474816,-1033724,-268106,-451940
