,https://roic.ai/company/HWC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,41700000,52500000,76000000,93800000,97700000,101500000,124400000,133200000,142100000,144200000,169325597,175146661,187851734,230321470,234944000,259785000,287081000,328300000,323758000,337213000,385754000,407162000,727569000,959614000,929112000,894795000,868205000,915815000,1062520000,1109324000,1210531000,1265969000,1297569000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,16300000,20600000,25800000,28500000,30600000,34900000,41300000,42400000,46500000,50800000,61595623,59185839,67621811,77299554,81409000,86404000,94158000,103753000,106959000,109773000,121449000,142042000,361165000,477250000,456382000,424510000,440381000,458018000,505804000,517604000,561401000,577769000,591709000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5232000,6642000,7032000,- -,- -,- -,17687000,13515000,10399000,8937000,11225000,10938000,15031000,12334000,15251000,13011000,12441000
8,"Selling, General and Administrative Exp.",16300000,20600000,25800000,28500000,30600000,34900000,41300000,42400000,46500000,50800000,61595623,59185839,67621811,77299554,81409000,86404000,99390000,110395000,113991000,109773000,121449000,142042000,378852000,490765000,466781000,433447000,451606000,468956000,520835000,529938000,576652000,590780000,604150000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,80700000,102100000,124800000,126600000,123200000,130400000,161600000,171500000,183900000,193700000,207674735,216946667,234869453,230781038,218149000,226774000,263631000,344330000,345865000,335437000,323727000,352558000,592204000,762549000,722210000,692813000,679646000,732167000,900581000,1028268000,1125782000,1057981000,982258000
13,Interest Expense (Gain),49800000,62700000,68800000,52300000,45300000,48400000,61200000,64800000,71700000,81800000,83961382,94250646,101361656,72052968,57961000,57270000,74819000,119863000,140236000,126002000,95300000,82345000,70971000,51682000,41479000,38119000,54472000,73051000,108269000,179430000,230565000,115458000,49023000
14,Depreciation and Amortization,2900000,3400000,3700000,3900000,3800000,6000000,6800000,7000000,7000000,7600000,7693612,12028544,12791068,9541416,22396000,16652000,11642000,1817000,16037000,17403000,16966000,16410000,41156000,64923000,61698000,57108000,52947000,48144000,50559000,48582000,51746000,50044000,45778000
15,EBITDA,59000000,75600000,88900000,82100000,80900000,86100000,108100000,118600000,126700000,134800000,137953217,159998854,171270559,155163400,159939000,162219000,159364000,270026000,258084000,230390000,209960000,160666000,206950000,313960000,319043000,337414000,277184000,308118000,467262000,610128000,675050000,40757000,662857000
16,EBITDA ratio,1.4149,1.4400,1.1697,0.8753,0.8280,0.8483,0.8690,0.8904,0.8916,0.9348,0.8147,0.9135,0.9117,0.6737,0.6808,0.6244,0.5551,0.8225,0.7972,0.6832,0.5443,0.3946,0.2844,0.3272,0.3434,0.3771,0.3193,0.3364,0.4398,0.5500,0.5576,0.0322,0.5108
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,6300000,9500000,16400000,25900000,31800000,31700000,40100000,46800000,48000000,44200000,46298223,53719664,57117835,73569016,79582000,88297000,72903000,148346000,101811000,86985000,97694000,61911000,94823000,197355000,215865000,242187000,169765000,186923000,308434000,382116000,392739000,-124745000,568056000
21,Income Before Tax Ratio,0.1511,0.1810,0.2158,0.2761,0.3255,0.3123,0.3223,0.3514,0.3378,0.3065,0.2734,0.3067,0.3041,0.3194,0.3387,0.3399,0.2539,0.4519,0.3145,0.2580,0.2533,0.1521,0.1303,0.2057,0.2323,0.2707,0.1955,0.2041,0.2903,0.3445,0.3244,-0.0985,0.4378
22,Income Tax expense (Gain),-300000,1500000,4000000,6700000,9700000,9900000,13100000,15200000,17400000,14400000,14588153,16896084,17862695,22525553,24627000,26593000,18871000,46544000,27919000,21619000,22919000,9705000,18064000,45613000,52510000,66465000,38304000,37627000,92802000,58346000,65359000,-79571000,104841000
23,Net Income,6600000,8000000,12400000,19200000,22100000,21800000,27000000,31600000,30600000,31000000,31710070,36823580,39255140,51043463,54955000,61704000,54032000,101802000,73892000,65366000,74775000,52206000,76759000,151742000,163356000,175722000,131461000,149296000,215632000,323770000,327380000,-45174000,463215000
24,Net Income ratio,0.1583,0.1524,0.1632,0.2047,0.2262,0.2148,0.2170,0.2372,0.2153,0.2150,0.1873,0.2102,0.2090,0.2216,0.2339,0.2375,0.1882,0.3101,0.2282,0.1938,0.1938,0.1282,0.1055,0.1581,0.1758,0.1964,0.1514,0.1630,0.2029,0.2919,0.2704,-0.0357,0.3570
25,EPS,0.35,0.42,0.64,0.79,0.89,0.83,0.88,1.03,0.94,0.97,0.97,1.13,1.18,1.53,1.71,1.91,1.67,3.13,2.31,2.08,2.28,1.41,1.16,1.77,1.93,2.10,1.64,1.87,2.49,3.72,3.72,-0.54,5.35
26,EPS Diluted,0.35,0.42,0.64,0.79,0.89,0.83,0.88,1.03,0.94,0.96,0.97,1.13,1.18,1.50,1.65,1.87,1.64,3.06,2.27,2.05,2.26,1.40,1.15,1.75,1.93,2.10,1.64,1.87,2.48,3.72,3.72,-0.54,5.35
27,Weighted Average Shares Outstanding,18669910,18888194,19365317,24189586,24819051,26114583,30540984,30779221,32553191,32068966,32690794,32587239,32052075,31524575,30675660,32305759,32354491,32524601,31987879,31491000,32747000,36876000,65590000,84767000,83066000,83677143,80159146,79837433,86599197,85441129,86514516,86907407,88296795
28,Weighted Average Shares Outstanding Diluted,18669910,18888194,19365317,24189586,24819051,26114583,30593840,30779221,32553191,32179931,32690794,32587239,32142618,32260149,31794529,32996791,32946341,33268627,32551542,31883000,32934000,37054000,66070000,85588000,83167000,83677143,80159146,79837433,86599197,85521000,86599000,86907407,88296795
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/0000950134-96-001158-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000103079801000065/0001030798-01-000065-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000103079805000026/0001030798-05-000026-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000116923208001039/d73726_10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000116923209001195/0001169232-09-001195-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312510033208/0001193125-10-033208-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312511050016/d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312512085826/0001193125-12-085826-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312513083995/0001193125-13-083995-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312514076371/d643369d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312515070213/d837451d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312516482143/0001193125-16-482143-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057717000009/0000750577-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057718000009/0000750577-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057719000004/0000750577-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/750577/000156459020006172/0001564590-20-006172-index.html,https://www.sec.gov/Archives/edgar/data/750577/000156459021009576/0001564590-21-009576-index.htm,https://www.sec.gov/Archives/edgar/data/750577/000156459022007023/0001564590-22-007023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,56900000,76200000,80900000,104400000,92400000,116300000,125900000,122400000,115200000,161400000,156838459,134256781,173241011,192054665,183636000,163923000,278362000,200311000,191175000,211130000,786795000,503753000,1622169000,1947476000,615676000,1158031000,868545000,449924000,479105000,493951000,542065000,1859658000,4231378000
