,https://roic.ai/company/INPX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,7003549,4237789,50571557,62949000,66957000,53167000,45134000,3756000,6301000,9297000,15995000
2,COGS,4312281,2344592,38317246,44209000,47628000,38240000,34312000,1076000,1609000,2613000,4374000
3,Gross Profit,2691268,1893197,12254311,18740000,19329000,14927000,10822000,2680000,4692000,6684000,11621000
4,Gross Profit Ratio,0.3843,0.4467,0.2423,0.2977,0.2887,0.2808,0.2398,0.7135,0.7446,0.7189,0.7265
5,Research and Development Exp.,- -,- -,- -,- -,635000,2277000,1813000,1231000,3893000,6523000,14121000
6,General and Administrative Exp.,2695504,2298568,12992471,22472000,14255000,15269000,18507000,14149000,13660000,15261000,41352000
7,Selling and Marketing Exp.,- -,- -,- -,- -,11531000,8500000,6578000,1726000,3043000,5331000,8261000
8,"Selling, General and Administrative Exp.",2695504,2298568,12992471,22472000,25786000,23769000,25085000,15875000,16703000,20592000,49613000
9,Other Expenses,- -,- -,821652,2913000,3994000,5405000,5012000,3232000,14256000,4676000,-2878000
10,Operating Expenses,2695504,2298568,13814123,25385000,30415000,31451000,31910000,20338000,34852000,31791000,60856000
11,COGS and Expenses,7007785,4643160,52131369,69594000,78043000,69691000,66222000,21414000,36461000,34404000,65230000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1183000
13,Interest Expense (Gain),30890,350201,315299,387000,448000,1743000,3821000,1241000,2277000,2426000,- -
14,Depreciation and Amortization,83198,99204,943536,3206000,4647000,5794000,6960000,6252000,5220000,3861000,7128000
15,EBITDA,109165,-244441,-3004569,-3943000,-6623000,-19577000,-24232000,-17079000,-27078000,-22998000,-63439000
16,EBITDA ratio,0.0156,-0.0577,-0.0594,-0.0626,-0.0989,-0.3682,-0.5369,-4.5471,-4.2974,-2.4737,-3.9662
17,Operating Income,-48373,-455414,-3915904,-7706000,-11441000,-23723000,-29485000,-18402000,-20810000,-23794000,-72617000
18,Operating Income ratio,-0.0069,-0.1075,-0.0774,-0.1224,-0.1709,-0.4462,-0.6533,-4.8994,-3.3027,-2.5593,-4.5400
19,Total Other Income Expenses (Gains),79225,-329211,-619558,54000,-287000,-3022000,-5510000,-1381000,-13756000,-5476000,1075000
20,Income Before Tax,30852,-784625,-4535462,-7652000,-11728000,-26745000,-34995000,-19783000,-34566000,-29270000,-71542000
21,Income Before Tax Ratio,0.0044,-0.1851,-0.0897,-0.1216,-0.1752,-0.5030,-0.7754,-5.2670,-5.4858,-3.1483,-4.4728
22,Income Tax expense (Gain),30606,- -,- -,- -,- -,- -,- -,- -,-584000,-56000,-1412000
23,Net Income,-35529,-693846,-4263404,-7536000,-11718000,-27114000,-35013000,-24572000,-33991000,-29229000,-69155000
24,Net Income ratio,-0.0051,-0.1637,-0.0843,-0.1197,-0.1750,-0.5100,-0.7758,-6.5421,-5.3945,-3.1439,-4.3235
25,EPS,-0.00,-0.00,-532925.50,-314000.00,-390600.00,-695230.77,-66983.15,-2602.38,-47.52,-1.01,-0.72
