,https://roic.ai/company/VERX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,272403000,321500000,374665000,425548000
2,COGS,95698000,110378000,165387000,161892000
3,Gross Profit,176705000,211122000,209278000,263656000
4,Gross Profit Ratio,0.6487,0.6567,0.5586,0.6196
5,Research and Development Exp.,23755000,30557000,54340000,44018000
6,General and Administrative Exp.,58947000,71014000,149057000,107009000
7,Selling and Marketing Exp.,56898000,68127000,99418000,99005000
8,"Selling, General and Administrative Exp.",115845000,139141000,248475000,206014000
9,Other Expenses,7246000,9569000,11221000,16566000
10,Operating Expenses,146846000,179267000,314036000,266598000
11,COGS and Expenses,242544000,289645000,479423000,428490000
12,Interest Income ,526000,1083000,- -,- -
13,Interest Expense (Gain),2120000,2036000,3111000,984000
14,Depreciation and Amortization,24901000,25190000,32215000,44782000
15,EBITDA,22594000,58128000,-72543000,41840000
16,EBITDA ratio,0.0829,0.1808,-0.1936,0.0983
17,Operating Income,-2833000,31855000,-104758000,-2942000
18,Operating Income ratio,-0.0104,0.0991,-0.2796,-0.0069
19,Total Other Income Expenses (Gains),-1594000,-953000,-3111000,-984000
20,Income Before Tax,-4427000,30902000,-107869000,-3926000
21,Income Before Tax Ratio,-0.0163,0.0961,-0.2879,-0.0092
22,Income Tax expense (Gain),1679000,7825000,-28932000,-2447000
23,Net Income,-6106000,23077000,-78937000,-1479000
24,Net Income ratio,-0.0224,0.0718,-0.2107,-0.0035
25,EPS,-29.08,0.20,-0.60,-0.01
26,EPS Diluted,-29.08,0.19,-0.60,-0.01
27,Weighted Average Shares Outstanding,210000,123186000,131511000,131511000
28,Weighted Average Shares Outstanding Diluted,210000,126929000,131511000,131511000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1806837/000155837021003017/0001558370-21-003017-index.htm,https://www.sec.gov/Archives/edgar/data/1806837/000155837022003777/0001558370-22-003777-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,55838000,75903000,303051000,73333000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,55838000,75903000,303051000,73333000
34,Net Receivables,62235000,70367000,77159000,76929000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,14248000,19287000,22481000,45409000
37,Total Current Assets,132321000,165557000,402691000,195671000
38,PP&E,- -,- -,56557000,118639000
39,Goodwill,- -,- -,18711000,272702000
40,Intangible Assets,23066000,32075000,31989000,33442000
41,Intangible Assets,23066000,32075000,50700000,306144000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,29974000,35298000
44,Other Non-Current Assets,59685000,66991000,15006000,14455000
45,Total Non-Current Assets,82751000,99066000,152237000,474536000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,215072000,264623000,554928000,670207000
48,Accounts Payable,6860000,10729000,8876000,13000000
49,Short-Term Debt,4910000,50804000,882000,4217000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,163939000,191745000,207560000,237344000
52,Other Current Liabilities,63043000,81251000,74650000,114571000
