,https://roic.ai/company/CLPT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,2669450,3818166,5058235,82037,121871,4594190,5749450,7379530,7353270,11216940,12829000,16299000
2,COGS,16314,656414,555703,1421148,1927138,1987640,2642760,2898810,2433070,3832880,3709000,5008000
3,Gross Profit,2653136,3161752,4502532,-1339111,-1805267,2606550,3106690,4480720,4920200,7384060,9120000,11291000
4,Gross Profit Ratio,0.9939,0.8281,0.8901,-16.3233,-14.8129,0.5674,0.5403,0.6072,0.6691,0.6583,0.7109,0.6927
5,Research and Development Exp.,5681031,4251476,2484503,2922912,3297112,1957330,2628180,2813730,2310140,2922280,4686000,8985000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,4046366,4325786,4299936,5270000,8761000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,3956455,3532040,4755516,5384000,6919000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,8002821,7857826,9055452,10654000,15680000
9,Other Expenses,4698786,4831814,5147307,7061286,8039455,8370751,7967249,3,-1,-1,- -,- -
10,Operating Expenses,10379817,9083290,7631810,9984198,11336567,10328081,10595429,10816554,10167965,11977731,15340000,24665000
11,COGS and Expenses,10396131,9739704,9070050,11405346,13263705,13568300,14050100,13715360,12601030,15810620,19049000,29673000
12,Interest Income ,10403,3481,14152,24544,11617,16455,8807,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1590471,2498204,2594807,499839,1018807,1262343,1060065,872926,980383,955166,1444000,-973000
14,Depreciation and Amortization,266223,354885,416970,426183,377261,211946,155707,116454,109439,250560,550000,692000
15,EBITDA,-7597541,-5458322,-2865941,-6160252,-3128664,-6974961,-6854128,-6177970,-5073648,-4334064,-4788000,-14691000
16,EBITDA ratio,-2.8461,-1.4296,-0.5666,-75.0911,-25.6719,-1.5182,-1.1921,-0.8372,-0.6900,-0.3864,-0.3732,-0.9013
17,Operating Income,-9515290,-5921538,-3129278,-7474771,-5320622,-8974109,-7488738,-6335837,-5247768,-4593678,-6220000,-13374000
18,Operating Income ratio,-3.5645,-1.5509,-0.6187,-91.1146,-43.6578,-1.9534,-1.3025,-0.8586,-0.7137,-0.4095,-0.4848,-0.8205
19,Total Other Income Expenses (Gains),61055,-2389873,-2748440,388497,795890,524859,-581162,-831513,-915702,-946112,-562000,-1036000
20,Income Before Tax,-9454235,-8311411,-5877718,-7086274,-4524732,-8449250,-8069900,-7167350,-6163470,-5539790,-6782000,-14410000
21,Income Before Tax Ratio,-3.5416,-2.1768,-1.1620,-86.3790,-37.1272,-1.8391,-1.4036,-0.9712,-0.8382,-0.4939,-0.5286,-0.8841
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-9454235,-8311411,-5877718,-7086274,-4524732,-8449250,-8069900,-7167350,-6163470,-5539790,-6782000,-14410000
24,Net Income ratio,-3.5416,-2.1768,-1.1620,-86.3790,-37.1272,-1.8391,-1.4036,-0.9712,-0.8382,-0.4939,-0.5286,-0.8841
25,EPS,-56.00,-20.80,-5.60,-4.80,-3.20,-4.40,-2.93,-0.93,-0.56,-0.42,-0.43,-0.64
26,EPS Diluted,-56.00,-20.80,-5.60,-4.80,-3.20,-4.40,-2.93,-0.93,-0.56,-0.42,-0.43,-0.64
27,Weighted Average Shares Outstanding,169342,399034,1009351,1431542,1481021,1884848,2754803,7738343,10928213,13155163,15849667,22522460
28,Weighted Average Shares Outstanding Diluted,169342,399034,1009351,1431542,1481021,1884848,2754803,7738343,10928213,13155163,15849667,22522460
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1285550/000143774913002608/0001437749-13-002608-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000143774914005398/0001437749-14-005398-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000143774915005283/0001437749-15-005283-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000153442416000661/0001534424-16-000661-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442417000093/0001534424-17-000093-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442418000090/0001534424-18-000090-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000153442419000092/0001534424-19-000092-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000117152020000159/0001171520-20-000159-index.html,https://www.sec.gov/Archives/edgar/data/1285550/000117152021000138/0001171520-21-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1285550/000128555022000003/0001285550-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,145478,1620005,3516244,9244006,5408523,3315774,9289831,3101133,5695722,20099000,54109000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,145478,1620005,3516244,9244006,5408523,3315774,9289831,3101133,5695722,20099000,54109000
34,Net Receivables,- -,401580,445432,770352,468949,1218043,865943,949415,1233896,1089917,1881000,2337000
35,Inventory,- -,968818,899702,1477161,1965039,1807895,1768382,2314184,2105976,3240218,3238000,4938000
36,Other Current Assets,- -,19773,110873,174870,29220,97249,134996,192727,213684,357227,244000,508000
37,Total Current Assets,- -,1535649,3076012,5938627,11707214,8531710,6085095,12746157,6654689,10383084,25462000,61892000
38,PP&E,- -,1218830,1287115,903160,482970,440606,328249,267667,377706,821380,3055000,539000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1137500,- -,- -,- -,- -,- -,- -,- -,353000,- -
41,Intangible Assets,- -,- -,1137500,- -,- -,- -,- -,- -,- -,- -,353000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,275950,51119,1031283,1195498,1130486,987541,883541,824438,721973,648000,3150000
45,Total Non-Current Assets,- -,1494780,2475734,1934443,1678468,1571092,1315790,1151208,1202144,1543353,4056000,3689000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3030429,5551746,7873070,13385682,10102802,7400885,13897365,7856833,11926437,29518000,65581000
48,Accounts Payable,- -,4037168,1961195,1376627,997090,697807,1546926,759445,500929,965783,300000,427000
49,Short-Term Debt,- -,3953595,- -,4338601,- -,4224609,- -,2000000,- -,113520,394000,1521000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,2600000,762725,106859,102710,116009,223117,256178,350963,1016892,562000,678000
52,Other Current Liabilities,- -,3998192,1456055,4268534,3819518,2614777,1247657,1382390,1155798,1736752,1944000,2127000
53,Total Current Liabilities,- -,14588955,4179975,10090621,4919318,7653202,3017700,4398013,2007690,3832947,3200000,4753000
54,Long-Term Debt,- -,3502704,2195549,4084588,7690669,3888239,4491754,2918112,3480641,2072583,21280000,11777000
55,Deferred Revenue,- -,1396374,- -,- -,- -,- -,- -,- -,- -,197862,215000,264000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5385539,4913323,531830,876025,542500,647500,752500,857500,1236328,2446000,- -
58,Total Non-Current Liabilities,- -,10284617,7108872,4616418,8566694,4430739,5139254,3670612,4338141,3506773,23941000,12041000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,390189,2840000,- -
61,Total Liabilities,- -,24873572,11288847,14707039,13486012,12083941,8156954,8068625,6345831,7339720,27141000,16794000
62,Preferred Stock,- -,7965000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,164108,484187,585369,748424,913814,36220,106937,110183,152353,170000,237000
64,Retained Earnings,- -,- -,- -,- -,-77277334,-85726580,-93868764,-101036117,-107199586,-112739620,-119522000,-133932000
65,Other Comprehensive Income/Loss,- -,-59788610,-65495746,-72752602,-1743174,-1733020,-1710881,-1672508,-1718149,-1794211,- -,- -
66,Other Total Stockholders Equity,- -,29816359,59274458,65333264,78171754,84564647,94787356,108430428,110318554,118968195,121729000,182482000
