,https://roic.ai/company/CSTM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,3556000000,3610000000,3495000000,3666000000,5153000000,4743000000,5237000000,5686000000,5907000000,4883000000,6152000000
2,COGS,3239000000,3132000000,3024000000,3183000000,4703000000,4227000000,4698000000,5148000000,5305000000,4393000000,5488000000
3,Gross Profit,317000000,478000000,471000000,483000000,450000000,516000000,539000000,538000000,602000000,490000000,664000000
4,Gross Profit Ratio,0.0891,0.1324,0.1348,0.1318,0.0873,0.1088,0.1029,0.0946,0.1019,0.1003,0.1079
5,Research and Development Exp.,33000000,36000000,36000000,38000000,35000000,32000000,36000000,40000000,48000000,39000000,39000000
6,General and Administrative Exp.,216000000,212000000,210000000,200000000,245000000,254000000,248000000,247000000,276000000,237000000,258000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",216000000,212000000,210000000,200000000,245000000,254000000,248000000,247000000,276000000,237000000,258000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,249000000,248000000,246000000,238000000,280000000,286000000,284000000,287000000,324000000,276000000,297000000
11,COGS and Expenses,3488000000,3380000000,3270000000,3421000000,4983000000,4513000000,4982000000,5435000000,5629000000,4669000000,5785000000
12,Interest Income ,2000000,4000000,17000000,- -,71000000,5000000,7000000,7000000,- -,- -,- -
13,Interest Expense (Gain),35000000,64000000,54000000,41000000,152000000,160000000,140000000,134000000,150000000,137000000,167000000
14,Depreciation and Amortization,2000000,14000000,32000000,49000000,140000000,155000000,171000000,197000000,256000000,259000000,267000000
15,EBITDA,-176000000,257000000,223000000,178000000,-294000000,380000000,360000000,551000000,483000000,358000000,746000000
16,EBITDA ratio,-0.0495,0.0712,0.0638,0.0486,-0.0571,0.0801,0.0687,0.0969,0.0818,0.0733,0.1213
17,Operating Income,-63000000,257000000,209000000,150000000,-426000000,246000000,321000000,404000000,255000000,125000000,484000000
18,Operating Income ratio,-0.0177,0.0712,0.0598,0.0409,-0.0827,0.0519,0.0613,0.0711,0.0432,0.0256,0.0787
19,Total Other Income Expenses (Gains),-141000000,-68000000,-74000000,-59000000,-158000000,-181000000,-272000000,-182000000,-173000000,-159000000,-167000000
20,Income Before Tax,-204000000,189000000,135000000,91000000,-584000000,65000000,49000000,222000000,82000000,-34000000,317000000
21,Income Before Tax Ratio,-0.0574,0.0524,0.0386,0.0248,-0.1133,0.0137,0.0094,0.0390,0.0139,-0.0070,0.0515
22,Income Tax expense (Gain),-34000000,47000000,39000000,37000000,-32000000,69000000,80000000,32000000,18000000,-17000000,55000000
23,Net Income,-179000000,132000000,98000000,51000000,-554000000,-4000000,-31000000,188000000,59000000,-21000000,257000000
24,Net Income ratio,-0.0503,0.0366,0.0280,0.0139,-0.1075,-0.0008,-0.0059,0.0331,0.0100,-0.0043,0.0418
25,EPS,-1.74,1.40,1.00,0.48,-5.27,-0.04,-0.28,1.40,0.43,-0.15,1.85
26,EPS Diluted,-1.74,1.40,0.99,0.48,-5.27,-0.04,-0.28,1.37,0.41,-0.15,1.85
27,Weighted Average Shares Outstanding,102775754,102775754,98000000,104639342,105097442,105500327,110164000,134762000,136857000,138740000,138740000
28,Weighted Average Shares Outstanding Diluted,102775754,102775754,98989899,105326872,105097442,105500327,110164000,138146000,142646000,138740000,138740000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1563411/000119312514152916/0001193125-14-152916-index.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312515146764/d908770d20f.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312516545056/d159480d20f.htm,https://www.sec.gov/Archives/edgar/data/1563411/000119312517090611/0001193125-17-090611-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000119312518079483/0001193125-18-079483-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000119312519070927/0001193125-19-070927-index.html,https://www.sec.gov/Archives/edgar/data/1563411/000156341120000006/0001563411-20-000006-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,113000000,142000000,233000000,989000000,472000000,347000000,269000000,164000000,184000000,439000000,147000000
32,Short-Term Investments,32000000,34000000,25000000,57000000,70000000,117000000,69000000,30000000,22000000,39000000,58000000
33,Cash and Short-Term Investments,145000000,176000000,258000000,1046000000,542000000,464000000,338000000,194000000,206000000,478000000,205000000
34,Net Receivables,515000000,462000000,468000000,555000000,363000000,346000000,411000000,575000000,466000000,400000000,683000000
35,Inventory,422000000,385000000,328000000,432000000,542000000,591000000,643000000,660000000,670000000,582000000,1050000000
36,Other Current Assets,20000000,14000000,36000000,27000000,15000000,9000000,8000000,12000000,8000000,6000000,- -
37,Total Current Assets,1102000000,1037000000,1090000000,2060000000,1462000000,1410000000,1400000000,1441000000,1350000000,1466000000,1938000000
38,PP&E,198000000,302000000,408000000,632000000,1255000000,1477000000,1517000000,1666000000,2056000000,1906000000,1948000000
