,https://roic.ai/company/FOCS,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,382347000,485444000,662887000,910880000,1218341000,1361319000,1797951000
2,COGS,241370000,293039000,429172000,590787000,736166000,825683000,1082554000
3,Gross Profit,140977000,192405000,233715000,320093000,482175000,535636000,715397000
4,Gross Profit Ratio,0.3687,0.3963,0.3526,0.3514,0.3958,0.3935,0.3979
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,168801000,213489000,298232000,170270000,232911000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",168801000,213489000,298232000,170270000,232911000,236377000,297636000
9,Other Expenses,-48981000,-58224000,-92564000,98751000,142821000,160234000,202473000
10,Operating Expenses,119820000,155265000,205668000,269021000,375732000,396611000,500109000
11,COGS and Expenses,361190000,448304000,634840000,859808000,1111898000,1222294000,1582663000
12,Interest Income ,90000,88000,222000,1266000,1164000,453000,422000
13,Interest Expense (Gain),9977000,21327000,41861000,56448000,58291000,41658000,55001000
14,Depreciation and Amortization,40748000,56622000,71053000,98751000,141393000,160234000,202473000
15,EBITDA,60695000,94652000,63054000,164059000,193861000,250597000,287968000
16,EBITDA ratio,0.1587,0.1950,0.0951,0.1801,0.1591,0.1841,0.1602
17,Operating Income,21317000,38283000,5753000,44434000,67646000,119828000,102872000
18,Operating Income ratio,0.0558,0.0789,0.0087,0.0488,0.0555,0.0880,0.0572
19,Total Other Income Expenses (Gains),-11347000,-21580000,-55613000,-76071000,-72622000,-50203000,-58350000
20,Income Before Tax,9970000,16703000,-49860000,-31637000,-4976000,69625000,44522000
21,Income Before Tax Ratio,0.0261,0.0344,-0.0752,-0.0347,-0.0041,0.0511,0.0248
22,Income Tax expense (Gain),649000,981000,-1501000,9450000,7049000,20660000,20082000
23,Net Income,9321000,15722000,-48359000,-590000,-12872000,28045000,10412000
24,Net Income ratio,0.0244,0.0324,-0.0730,-0.0006,-0.0106,0.0206,0.0058
25,EPS,0.15,0.25,-0.77,-0.01,-0.28,0.58,0.18
26,EPS Diluted,0.15,0.25,-0.77,-0.01,-0.28,0.57,0.18
27,Weighted Average Shares Outstanding,62596884,62596884,62596884,43122782,46792389,48678584,57317477
28,Weighted Average Shares Outstanding Diluted,62596884,62596884,62596884,43122782,46792389,48796613,57831151
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651052/000104746919001705/0001047469-19-001705-index.htm,https://www.sec.gov/Archives/edgar/data/1651052/000155837020001271/0001558370-20-001271-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1651052/000155837022001311/0001558370-22-001311-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,16508000,51455000,33213000,65178000,65858000,310684000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,16508000,51455000,33213000,65178000,65858000,310684000
34,Net Receivables,- -,43128000,73513000,98596000,129337000,169220000,198827000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,42936000,37423000,76150000,58581000,65581000,123826000
37,Total Current Assets,- -,102572000,162391000,207959000,253096000,300659000,633337000
38,PP&E,- -,15253000,21397000,24780000,221748000,278957000,297049000
39,Goodwill,- -,316505000,515489000,860495000,1090231000,1255559000,1925315000
40,Intangible Assets,- -,309109000,522282000,762195000,1003456000,1113467000,1581719000
41,Intangible Assets,- -,625614000,1037771000,1622690000,2093687000,2369026000,3507034000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,70009000,75453000,107289000,267332000
44,Other Non-Current Assets,- -,9502000,13278000,12340000,9645000,6950000,4254000
45,Total Non-Current Assets,- -,650369000,1072446000,1729819000,2400533000,2762222000,4075669000
46,Other Assets,- -,- -,- -,- -,- -,138389000,- -
47,Total Assets,- -,752941000,1234837000,1937778000,2653629000,3062881000,4709006000
48,Accounts Payable,- -,6941000,5752000,8935000,8077000,9634000,11580000
49,Short-Term Debt,- -,457000000,980502000,836582000,1272999000,513540000,2393669000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,4351000,6094000,- -,- -,9190000,10932000
52,Other Current Liabilities,- -,-406469000,-923178000,75873000,100042000,-393250000,178294000
53,Total Current Liabilities,- -,61823000,69170000,921390000,1381118000,139114000,2594475000
54,Long-Term Debt,- -,457000000,980502000,836582000,1272999000,1760414000,277324000
55,Deferred Revenue,- -,4351000,6094000,6215000,7839000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,39156000,48399000,26735000,31973000
