,https://roic.ai/company/CEPU,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,575104650,469364841,750144214,1142427035,971027394,1898386824,1907640950,1045131000,518718000,1299447000,3226537000,5320413000,5956596000,14265370000,35960784000,38108160000
2,COGS,536980542,422152805,633946445,954146404,886903809,1630135214,1508109805,963574000,510430000,846045000,1749948000,3151731000,2742147000,6486698000,18956674000,16815404000
3,Gross Profit,38124108,47212036,116197769,188280631,84123585,268251610,399531145,81557000,8288000,453402000,1476589000,2168682000,3214449000,7778672000,17004110000,21292756000
4,Gross Profit Ratio,0.0663,0.1006,0.1549,0.1648,0.0866,0.1413,0.2094,0.0780,0.0160,0.3489,0.4576,0.4076,0.5396,0.5453,0.4729,0.5587
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,47388026,48836232,- -,106083000,104682000,164367000,291708000,306795000,512248000,929769000,1667316000,1980949000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,47388026,48836232,- -,106083000,104682000,164367000,291708000,306795000,512248000,929769000,1667316000,1980949000
9,Other Expenses,27413673,36029674,36894366,50034563,-139377434,-64753873,45051000,-40552000,-21509000,104865000,-41136000,-584902000,83207000,451060000,1194333000,985620000
10,Operating Expenses,27413673,36029674,36894366,50034563,-91989408,-15917641,45051000,65531000,83173000,269232000,250572000,-278107000,595455000,1380829000,2861649000,2966569000
11,COGS and Expenses,564394215,458182479,670840811,1004180967,794914401,1614217573,1553160805,1029105000,593603000,1115277000,2000520000,2873624000,3337602000,7867527000,21818323000,19781973000
12,Interest Income ,19536843,81759523,83853430,116823373,11556550,15573471,23664410,- -,31010000,79847000,73836000,160197000,419200000,1675011000,6464491000,3236249000
13,Interest Expense (Gain),110482414,185116623,49032427,10681215,7094473,20255625,22642720,19582000,25636000,43652000,261155000,529999000,626981000,1478601000,3211221000,4016211000
14,Depreciation and Amortization,78991694,50170105,48878227,57868448,23048606,32468967,51086431,104657000,100493000,105477000,194199000,242026000,327376000,1492229000,3390893000,5954973000
15,EBITDA,121714069,350717121,345291803,83382083,234028593,432920880,422979864,64708000,246034000,568995000,2473975000,3494340000,5514048000,27094779000,21156171000,21981080000
16,EBITDA ratio,0.2116,0.7472,0.4603,0.0730,0.2410,0.2280,0.2217,0.0619,0.4743,0.4379,0.7668,0.6568,0.9257,1.8993,0.5883,0.5768
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,-19593000,266678000,1784906000,2788710000,3111264000,30496311000,28048713000,27945259000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.0378,0.2052,0.5532,0.5242,0.5223,2.1378,0.7800,0.7333
19,Total Other Income Expenses (Gains),-78470474,104248031,168077746,-123413648,27772521,96027037,-5229432,-75557000,139498000,153188000,233715000,-66402000,949590000,-6982699000,-13642616000,-15869346000
20,Income Before Tax,-67760039,115430393,247381149,14832420,203885514,380196288,349250713,-59531000,119905000,419866000,2018621000,2722308000,4060854000,23513612000,14406097000,12075913000
21,Income Before Tax Ratio,-0.1178,0.2459,0.3298,0.0130,0.2100,0.2003,0.1831,-0.0570,0.2312,0.3231,0.6256,0.5117,0.6817,1.6483,0.4006,0.3169
22,Income Tax expense (Gain),18325082,-64558764,40581751,5166405,72233746,131762602,117402031,-29486000,29620000,102135000,687887000,953472000,1051896000,6604351000,5745242000,5117975000
23,Net Income,-86085121,179989157,206799398,9666015,131651768,248433686,231848682,-30045000,90285000,317731000,1330734000,1768843000,3507795000,17519598000,8808815000,6891921000
24,Net Income ratio,-0.1497,0.3835,0.2757,0.0085,0.1356,0.1309,0.1215,-0.0287,0.1741,0.2445,0.4124,0.3325,0.5889,1.2281,0.2450,0.1809
25,EPS,-1.21,2.54,2.92,0.14,1.86,3.51,3.27,-0.42,2.68,1.99,8.33,11.75,23.17,116.40,58.50,45.80
26,EPS Diluted,-1.21,2.54,2.92,0.14,1.86,3.51,3.27,-0.42,2.68,1.99,8.33,11.75,23.17,116.40,58.50,45.80
27,Weighted Average Shares Outstanding,70998038,33632273,33632273,33632273,70804786,70804786,70804786,70804786,33632000,159793726,159793726,150569513,151402225,150517041,150517041,150478624
