,https://roic.ai/company/BAH,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,4351218000,5122633000,5591296000,5859218000,5758059000,5478693000,5274770000,5405738000,5804284000,6171853000,6704037000,7463841000,7858938000
2,COGS,2289749000,2654143000,2836955000,2934378000,2871240000,2716113000,2593849000,2580026000,2691982000,2867103000,3100466000,3379180000,3657530000
3,Gross Profit,2061469000,2468490000,2754341000,2924840000,2886819000,2762580000,2680921000,2825712000,3112302000,3304750000,3603571000,4084661000,4201408000
4,Gross Profit Ratio,0.4738,0.4819,0.4926,0.4992,0.5014,0.5042,0.5083,0.5227,0.5362,0.5355,0.5375,0.5473,0.5346
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2390475000,2173173000,2354294000,2446543000,2366576000,2229642000,2159439000,2319592000,2568511000,2719909000,2932602000,3334378000,3362722000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2390475000,2173173000,2354294000,2446543000,2366576000,2229642000,2159439000,2319592000,2568511000,2719909000,2932602000,3334378000,3362722000
9,Other Expenses,91595000,95763000,80603000,75205000,74009000,72327000,62660000,61536000,59544000,64756000,68575000,81081000,84315000
10,Operating Expenses,2482070000,2268936000,2434897000,2521748000,2440585000,2301969000,2222099000,2381128000,2628055000,2784665000,3001177000,3415459000,3447037000
11,COGS and Expenses,4771819000,4923079000,5271852000,5456126000,5311825000,5018082000,4815948000,4961154000,5320037000,5651768000,6101643000,6794639000,7104567000
12,Interest Income ,5312000,1466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),99112000,150734000,131892000,48078000,70284000,78030000,71832000,70815000,62298000,76908000,84465000,90178000,56316000
14,Depreciation and Amortization,91595000,95763000,80603000,75205000,74009000,72327000,62660000,61536000,59544000,64756000,68575000,81081000,84315000
15,EBITDA,-1172247000,295491000,340559000,467157000,512604000,531144000,520410000,511813000,533742000,579668000,668443000,750693000,803070000
16,EBITDA ratio,-0.2694,0.0577,0.0609,0.0797,0.0890,0.0969,0.0987,0.0947,0.0920,0.0939,0.0997,0.1006,0.1022
17,Operating Income,- -,- -,- -,- -,446234000,460611000,458822000,444584000,484247000,520085000,602394000,669202000,754371000
18,Operating Income ratio,- -,- -,- -,- -,0.0775,0.0841,0.0870,0.0822,0.0834,0.0843,0.0899,0.0897,0.0960
19,Total Other Income Expenses (Gains),-93982000,-150560000,-191380000,-59218000,-77923000,-79824000,-72904000,-65122000,-72347000,-82081000,-86991000,-89768000,-91932000
20,Income Before Tax,-514583000,48994000,128064000,343874000,368311000,380787000,385918000,379462000,411900000,438004000,515403000,579434000,662439000
21,Income Before Tax Ratio,-0.1183,0.0096,0.0229,0.0587,0.0640,0.0695,0.0732,0.0702,0.0710,0.0710,0.0769,0.0776,0.0843
22,Income Tax expense (Gain),-78256000,23575000,43370000,103919000,149253000,148599000,153349000,85368000,159410000,132893000,96874000,96831000,53481000
23,Net Income,-1284698000,25419000,84694000,239955000,219058000,232188000,232569000,294094000,252490000,305111000,418529000,482603000,608958000
24,Net Income ratio,-0.2953,0.0050,0.0151,0.0410,0.0380,0.0424,0.0441,0.0544,0.0435,0.0494,0.0624,0.0647,0.0775
25,EPS,-18.04,0.24,0.74,1.83,1.56,1.62,1.58,1.98,1.69,2.08,2.94,3.43,4.40
26,EPS Diluted,-18.04,0.22,0.66,1.70,1.45,1.54,1.52,1.94,1.67,2.05,2.91,3.41,4.37
27,Weighted Average Shares Outstanding,71194560,106477650,114478947,130145689,140421795,143325926,147195570,148532323,149402367,146687981,141910799,140059494,137722589
28,Weighted Average Shares Outstanding Diluted,71194560,116228380,127448700,140812012,151074483,150771429,153005921,151594845,151191617,147750022,143156176,141238135,138703220
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1443646/000095012311057569/0000950123-11-057569-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000119312512253723/d288735d10k.htm,https://www.sec.gov/Archives/edgar/data/1443646/000144364613000010/0001443646-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364614000015/0001443646-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364615000018/0001443646-15-000018-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364616000138/0001443646-16-000138-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364617000050/0001443646-17-000050-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364618000100/0001443646-18-000100-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364619000093/0001443646-19-000093-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364620000086/bah-20200331x10k.htm,https://www.sec.gov/Archives/edgar/data/1443646/000144364621000079/0001443646-21-000079-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,420902000,307835000,192631000,484368000,350384000,259994000,207217000,187529000,217417000,286958000,283990000,741901000,990955000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,420902000,307835000,192631000,484368000,350384000,259994000,207217000,187529000,217417000,286958000,283990000,741901000,990955000
34,Net Receivables,925925000,1018311000,1111004000,1124109000,1035275000,916737000,857310000,892289000,991810000,1130452000,1330364000,1459471000,1411894000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,86066000,44022000,62014000,49186000,38693000,79246000,98681000,109953000,85253000,71309000,84986000,126816000,233323000
37,Total Current Assets,1432893000,1370168000,1365649000,1657663000,1424352000,1255977000,1163208000,1189771000,1294480000,1488719000,1699340000,2328188000,2636172000
38,PP&E,142543000,136648000,173430000,191079000,166570000,129427000,111367000,130169000,139167000,169896000,172453000,448199000,444016000
39,Goodwill,1141615000,1163129000,1163549000,1188004000,1277369000,1273789000,1304231000,1361913000,1571190000,1581146000,1581160000,1581160000,1581160000
40,Intangible Assets,309477000,268880000,240238000,223834000,236220000,220887000,219382000,220658000,271880000,260972000,287051000,300987000,307128000
41,Intangible Assets,1451092000,1432009000,1403787000,1411838000,1513589000,1494676000,1523613000,1582571000,1843070000,1842118000,1868211000,1882147000,1888288000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,99378000,53204000,- -,7790000,10032000,- -,14758000,22054000,10825000,- -,- -,- -,- -
44,Other Non-Current Assets,56343000,70194000,81157000,46421000,62985000,60738000,64547000,85606000,85563000,102633000,91837000,135432000,531125000
45,Total Non-Current Assets,1749356000,1692055000,1658374000,1657128000,1753176000,1684841000,1714285000,1820400000,2078625000,2114647000,2132501000,2465778000,2863429000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3182249000,3062223000,3024023000,3314791000,3177528000,2940818000,2877493000,3010171000,3373105000,3603366000,3831841000,4793966000,5499601000
48,Accounts Payable,- -,- -,- -,- -,248471000,265079000,215995000,246670000,268630000,339993000,417648000,432953000,371744000
49,Short-Term Debt,15225000,21850000,30000000,42500000,55562000,73688000,57063000,112813000,193150000,63100000,57924000,226886000,132821000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,18186000,9996000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,610174000,754074000,836135000,871946000,660613000,578337000,575936000,580430000,639621000,633073000,703667000,667839000,786540000
53,Total Current Liabilities,643585000,785920000,866135000,914446000,964646000,917104000,848994000,939913000,1101401000,1036166000,1179239000,1327678000,1291105000
54,Long-Term Debt,1220502000,1546782000,964328000,922925000,1659611000,1585231000,1569272000,1484448000,1470174000,1755479000,1701837000,2007979000,2541875000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,90474000,55282000,57018000,65637000,58444000,1517000,11647000,16272000,44747000,144216000,417664000
57,Other Non-Current Liabilities,257819000,219938000,195836000,236953000,269460000,201210000,214285000,175805000,216292000,240821000,230652000,457737000,177781000
58,Total Non-Current Liabilities,1478321000,1766720000,1250638000,1215160000,1986089000,1852078000,1842001000,1661770000,1698113000,2012572000,1977236000,2609932000,3137320000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319287000,318100000
61,Total Liabilities,2121906000,2552640000,2116773000,2129606000,2950735000,2769182000,2690995000,2601683000,2799514000,3048738000,3156475000,3937610000,4428425000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1101000,1113000,1315000,1357000,1413000,1468000,1508000,1534000,1559000,1580000,1599000,1613000,1629000
64,Retained Earnings,-38783000,-13364000,71330000,299379000,124775000,42688000,104457000,318537000,478102000,682653000,994811000,1330812000,1757524000
65,Other Comprehensive Income/Loss,698000,-3818000,-5453000,-8715000,-13787000,-6636000,-22159000,-19613000,-17077000,-15106000,-11190000,-46001000,-29771000
66,Other Total Stockholders Equity,1097327000,525652000,840058000,893164000,114392000,134116000,102692000,108030000,111007000,-114499000,-309854000,-430068000,-658206000
67,Total Stockholders Equity,1060343000,509583000,907250000,1185185000,226793000,171636000,186498000,408488000,573591000,554628000,675366000,856356000,1071176000
68,Total Liabilities And Stockholders Equity,3182249000,3062223000,3024023000,3314791000,3177528000,2940818000,2877493000,3010171000,3373105000,3603366000,3831841000,4793966000,5499601000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3182249000,3062223000,3024023000,3314791000,3177528000,2940818000,2877493000,3010171000,3373105000,3603366000,3831841000,4793966000,5499601000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1443646/000095012311057569/0000950123-11-057569-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000119312512253723/d288735d10k.htm,https://www.sec.gov/Archives/edgar/data/1443646/000144364613000010/0001443646-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364614000015/0001443646-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364615000018/0001443646-15-000018-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364616000138/0001443646-16-000138-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364617000050/0001443646-17-000050-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364618000100/0001443646-18-000100-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364619000093/0001443646-19-000093-index.html,https://www.sec.gov/Archives/edgar/data/1443646/000144364620000086/bah-20200331x10k.htm,https://www.sec.gov/Archives/edgar/data/1443646/000144364621000079/0001443646-21-000079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-1284698000,25419000,84694000,239955000,219058000,232188000,232569000,294094000,252490000,305111000,418529000,482603000,608958000
74,Depreciation and Amortization,91595000,95763000,80603000,75205000,74009000,72327000,62660000,61536000,59544000,64756000,68575000,81081000,84315000
75,Deferred Income Tax,-76383000,19837000,42763000,74785000,-48088000,-26371000,-2543000,3549000,15536000,13505000,23006000,65434000,231998000
76,Stock Based Compensation,573712000,71897000,48678000,31263000,24841000,20065000,26163000,24992000,21249000,23318000,31275000,43290000,59844000
77,Change in Working Capital,-3188000,-205060000,-84734000,243703000,-283511000,-120833000,-24659000,-64356000,-56779000,259474000,67548000,480409000,344557000
78,Accounts Receivable,-53440000,-92386000,-92693000,25275000,125125000,110308000,60533000,-31229000,-87154000,-135870000,-196453000,-129107000,47081000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-23760000,39178000,-35443000,4911000,14846000,47316000,107515000,- -,-31506000
81,Other Working Capital,789308000,584248000,499514000,743217000,459706000,338873000,314214000,249858000,193079000,452553000,520101000,1000510000,1345067000
