,https://roic.ai/company/PECO,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,73165000,188215000,242099000,257730000,311543000,430392000,536706000,498017000,532846000
2,COGS,21554000,58181000,73684000,78517000,97280000,132544000,161064000,154506000,158295000
3,Gross Profit,51611000,130034000,168415000,179213000,214263000,297848000,375642000,343511000,374551000
4,Gross Profit Ratio,0.7054,0.6909,0.6956,0.6954,0.6877,0.6920,0.6999,0.6898,0.7029
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,36348000,50412000,48525000,41383000,48820000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,36348000,50412000,48525000,41383000,48820000
9,Other Expenses,34858000,87792000,117308000,137899000,130671000,191283000,236870000,224679000,221433000
10,Operating Expenses,34858000,87792000,117308000,137899000,167019000,241695000,285395000,266062000,270253000
11,COGS and Expenses,56412000,145973000,190992000,216416000,264299000,374239000,446459000,420568000,428548000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,67724000,87620000,77467000,66021000
14,Depreciation and Amortization,29242000,76554000,98367000,103282000,128943000,191283000,236870000,224679000,221433000
15,EBITDA,16838000,53919000,111727000,112214000,90552000,298145000,260958000,307409000,302902000
16,EBITDA ratio,0.2301,0.2865,0.4615,0.4354,0.2907,0.6927,0.4862,0.6173,0.5685
17,Operating Income,16753000,42242000,51107000,41314000,47244000,56153000,90247000,77449000,17233000
18,Operating Income ratio,0.2290,0.2244,0.2111,0.1603,0.1516,0.1305,0.1681,0.1555,0.0323
19,Total Other Income Expenses (Gains),-29103000,-64877000,-37546000,-32271000,-88962000,-9178000,-163073000,-71496000,327000
20,Income Before Tax,-12350000,-22635000,13561000,9043000,-41718000,46975000,-72826000,5953000,17560000
21,Income Before Tax Ratio,-0.1688,-0.1203,0.0560,0.0351,-0.1339,0.1091,-0.1357,0.0120,0.0330
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,491000,327000
23,Net Income,-12404000,-22635000,13360000,8932000,-38391000,39138000,-63532000,4772000,15121000
24,Net Income ratio,-0.1695,-0.1203,0.0552,0.0347,-0.1232,0.0909,-0.1184,0.0096,0.0284
25,EPS,-0.54,-0.39,0.21,0.15,-0.63,0.60,-0.66,0.06,0.15
26,EPS Diluted,-0.54,-0.39,0.21,0.15,-0.63,0.60,-0.66,0.06,0.15
27,Weighted Average Shares Outstanding,23408976,59759940,61225938,61291938,61261272,93267573,96260510,79533254,108997000
28,Weighted Average Shares Outstanding Diluted,23408976,59759940,62131271,62221604,65498934,93267573,96260510,79533254,122573000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1476204/000147620421000023/0001476204-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1476204/000147620422000029/0001476204-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,15649000,40680000,8224000,5716000,16791000,17820000,104296000,92585000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,5551000
33,Cash and Short-Term Investments,- -,15649000,40680000,8224000,5716000,16791000,17820000,104296000,98136000
34,Net Receivables,- -,- -,- -,- -,65514000,82490000,76144000,79734000,77685000
35,Inventory,- -,- -,- -,- -,- -,17364000,6038000,- -,1557000
36,Other Current Assets,- -,6803000,6833000,41722000,25961000,67513000,77288000,36335000,34599000
37,Total Current Assets,- -,22452000,47513000,49946000,97191000,184158000,177290000,220365000,211977000
38,PP&E,- -,2074270000,2117931000,2249657000,- -,14315000,19430000,21578000,24823000
39,Goodwill,- -,- -,- -,- -,29085000,29066000,29066000,29066000,29066000
40,Intangible Assets,- -,- -,- -,- -,55100000,14054000,2439000,6804000,6706000
41,Intangible Assets,- -,- -,- -,- -,84185000,43120000,31505000,35870000,35772000
42,Investments,- -,- -,- -,- -,902000,46351000,42854000,37366000,34326000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,54047000,69368000,80585000,3343804000,4875533000,4557116000,4363384000,4361870000
45,Total Non-Current Assets,- -,2128317000,2187299000,2330242000,3428891000,4979319000,4650905000,4458198000,4456791000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2150769000,2234812000,2380188000,3526082000,5163477000,4828195000,4678563000,4668768000
48,Accounts Payable,- -,48738000,43881000,51642000,149778000,126074000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,73359000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
