,https://roic.ai/company/DOOR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,1383271000,1489179000,1676005000,1731100000,1837700000,- -,1871965000,2032925000,2170103000,2176683000,- -,2257075000
2,COGS,- -,1203469000,1303820000,1459701000,1505600000,1572301000,- -,1521115000,1625942000,1734797000,1699000000,- -,1684571000
3,Gross Profit,- -,179802000,185359000,216304000,225500000,265399000,- -,350850000,406983000,435306000,477683000,- -,572504000
4,Gross Profit Ratio,- -,0.1300,0.1245,0.1291,0.1303,0.1444,- -,0.1874,0.2002,0.2006,0.2195,- -,0.2536
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,167383000,- -,- -,-18970000,-19600000,- -,-22200000,- -,-27700000,-28200000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,209070000,224077000,- -,244145000,- -,266193000,310567000,- -,- -
8,"Selling, General and Administrative Exp.",- -,167383000,186776000,206708000,190100000,204477000,- -,221945000,246855000,238493000,282367000,- -,366772000
9,Other Expenses,- -,8092000,- -,- -,29600000,48939000,- -,125347000,- -,39981000,80526000,- -,- -
10,Operating Expenses,- -,175475000,186776000,206708000,219700000,253416000,- -,347292000,246855000,278474000,362893000,- -,366772000
11,COGS and Expenses,- -,1378944000,1490596000,1666409000,1725300000,1825717000,- -,1868407000,1872797000,2013271000,2061893000,- -,2051343000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,-33200000,-41525000,- -,-32884000,- -,-39008000,-46489000,- -,- -
14,Depreciation and Amortization,- -,66725000,71353000,78424000,79138000,82344000,- -,82885000,81903000,87672000,99849000,- -,91773000
15,EBITDA,- -,58367000,43259000,41814000,13561000,8012000,- -,17062000,206082000,165187000,115271000,- -,189421000
16,EBITDA ratio,- -,0.0422,0.0290,0.0249,0.0078,0.0044,- -,0.0091,0.1014,0.0761,0.0530,- -,0.0839
17,Operating Income,- -,-3974000,-6533000,-3185000,5807000,11983000,- -,31604000,159066000,162246000,129313000,- -,143890000
18,Operating Income ratio,- -,-0.0029,-0.0044,-0.0019,0.0034,0.0065,- -,0.0169,0.0782,0.0748,0.0594,- -,0.0638
