,https://roic.ai/company/SNAP,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,58663000,404482000,824949000,1180446000,1715534000,2506626000,4117048000
2,COGS,182341000,451660000,717462000,798865000,895838000,1182505000,1750246000
3,Gross Profit,-123678000,-47178000,107487000,381581000,819696000,1324121000,2366802000
4,Gross Profit Ratio,-2.1083,-0.1166,0.1303,0.3233,0.4778,0.5282,0.5749
5,Research and Development Exp.,82235000,183676000,1534863000,772185000,883509000,1101561000,1565467000
6,General and Administrative Exp.,148600000,165160000,1535595000,477022000,580917000,529164000,710640000
7,Selling and Marketing Exp.,27216000,124371000,522605000,400824000,458598000,555468000,792764000
8,"Selling, General and Administrative Exp.",175816000,289531000,2058200000,877846000,1039515000,1084632000,1503404000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,258051000,473207000,3593063000,1650031000,1923024000,2186193000,3068871000
11,COGS and Expenses,440392000,924867000,4310525000,2448896000,2818862000,3368698000,4819117000
12,Interest Income ,1399000,4654000,21096000,27228000,36042000,18127000,5199000
13,Interest Expense (Gain),- -,1424000,3456000,3894000,24994000,97228000,17676000
14,Depreciation and Amortization,15307000,29115000,61288000,91648000,87245000,86744000,119141000
15,EBITDA,-365175000,-491184000,-3398664000,-1157822000,-921028000,-742213000,-337554000
16,EBITDA ratio,-6.2250,-1.2144,-4.1198,-0.9808,-0.5369,-0.2961,-0.0820
17,Operating Income,-381729000,-520385000,-3485576000,-1268450000,-1103328000,-862072000,-702069000
18,Operating Income ratio,-6.5072,-1.2865,-4.2252,-1.0746,-0.6431,-0.3439,-0.1705
19,Total Other Income Expenses (Gains),1247000,-1338000,22168000,15086000,70061000,-64113000,227698000
20,Income Before Tax,-380482000,-521723000,-3463408000,-1253364000,-1033267000,-926185000,-474371000
21,Income Before Tax Ratio,-6.4859,-1.2899,-4.1983,-1.0618,-0.6023,-0.3695,-0.1152
22,Income Tax expense (Gain),-7589000,-7080000,-18342000,2547000,393000,18654000,13584000
23,Net Income,-372893000,-514643000,-3445066000,-1255911000,-1033660000,-944839000,-487955000
24,Net Income ratio,-6.3565,-1.2724,-4.1761,-1.0639,-0.6025,-0.3769,-0.1185
25,EPS,-0.37,-0.51,-2.95,-0.97,-0.75,-0.65,-0.31
26,EPS Diluted,-0.37,-0.51,-2.95,-0.97,-0.75,-0.65,-0.31
27,Weighted Average Shares Outstanding,1016713000,1016713000,1167818983,1300568000,1375462000,1455693000,1580966000
28,Weighted Average Shares Outstanding Diluted,1016713000,1016713000,1167818983,1300568000,1375462000,1455693000,1580966000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1564408/000156459018002721/0001564590-18-002721-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459019002053/0001564590-19-002053-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459020003323/0001564590-20-003323-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459021004377/0001564590-21-004377-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459022003868/0001564590-22-003868-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,640810000,150121000,334063000,387149000,520317000,545618000,1993809000
32,Short-Term Investments,- -,837247000,1708976000,891914000,1592488000,1991922000,1699076000
33,Cash and Short-Term Investments,640810000,987368000,2043039000,1279063000,2112805000,2537540000,3692885000
34,Net Receivables,44325000,162659000,279473000,354965000,492194000,744288000,1068873000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,7429000,29958000,44282000,41900000,38987000,56147000,92244000
37,Total Current Assets,692564000,1179985000,2366794000,1675928000,2643986000,3337975000,4854002000
38,PP&E,44079000,100585000,166762000,212560000,449114000,448437000,524896000
39,Goodwill,133944000,319137000,639882000,632370000,761153000,939259000,1588452000
40,Intangible Assets,43230000,75982000,166473000,126054000,92121000,105929000,277654000
41,Intangible Assets,177174000,395119000,806355000,758424000,853274000,1045188000,1866106000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,25119000,47103000,81655000,67194000,65550000,192638000,291302000
45,Total Non-Current Assets,246372000,542807000,1054772000,1038178000,1367938000,1686263000,2682304000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,938936000,1722792000,3421566000,2714106000,4011924000,5024238000,7536306000
48,Accounts Payable,702000,8419000,71194000,30876000,46886000,71908000,125282000
49,Short-Term Debt,- -,- -,- -,- -,- -,41077000,52396000
50,Tax Payable,- -,- -,- -,- -,- -,38119000,- -
51,Deferred Revenue,- -,- -,- -,- -,20082000,- -,- -
52,Other Current Liabilities,155556000,343530000,275062000,261815000,432707000,554342000,674108000
53,Total Current Liabilities,156258000,351949000,346256000,292691000,499675000,667327000,851786000
54,Long-Term Debt,- -,- -,- -,- -,891776000,1962461000,2578596000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,18533000,47134000,82983000,110416000,360560000,64474000,315756000
58,Total Non-Current Liabilities,18533000,47134000,82983000,110416000,1252336000,2026935000,2894352000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,13494000,- -,16033000,- -,345357000,328369000,377905000
61,Total Liabilities,174791000,399083000,429239000,403107000,1752011000,2694262000,3746138000
62,Preferred Stock,4000,- -,- -,- -,- -,- -,- -
63,Common Stock,5000,10000,12000,13000,14000,14000,16000
64,Retained Earnings,-693219000,-2930696000,-4656667000,-5912578000,-6945930000,-7891542000,-8284466000
65,Other Comprehensive Income/Loss,-6727000,- -,14000000,3000000,1000000,21363000,5521000
66,Other Total Stockholders Equity,1464082000,4254395000,7634982000,8220564000,9204829000,10200141000,- -
67,Total Stockholders Equity,764145000,1323709000,2992327000,2310999000,2259913000,2329976000,3790168000
68,Total Liabilities And Stockholders Equity,938936000,1722792000,3421566000,2714106000,4011924000,5024238000,7536306000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,938936000,1722792000,3421566000,2714106000,4011924000,5024238000,7536306000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1564408/000156459018002721/0001564590-18-002721-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459019002053/0001564590-19-002053-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459020003323/0001564590-20-003323-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459021004377/0001564590-21-004377-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459022003868/0001564590-22-003868-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-372893000,-514643000,-3445066000,-1255911000,-1033660000,-944839000,-487955000
74,Depreciation and Amortization,15307000,29115000,61288000,91648000,87245000,86744000,119141000
75,Deferred Income Tax,-7700000,-7952000,-17490000,-383000,-491000,-6326000,- -
76,Stock Based Compensation,73524000,31842000,2639895000,538211000,686013000,770182000,1092135000
77,Change in Working Capital,-15486000,291730000,1192502000,-637301000,761074000,526337000,-195881000
78,Accounts Receivable,-41905000,-118434000,-104357000,-77506000,-147862000,-255818000,-332967000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-6724000,6486000,49696000,-33532000,20674000,20374000,53579000
81,Other Working Capital,536306000,828036000,2020538000,1383237000,2144311000,2670648000,- -
82,Other Non-Cash Items,626000,-441337000,-1165796000,573812000,-805139000,-599742000,-234560000
83,Cash Provided by Operating Activities,-306622000,-611245000,-734667000,-689924000,-304958000,-167644000,292880000
84,CAPEX,-28305000,-67013000,-92625000,-122807000,-36478000,-57832000,-111035000
85,Acquisitions Net,- -,- -,-386000000,-1000000,-3000000,-168850000,-310915000
86,Purchases of Investments,-9551000,-1571860000,-3872667000,-1676413000,-2482869000,-3636185000,-2438983000
87,Sales/Maturities of Investments,- -,728588000,2994293000,2483213000,1793033000,3127497000,2916280000
88,Other Investing Activites,-72186000,-111621000,10260000,11461000,706000,5506000,-6280000
89,Cash Used for Investing Activites,-100942000,-1021334000,-1346739000,694454000,-728608000,-729864000,90227000
90,Debt Repayment,- -,-5000000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,2657797000,- -,- -,- -,- -
92,Common Stock Repurchased,-1000000,-10593000,-394156000,-551000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,651366000,1157483000,1707000,47988000,1165852000,922791000,1065073000
95,Cash Used/Provided by Financing Activities,650366000,1141890000,2265348000,47437000,1165852000,922791000,1065073000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,242802000,-490689000,183942000,51967000,132286000,25283000,1448180000
98,Cash at the End of Period,640810000,150121000,334063000,388974000,521260000,546543000,1994723000
99,Cash at the Beginning of Period,398008000,640810000,150121000,337007000,388974000,521260000,546543000
100,Free Cash Flow,-334927000,-678258000,-827292000,-812731000,-341436000,-225476000,181845000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1564408/000156459018002721/0001564590-18-002721-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459019002053/0001564590-19-002053-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459020003323/0001564590-20-003323-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459021004377/0001564590-21-004377-index.htm,https://www.sec.gov/Archives/edgar/data/1564408/000156459022003868/0001564590-22-003868-index.htm
102,false,,,,,,,
