,https://roic.ai/company/BSGM,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,441
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,397
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,44
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0998
5,Research and Development Exp.,992207,547996,1238548,2654501,4756468,4368784,9738819,18136000,5602
6,General and Administrative Exp.,5229252,7304440,10795007,8499304,8138117,12881027,24810712,40954000,27853
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5229252,7304440,10795007,8499304,8138117,12881027,24810712,40954000,27853
9,Other Expenses,- -,15809,10475,10475,11698,12403,54349,94000,198
10,Operating Expenses,6221459,7868245,12044030,11164280,12906283,17262214,34603880,59184000,33653
11,COGS and Expenses,6238518,7868245,12044030,11164280,12906283,17262214,34603880,59184000,34050
12,Interest Income ,- -,- -,- -,1,- -,10897,- -,45000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,17059,15809,10475,10475,11698,12403,54349,550000,198
15,EBITDA,-6221459,-7852436,-12033555,-11153805,-12894585,-17249811,-34549531,-58633000,-32658
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-74.0544
17,Operating Income,-6238518,-7868245,-12044030,-11164280,-12906283,-17262214,-34603880,-59184000,-33411
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-75.7619
19,Total Other Income Expenses (Gains),-3566113,-604795,2582578,-422907,210540,10897,133203,44000,555
20,Income Before Tax,-9804631,-8473040,-9461452,-11587187,-12695743,-17251317,-34470677,-59140000,-32856
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-74.5034
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-930
23,Net Income,-9804631,-8473040,-9461452,-11587187,-12695743,-17251317,-34054828,-52218000,-31926
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-72.3946
25,EPS,-1.15,-2.27,-1.75,-1.50,-1.25,-1.25,-1.65,-1.87,-0.00
26,EPS Diluted,-1.15,-2.27,-1.75,-1.50,-1.25,-1.25,-1.65,-1.87,-0.00
27,Weighted Average Shares Outstanding,8791214,3860110,5641222,7796306,10220274,14504360,20694662,27906584,27906584
28,Weighted Average Shares Outstanding Diluted,8791214,3860110,5641222,7796306,10220274,14504360,20694662,27906584,27906584
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1530766/000118518515000355/0001185185-15-000355-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518516003899/0001185185-16-003899-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518517000698/0001185185-17-000698-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518518000331/0001185185-18-000331-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518519000363/0001185185-19-000363-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518520000296/0001185185-20-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518521000325/0001185185-21-000325-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518522000369/0001185185-22-000369-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,302187,239781,953234,1055895,1547579,4450160,12108582,28268000,11659
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,302187,239781,953234,1055895,1547579,4450160,12108582,28268000,11659
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,577690,768000,1881
36,Other Current Assets,- -,75537,31308,134263,116938,178442,141221,301000,354
37,Total Current Assets,302187,315318,984542,1190158,1664517,4628602,12827493,29337000,13894
38,PP&E,24866,13020,18408,24188,18716,44346,894710,595044,652
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,269646,365661,347000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,269646,365661,347000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,25000,25000,27612,27612,17084,54238,129249,106956,973
45,Total Non-Current Assets,49866,38020,46020,51800,35800,368230,1389620,1049000,1625
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,352053,353338,1030562,1241958,1700317,4996832,14217113,30386000,15519
48,Accounts Payable,- -,226305,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,30781,- -,- -,- -,- -,- -,412288,313000,283
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,32
52,Other Current Liabilities,2986720,999095,2470193,2959162,3965161,1197563,1617254,4795000,2261
53,Total Current Liabilities,3017501,1225400,2470193,2959162,3965161,1197563,2029542,5108000,2576
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,373
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,5
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,311131,1000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,311131,1000,378
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,723419,314000,- -
61,Total Liabilities,3017501,1225400,2470193,2959162,3965161,1197563,2340673,5109000,378
62,Preferred Stock,2297107,2711000,1471000,1070000,985001,475000,215000,105000,- -
63,Common Stock,8412,11179,16826,22588,29321,16869,23323,31000,36
64,Retained Earnings,-14007005,-22780404,-32241856,-43829043,-56524786,-70731941,-104786769,-157005000,-188922
65,Other Comprehensive Income/Loss,-33874,-49683,-60158,-70633,-81318,-93720,-445692,- -,- -
66,Other Total Stockholders Equity,9069912,19235846,29374557,41089884,53326938,74133061,116355750,181344000,201127
67,Total Stockholders Equity,-2665448,-872062,-1439631,-1717204,-2264844,3799269,11361612,24475000,12241
68,Total Liabilities And Stockholders Equity,352053,353338,1030562,1241958,1700317,4996832,13702285,29584000,12619
69,Minority Interest,- -,- -,- -,- -,- -,- -,514828,802000,2900
70,Total Liabilities & Equity,352053,353338,1030562,1241958,1700317,4996832,14217113,30386000,15519
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1530766/000118518515000355/0001185185-15-000355-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518516003899/0001185185-16-003899-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518517000698/0001185185-17-000698-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518518000331/0001185185-18-000331-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518519000363/0001185185-19-000363-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518520000296/0001185185-20-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518521000325/0001185185-21-000325-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518522000369/0001185185-22-000369-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-9804631,-8473040,-9461452,-11587187,-12695743,-17251317,-34054828,-52218000,-32856
74,Depreciation and Amortization,17059,15809,10475,10475,11698,12403,54349,550000,198
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3305063,5743425,7968036,5999750,4749470,6600587,15177677,25165000,9500
77,Change in Working Capital,366754,1805232,-575569,-283353,-531640,5731683,7366912,13431049,-24217682
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-577690,-287000,-1114
80,Accounts Payable,349809,-110844,-333494,149661,102338,478751,- -,- -,- -
81,Other Working Capital,-2715314,-910082,-1485651,-1769004,-2300644,3431039,10797951,24229000,11318
82,Other Non-Cash Items,4353296,-1088498,-2465241,752863,996161,-5348783,-4027092,-13529049,24214441
83,Cash Provided by Operating Activities,-1762459,-1997072,-4523751,-5107452,-7470054,-10255427,-15482982,-26601000,-26399
84,CAPEX,-11716,-3963,-15863,-16255,-9436,-307679,-288683,-87000,-542
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-2612,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-269646,-108842,- -,- -
89,Cash Used for Investing Activites,-11716,-3963,-18475,-16255,-9436,-307679,-285934,-87000,-542
90,Debt Repayment,-30000,-30781,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,299974,1969410,4759798,5226368,6041214,9139721,10007188,27443000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,180,-9
94,Other Financing Activites,1782151,- -,495881,- -,1929960,4325966,13420150,15403820,10341
95,Cash Used/Provided by Financing Activities,2052125,1938629,5255679,5226368,7971174,13465687,23427338,42847000,10332
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,277950,-62406,713453,102661,491684,2902581,7658422,16159000,-28256341
98,Cash at the End of Period,302187,239781,953234,1055895,1547579,4450160,12108582,28268000,11659
99,Cash at the Beginning of Period,24237,302187,239781,953234,1055895,1547579,4450160,12109000,28268000
100,Free Cash Flow,-1774175,-2001035,-4539614,-5123707,-7479490,-10563106,-15771665,-26688000,-26941
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1530766/000118518515000355/0001185185-15-000355-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518516003899/0001185185-16-003899-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518517000698/0001185185-17-000698-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518518000331/0001185185-18-000331-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518519000363/0001185185-19-000363-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518520000296/0001185185-20-000296-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518521000325/0001185185-21-000325-index.htm,https://www.sec.gov/Archives/edgar/data/1530766/000118518522000369/0001185185-22-000369-index.htm
102,false,,,,,,,,,
