,https://roic.ai/company/KINS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1024057,1118647,996618,1031033,9149909,7815424,3520464,3783729,8685751,15088015,13921162,11081947,5745197,911225,7666775,21595931,27692716,29077714,36566185,50051492,64175734,77436664,92769310,113771898,145563020,131307659,161231000
2,COGS,16701,14285,23197,19572,1443338,1302487,826284,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18480958,22949326,29157516,38497140,46116851,55367791,83637342,- -,- -,- -
3,Gross Profit,1007356,1104362,973421,1011461,7706571,6512937,2694180,3783729,8685751,15088015,13921162,11081947,5745197,911225,7666775,21595931,- -,10596756,13616859,20893976,25678594,31319813,37401519,30134556,- -,131307659,- -
4,Gross Profit Ratio,0.9837,0.9872,0.9767,0.9810,0.8423,0.8333,0.7653,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,0.3644,0.3724,0.4174,0.4001,0.4045,0.4032,0.2649,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,493402,667119,647733,624826,7352473,6938922,2861849,- -,- -,- -,- -,- -,- -,1860485,1182047,1610057,1203002,1000308,1099370,1487345,1504121,1909779,3512927,2575404,4177731,4282773,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",493402,667119,647733,624826,7352473,6938922,2861849,- -,- -,- -,- -,- -,- -,1860485,1182047,1610057,1203002,1000308,1099370,1487345,1504121,1909779,3512927,2575404,4177731,4282773,- -
9,Other Expenses,457049,437686,465686,493886,721998,788259,526271,3010945,7430142,13166827,12676038,10896067,7137891,69624,4145964,11451531,22796998,8445217,9665168,11531172,13865400,15991567,19518542,22730492,147822269,122133380,4183000
10,Operating Expenses,950451,1104805,1113419,1118712,8074471,7727181,3388120,3010945,7430142,13166827,12676038,10896067,7137891,1930109,5328011,13061588,24000000,9445525,10764538,13018517,15369521,17901346,23031469,25305896,152000000,126416153,4183000
11,COGS and Expenses,967152,1119090,1136616,1138284,9517809,9029668,4214404,3010945,7430142,13166827,12676038,10896067,7137891,1930109,2646679,19746553,24101082,28008099,33789598,42176033,53866661,64018197,78459595,110764835,153345564,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,78660,15960,2460,9085,10006,18930,1187298,1298457,769237,60757,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,144173,47429,64299,420192,1264420,1110601,1354328,516644,337271,311375,259380,120876,81616,75734,- -,- -,- -,60335,1821597,1826180,1826180,1826000
14,Depreciation and Amortization,51901,51544,52185,40492,721998,788259,293605,153175,312186,484184,476206,577060,328663,69624,269092,615277,602704,596347,646483,874907,1032009,1124921,1402928,1787150,2545946,2864583,3290445
15,EBITDA,108806,51101,-87813,-66759,279195,-2760865,-568181,1274015,2044789,3604368,2488567,2855725,571361,-961536,5334505,2625228,4315214,1747578,3498804,8750366,11341082,14543388,15772978,6615810,-3410418,9381930,-4292555
16,EBITDA ratio,0.1062,0.0457,-0.0881,-0.0647,0.0305,-0.3533,-0.1614,0.3367,0.2354,0.2389,0.1788,0.2577,0.0995,-1.0552,0.6958,0.1216,0.1558,0.0601,0.0957,0.1748,0.1767,0.1878,0.1700,0.0581,-0.0234,0.0714,-0.0266
17,Operating Income,56905,-443,-139998,-107251,-367900,-1214244,-693940,772784,1255609,1921188,1245124,185880,-1392694,-1018884,-218512,1849378,- -,1069615,2776587,7875459,10309073,13418467,14370050,4828660,- -,4891506,- -
18,Operating Income ratio,0.0556,-0.0004,-0.1405,-0.1040,-0.0402,-0.1554,-0.1971,0.2042,0.1446,0.1273,0.0894,0.0168,-0.2424,-1.1181,-0.0285,0.0856,- -,0.0368,0.0759,0.1573,0.1606,0.1733,0.1549,0.0424,- -,0.0373,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-74903,-2479053,-215275,-61839,102898,-65424,-343364,738457,847580,431966,5238608,- -,920732,- -,- -,- -,- -,- -,-60335,-1821597,1828362,-200339,- -
20,Income Before Tax,56905,-443,-139998,-107251,-442803,-3693297,-909215,710945,1358507,1855764,901760,924337,-545114,-586918,5020096,1849378,3591634,1069615,2776587,7875459,10309073,13418467,14309715,3007063,-7782544,4691167,-9409000
21,Income Before Tax Ratio,0.0556,-0.0004,-0.1405,-0.1040,-0.0484,-0.4726,-0.2583,0.1879,0.1564,0.1230,0.0648,0.0834,-0.0949,-0.6441,0.6548,0.0856,0.1297,0.0368,0.0759,0.1573,0.1606,0.1733,0.1543,0.0264,-0.0535,0.0357,-0.0584
22,Income Tax expense (Gain),5676,4656,3994,4330,7239,25000,20336,10534,22608,481400,406000,415952,-226501,-391225,-66804,767434,1088513,302909,764269,2547040,3349453,4518701,4323230,-86183,-1816191,- -,-2031000
