,https://roic.ai/company/BEKE,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,25505698000,28646499000,46014906000,70480978000,80752439000
2,COGS,20737641000,21776523000,34746862000,53621121000,64933024000
3,Gross Profit,4768057000,6869976000,11268044000,16859857000,15819415000
4,Gross Profit Ratio,0.1869,0.2398,0.2449,0.2392,0.1959
5,Research and Development Exp.,251802000,670922000,1571154000,2477911000,3193988000
6,General and Administrative Exp.,4281571000,4927367000,8376531000,7588809000,8924470000
7,Selling and Marketing Exp.,998575000,2489692000,3105899000,3715278000,4309116000
8,"Selling, General and Administrative Exp.",5280146000,7417059000,11482430000,11304087000,13233586000
9,Other Expenses,-198188000,-335502000,-344811000,-876255000,- -
10,Operating Expenses,5333760000,7752479000,12708773000,12905743000,16427574000
11,COGS and Expenses,26071401000,29529002000,47455635000,66526864000,81360598000
12,Interest Income ,126381000,172681000,437869000,383116000,354567000
13,Interest Expense (Gain),43791000,43517000,181099000,188364000,- -
14,Depreciation and Amortization,811203000,792294000,1039318000,1173972000,- -
15,EBITDA,679847000,296603000,-58766000,5748724000,1141363000
16,EBITDA ratio,0.0267,0.0104,-0.0013,0.0816,0.0141
17,Operating Income,-763891000,-1218005000,-1785540000,2841809000,-1354864000
18,Operating Income ratio,-0.0299,-0.0425,-0.0388,0.0403,-0.0168
19,Total Other Income Expenses (Gains),625553000,718940000,509776000,1545310000,2495590000
20,Income Before Tax,-138338000,-499065000,-1275764000,4387119000,1140726000
21,Income Before Tax Ratio,-0.0054,-0.0174,-0.0277,0.0622,0.0141
22,Income Tax expense (Gain),399283000,-71384000,904363000,1608796000,1665492000
23,Net Income,-574430000,-467824000,-2183546000,2777592000,-524129000
24,Net Income ratio,-0.0225,-0.0163,-0.0475,0.0394,-0.0065
25,EPS,-1.75,-2.39,-2.64,0.96,-0.45
26,EPS Diluted,-1.75,-2.39,-2.64,0.96,-0.45
27,Weighted Average Shares Outstanding,825583340,996878318,825583340,742088286,1183040543
28,Weighted Average Shares Outstanding Diluted,825583340,1001128820,825583340,755776964,1183040543
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,5236100000,9115649000,24319332000,40969979000,20446104000
32,Short-Term Investments,7587433000,2523199000,1844595000,15688321000,29402661000
33,Cash and Short-Term Investments,12823533000,11638848000,26163927000,56658300000,49848765000
34,Net Receivables,4827785000,10790010000,13797112000,18343199000,10661534000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,6416613000,4945926000,11951447000,12537602000,9416055000
37,Total Current Assets,24067931000,27374784000,51912486000,87539101000,69926354000
38,PP&E,6002914000,6089232000,6731345000,8266375000,9215918000
39,Goodwill,710983000,1135034000,2477075000,2467497000,1805689000
40,Intangible Assets,264726000,196998000,2588340000,1669836000,1141273000
41,Intangible Assets,975709000,1332032000,5065415000,4137333000,2946962000
42,Investments,379972000,418469000,2333745000,3140315000,17038171000
43,Tax Assets,147535000,672622000,520292000,884435000,- -
44,Other Non-Current Assets,5874000,2979125000,702029000,327977000,1191460000
45,Total Non-Current Assets,7512004000,11491480000,15352826000,16756435000,30392511000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,31579935000,38866264000,67265312000,104295536000,100318865000
48,Accounts Payable,359267000,1411255000,4032881000,6442545000,6008765000
49,Short-Term Debt,3104436000,3057784000,5234468000,4138489000,3206995000
50,Tax Payable,979719000,705532000,1385767000,1595602000,567589000
51,Deferred Revenue,244438000,303814000,593373000,798341000,1101929000
52,Other Current Liabilities,12339145000,15800028000,17936953000,22253971000,18618448000
53,Total Current Liabilities,16047286000,20572881000,27797675000,33633346000,28936137000
54,Long-Term Debt,2577773000,2901912000,7811770000,3848914000,4302934000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,518091000,532931000,22446000,17289000,22920000
57,Other Non-Current Liabilities,- -,- -,97829000,3471000,1381000
58,Total Non-Current Liabilities,3095864000,3434843000,7932045000,3869674000,4327235000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,4303979000,4705587000,5136985000,6459893000,7055729000
61,Total Liabilities,19143150000,24007724000,35729720000,37503020000,33263372000
62,Preferred Stock,17597423000,22662309000,40372895000,- -,- -
63,Common Stock,178000,189000,202000,482000,489000
64,Retained Earnings,-5370788000,-7988936000,-11775637000,-9227664000,-9842846000
65,Other Comprehensive Income/Loss,144136000,174511000,317040000,-1441253000,-2155836000
66,Other Total Stockholders Equity,- -,- -,2533889000,77433882000,78972169000
67,Total Stockholders Equity,12370949000,14848073000,31448389000,66765447000,66973976000
68,Total Liabilities And Stockholders Equity,31514099000,38855797000,67178109000,104268467000,100237348000
69,Minority Interest,65836000,10467000,87203000,27069000,81517000
70,Total Liabilities & Equity,31579935000,38866264000,67265312000,104295536000,100318865000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-574430000,-467824000,-2183546000,2777592000,-524129000
74,Depreciation and Amortization,811203000,792294000,1039318000,1173972000,- -
75,Deferred Income Tax,-203012000,-514851000,-438661000,-359429000,- -
76,Stock Based Compensation,475783000,382196000,2955590000,2252589000,- -
77,Change in Working Capital,-6857270000,3078663000,-1761834000,2991265000,- -
78,Accounts Receivable,-498216000,-769062000,-5040865000,-5835383000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-699805000,1097762000,2719717000,2302917000,- -
81,Other Working Capital,-1483406000,968413000,1016790000,2259573000,- -
82,Other Non-Cash Items,-108500000,-53681000,501759000,525960000,4119251000
83,Cash Provided by Operating Activities,-6456226000,3216797000,112626000,9361949000,3595122000
84,CAPEX,-575185000,-542853000,-703008000,-887002000,- -
85,Acquisitions Net,66430000,-288051000,-743213000,14657000,- -
86,Purchases of Investments,-56418783000,-41074018000,-12269445000,-53962196000,- -
87,Sales/Maturities of Investments,55459660000,46313084000,11136382000,39767644000,- -
88,Other Investing Activites,-1315684000,-1799013000,-1294438000,89279000,-24884074000
