,https://roic.ai/company/ATNX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,13944000,20551000,38043000,89100000,101229000,144391000,27917000
2,COGS,13153000,19718000,25122000,47005000,69619000,95355000,82406000
3,Gross Profit,791000,833000,12921000,42095000,31610000,49036000,-54489000
4,Gross Profit Ratio,0.0567,0.0405,0.3396,0.4724,0.3123,0.3396,-1.9518
5,Research and Development Exp.,24463000,60624000,76797000,119905000,84393000,75904000,-80197000
6,General and Administrative Exp.,27036000,25956000,46112000,49008000,66749000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",27036000,25956000,46112000,49008000,66749000,- -,-72553000
9,Other Expenses,- -,- -,- -,- -,- -,96855000,- -
10,Operating Expenses,51499000,86580000,122909000,168913000,151142000,172759000,-152750000
11,COGS and Expenses,64652000,106298000,148031000,215918000,220761000,268114000,222222000
12,Interest Income ,- -,- -,- -,- -,1881000,874000,227000
13,Interest Expense (Gain),1000,1891000,5912000,1793000,6954000,11219000,-20742000
14,Depreciation and Amortization,888000,2026000,3673000,3269000,3817000,4492000,- -
15,EBITDA,-49765000,-84063000,-121500000,-112278000,-112050000,-126380000,-212174000
16,EBITDA ratio,-3.5689,-4.0905,-3.1938,-1.2601,-1.1069,-0.8753,-7.6002
17,Operating Income,-50708000,-85747000,-109988000,-126818000,-119532000,-123723000,-184394000
18,Operating Income ratio,-3.6365,-4.1724,-2.8911,-1.4233,-1.1808,-0.8569,-6.6051
19,Total Other Income Expenses (Gains),-1000,-2424000,-21323000,-1793000,-5073000,-20623000,-7038000
20,Income Before Tax,-50709000,-88171000,-131311000,-128611000,-124605000,-144346000,-191432000
21,Income Before Tax Ratio,-3.6366,-4.2904,-3.4516,-1.4434,-1.2309,-0.9997,-6.8572
22,Income Tax expense (Gain),-54000,-265000,85000,100000,928000,4088000,10604000
23,Net Income,-50600000,-87715000,-131170000,-117440000,-123749000,-146179000,-202036000
24,Net Income ratio,-3.6288,-4.2682,-3.4479,-1.3181,-1.2225,-1.0124,-7.2370
25,EPS,-1.09,-2.27,-2.25,-1.82,-1.67,-1.72,-1.92
26,EPS Diluted,-1.09,-2.27,-2.25,-1.82,-1.67,-1.72,-1.92
27,Weighted Average Shares Outstanding,46495564,42265354,58221442,64527473,74054261,85082868,103938451
28,Weighted Average Shares Outstanding Diluted,46495564,42265354,58221442,64527473,74054261,85082868,103938451
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1300699/000156459018006715/0001564590-18-006715-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459019007092/0001564590-19-007092-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459020008138/0001564590-20-008138-index.html,https://www.sec.gov/Archives/edgar/data/1300699/000156459021009879/0001564590-21-009879-index.htm,https://www.sec.gov/Archives/edgar/data/1300699/000095017022003973/0000950170-22-003973-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,43495000,33125000,39284000,49794000,127674000,69587000,51702000
32,Short-Term Investments,12271000,8628000,11753000,57629000,33139000,138636000,10207000
33,Cash and Short-Term Investments,55766000,41753000,51037000,107423000,160813000,208223000,61909000
34,Net Receivables,3832000,2777000,8468000,12951000,16689000,23603000,26637000
35,Inventory,3256000,4240000,16561000,28787000,32630000,28846000,34685000
36,Other Current Assets,2340000,3153000,7692000,21658000,20794000,31289000,-61322000
37,Total Current Assets,65194000,51923000,83758000,170819000,230926000,291961000,61909000
38,PP&E,6289000,5810000,9651000,11447000,31971000,42309000,34221000
39,Goodwill,37996000,37552000,37795000,37495000,38513000,38891000,- -
40,Intangible Assets,7158000,8464000,8572000,10848000,8522000,10218000,71896000
