,https://roic.ai/company/IMUX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,5515000,5097000,21787000,39479000,39773000,30046000,39341000,24825000,22512000,38637000,61115000
6,General and Administrative Exp.,- -,- -,9615000,10863000,12347000,11220000,13314000,13585000,14520000,10334000,13300000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,9615000,10863000,12347000,11220000,13314000,13585000,14520000,10334000,13300000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17250000
10,Operating Expenses,- -,- -,31402000,50342000,52120000,41266000,52655000,38410000,37032000,48971000,91665000
11,COGS and Expenses,8581000,9580000,31402000,50342000,52120000,41266000,52655000,38410000,37032000,48971000,91665000
12,Interest Income ,2000,4000,5000,19000,58000,284000,650000,521000,107000,58000,66000
13,Interest Expense (Gain),9249000,413000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,961000,651000,799000,1087000,1328000,1808000,998000,727000,50000,39000,85000
15,EBITDA,-7618000,-8925000,-30598000,-49255000,-50792000,-39458000,-51657000,-37683000,-36982000,-48932000,-91665000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-8581000,-9580000,-31402000,-50342000,-52120000,-41266000,-52655000,-42024000,-37032000,-48971000,-91665000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),2702000,2879000,-1316000,2675000,97000,297000,577000,549000,2099000,4954000,-1280000
20,Income Before Tax,-5879000,-6701000,-32718000,-47667000,-52023000,-40969000,-52078000,-41475000,-34933000,-44017000,-92945000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-5879000,-6701000,-32718000,-47667000,-52023000,-40969000,-52078000,-41475000,-34933000,-44017000,-92945000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-454.98,-541.90,-125.60,-141.60,-82.80,-52.40,-52.40,-39.20,-4.52,-2.81,-3.93
26,EPS Diluted,-454.98,-541.90,-125.60,-141.60,-82.80,-52.40,-52.40,-39.20,-4.52,-2.81,-3.93
27,Weighted Average Shares Outstanding,14104,14104,250215,401361,628823,784689,996475,1059231,7722269,15663826,23652779
28,Weighted Average Shares Outstanding Diluted,14104,14104,250215,401361,628823,784689,996475,1059231,7722269,15663826,23652779
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280776/000119312515098980/d833958d10k.htm,https://www.sec.gov/Archives/edgar/data/1280776/000162828016012388/0001628280-16-012388-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077617000010/0001280776-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077618000013/0001280776-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077619000025/0001280776-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077620000009/0001280776-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077621000009/0001280776-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1280776/000128077622000006/0001280776-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,803000,4477000,38186000,102238000,83416000,59991000,56901000,13324000,29369000,127452000,86863000
32,Short-Term Investments,- -,13996000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,803000,18473000,38186000,102238000,83416000,59991000,56901000,13324000,29369000,127452000,86863000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1643000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,86000,675000,5669000,2578000,1672000,1472000,1220000,908000,2861000,4650000,18125000
37,Total Current Assets,889000,19148000,43855000,104816000,85088000,61463000,58121000,14232000,32230000,133745000,104988000
38,PP&E,1094000,1184000,2467000,3068000,3809000,2505000,2155000,709000,713000,1104000,1100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,32970000,32970000,32970000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,32970000,32970000,32970000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,263000,198000,184000,58000,108000,37000,42000,42000,42000
45,Total Non-Current Assets,1094000,1184000,2730000,3266000,3993000,2563000,2263000,746000,33725000,34116000,34112000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1983000,20332000,46585000,108082000,89081000,64026000,60384000,14978000,65955000,167861000,139100000
48,Accounts Payable,870000,1144000,1224000,1153000,1221000,780000,1049000,268000,2423000,3700000,3745000
49,Short-Term Debt,534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1008000,- -,- -
52,Other Current Liabilities,594000,601000,3622000,9125000,5434000,4700000,9232000,2242000,3641000,4697000,7656000
53,Total Current Liabilities,1998000,1745000,4846000,10278000,6655000,5480000,10281000,2510000,7072000,8397000,11401000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,679000,584000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,54838000,26219000,321000,241000,101000,100000,59000,41000,520000,- -,- -
58,Total Non-Current Liabilities,54838000,26219000,321000,241000,101000,100000,59000,41000,520000,679000,584000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,520000,679000,584000
61,Total Liabilities,56836000,27964000,5167000,10519000,6756000,5580000,10340000,2551000,7592000,9076000,11985000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,2000,3000,3000,4000,4000,1000,2000,3000
64,Retained Earnings,-63747000,-70448000,-103166000,-150833000,-202856000,-243825000,-295953000,-337428000,-59911000,-103928000,-196873000
65,Other Comprehensive Income/Loss,83000,88000,96000,89000,80000,83000,78000,80000,-1373000,-4112000,-252000
66,Other Total Stockholders Equity,13197000,67720000,144487000,248305000,285098000,302185000,345915000,349771000,119646000,266823000,324237000
67,Total Stockholders Equity,-54853000,-7632000,41418000,97563000,82325000,58446000,50044000,12427000,58363000,158785000,127115000
68,Total Liabilities And Stockholders Equity,1983000,20332000,46585000,108082000,89081000,64026000,60384000,14978000,65955000,167861000,139100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1983000,20332000,46585000,108082000,89081000,64026000,60384000,14978000,65955000,167861000,139100000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280776/000119312515098980/d833958d10k.htm,https://www.sec.gov/Archives/edgar/data/1280776/000162828016012388/0001628280-16-012388-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077617000010/0001280776-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077618000013/0001280776-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077619000025/0001280776-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077620000009/0001280776-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077621000009/0001280776-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1280776/000128077622000006/0001280776-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-5879000,-6701000,-32718000,-47667000,-52023000,-40969000,-52078000,-41475000,-34933000,-44017000,-92945000
74,Depreciation and Amortization,961000,651000,799000,1087000,1328000,1808000,998000,727000,50000,39000,85000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,36000,144000,948000,2510000,4029000,4678000,5480000,3736000,6512000,2747000,5949000
77,Change in Working Capital,-104000,18512000,21606000,55529000,-16105000,-22450000,-8143000,-36118000,13436000,100190000,-31761000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-186000,-219000,-91000,46000,281000,-459000,287000,-770000,-462000,1000000,176000
81,Other Working Capital,-1109000,17403000,39009000,94538000,78433000,55983000,47840000,11722000,25158000,125348000,93587000
82,Other Non-Cash Items,-2845000,-21850000,-19283000,-52284000,12819000,21159000,13346000,29965000,-13610000,-105083000,35439000
83,Cash Provided by Operating Activities,-7831000,-9244000,-28648000,-40825000,-49952000,-35774000,-40397000,-43165000,-28545000,-46124000,-83233000
84,CAPEX,-18000,-261000,-1484000,-1409000,-2340000,-556000,-685000,-597000,-55000,-146000,-67000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-13992000,-2999000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,17000000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-335000,-608000,-631000,1059000,535000,7000,182000,10591000,- -,- -
89,Cash Used for Investing Activites,-18000,-14588000,11909000,-2040000,-1281000,-21000,-678000,-415000,10536000,-146000,-67000
90,Debt Repayment,-572000,-533000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,87899000,32189000,12355000,37998000,- -,35165000,144431000,8625000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8825000,28034000,50445000,19019000,232000,19000,-14000,4000,-270000,- -,34216000
95,Cash Used/Provided by Financing Activities,8253000,27501000,50445000,106918000,32421000,12374000,37984000,4000,34895000,144431000,42841000
96,Effect of Forex Changes on Cash,12000,5000,3000,-1000,-10000,-4000,1000,-1000,-589000,-78000,-130000
97,Net Change In Cash,416000,3674000,33709000,64052000,-18822000,-23425000,-3090000,-43577000,16297000,98083000,-40589000
98,Cash at the End of Period,803000,4477000,38186000,102238000,83416000,59991000,56901000,13324000,29369000,127452000,86863000
99,Cash at the Beginning of Period,387000,803000,4477000,38186000,102238000,83416000,59991000,56901000,13072000,29369000,127452000
100,Free Cash Flow,-7849000,-9505000,-30132000,-42234000,-52292000,-36330000,-41082000,-43762000,-28600000,-46270000,-83300000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280776/000119312515098980/d833958d10k.htm,https://www.sec.gov/Archives/edgar/data/1280776/000162828016012388/0001628280-16-012388-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077617000010/0001280776-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077618000013/0001280776-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077619000025/0001280776-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077620000009/0001280776-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1280776/000128077621000009/0001280776-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1280776/000128077622000006/0001280776-22-000006-index.htm
102,false,,,,,,,,,,,
