,https://roic.ai/company/ORGS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,2974000,6397000,10089000,18655000,33256000,7652000,35502000
2,COGS,500,- -,- -,- -,- -,- -,- -,3880000,7657000,6807000,10824000,18232000,30618000,36644000
3,Gross Profit,-500,- -,- -,- -,- -,- -,- -,-906000,-1260000,3282000,7831000,15024000,-22966000,-1142000
4,Gross Profit Ratio,-Infinity,- -,- -,- -,- -,- -,- -,-0.3046,-0.1970,0.3253,0.4198,0.4518,-3.0013,-0.0322
5,Research and Development Exp.,- -,- -,- -,- -,2308811,1640283,1692837,1067000,2157000,2478000,6464000,12458000,52887000,36644000
6,General and Administrative Exp.,- -,25648,21173,72352,2679748,3820219,2883793,4035000,5951000,10686000,16483000,25134000,19353000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,25648,21173,72352,2679748,3820219,2883793,4035000,5951000,10686000,16483000,25134000,19353000,14710000
9,Other Expenses,3000,- -,- -,- -,- -,- -,- -,1203000,2117000,1631000,-1017000,2036000,575000,- -
10,Operating Expenses,3000,25648,21173,72352,4988559,5460502,4576630,6305000,10225000,14795000,21930000,39628000,72815000,51354000
11,COGS and Expenses,3500,25648,21173,72352,4988559,5460502,4576630,10185000,17882000,21602000,32754000,57860000,103433000,87998000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,172510,691090,696000,689000,1233000,2753000,461000,1254000,- -
14,Depreciation and Amortization,- -,- -,- -,- -,1406,3257,4551,1991000,2923000,2598000,2624000,3806000,1435000,1864000
15,EBITDA,-3500,-25648,-6173,-72352,-4987153,-5457245,-4572079,-2674000,-7129000,-9846000,-11577000,-19291000,2190000,20025000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.8991,-1.1144,-0.9759,-0.6206,-0.5801,0.2862,0.5641
17,Operating Income,-3500,-25648,-21173,-72352,-4988559,-5460502,-4576630,-7211000,11277000,-11230000,-14650000,-24604000,-95781000,18059000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.4247,1.7629,-1.1131,-0.7853,-0.7398,-12.5171,0.5087
19,Total Other Income Expenses (Gains),- -,- -,-15000,- -,- -,-78657,-927471,1850000,-22018000,-2447000,-3117000,-874000,-955000,-108000
20,Income Before Tax,-3500,-25648,-36173,-72352,- -,-5539159,-5504101,-5361000,-10741000,-13677000,-17767000,-25478000,-96736000,17951000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-1.8026,-1.6791,-1.3556,-0.9524,-0.7661,-12.6419,0.5056
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-900000,-1547000,-1310000,1337000,563000,-1609000,108000
23,Net Income,-3500,-25648,-36173,-72352,-4998143,-5539159,-5504101,-4461000,-9194000,-12367000,-18291000,-24121000,1110000,18053000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.5000,-1.4372,-1.2258,-0.9805,-0.7253,0.1451,0.5085
25,EPS,-0.00,-0.00,-0.01,-0.01,-1.08,-1.32,-1.20,-0.96,-1.08,-1.28,-1.43,-1.77,0.29,0.85
26,EPS Diluted,-0.00,-0.00,-0.01,-0.01,-1.08,-1.32,-1.32,-1.32,-1.08,-1.31,-1.43,-1.77,0.29,0.85
27,Weighted Average Shares Outstanding,6708306,6708306,6708306,6708306,4522083,4206967,4513531,4649849,8521537,9679964,13374103,15907995,21320314,21320314
28,Weighted Average Shares Outstanding Diluted,6708306,6708306,6708306,6708306,4522083,4206967,4560145,4743390,8521537,9714252,13374103,15907995,21320314,21320314
