,https://roic.ai/company/PAYS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,4281402,3236513,6700388,6307891,10293180,8107541,10416672,15234091,23423675,34666653,24120434,29464849
2,COGS,- -,- -,5305359,4103680,4654715,4019514,5197370,8534272,12026452,15425178,14817028,14753042
3,Gross Profit,- -,- -,1395029,2204211,5638465,4088027,5219302,6699819,11397223,19241475,9303406,14711807
4,Gross Profit Ratio,- -,- -,0.2082,0.3494,0.5478,0.5042,0.5011,0.4398,0.4866,0.5550,0.3857,0.4993
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,548693,547694,760928,1476381,2715316,3734187,3288373,4055836,7835074,11656681,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",548693,547694,760928,1476381,2715316,3734187,3288373,4055836,7835074,11656681,15091432,14953322
9,Other Expenses,- -,- -,59250,58012,171594,362712,572320,876191,1089521,1483140,2124762,2497918
10,Operating Expenses,- -,- -,820178,1534393,2886910,4096899,3860693,4932027,8924595,13139821,17216194,17451240
11,COGS and Expenses,- -,- -,6125537,5638073,7541625,8116413,9058063,13466299,20951047,28564999,32033222,32204282
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,139738,441116,90720,28297
13,Interest Expense (Gain),66429,63700,62156,59084,141515,45683,77107,31623,- -,441116,90720,28297
14,Depreciation and Amortization,109115,43508,59249,58012,171594,362712,572320,876191,1089521,1483140,2543006,2497918
15,EBITDA,167252,322499,1938266,728780,2923593,-2001942,2050226,2704955,3677575,8468599,-5613654,-184921
16,EBITDA ratio,0.0391,0.0996,0.2893,0.1155,0.2840,-0.2469,0.1968,0.1776,0.1570,0.2443,-0.2327,-0.0063
17,Operating Income,3592792,- -,574851,669818,2751555,-8872,1358609,1767792,2472628,6101654,-8338100,-2739433
18,Operating Income ratio,0.8392,- -,0.0858,0.1062,0.2673,-0.0011,0.1304,0.1160,0.1056,0.1760,-0.3457,-0.0930
19,Total Other Income Expenses (Gains),-3608116,- -,1233723,-59084,-141515,-2540705,-60958,23918,108613,441116,90720,28297
20,Income Before Tax,-15324,215186,1808574,610734,2610040,-2549577,1297651,1791710,2581241,6542770,-8247380,-2711136
21,Income Before Tax Ratio,-0.0036,0.0665,0.2699,0.0968,0.2536,-0.3145,0.1246,0.1176,0.1102,0.1887,-0.3419,-0.0920
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,6000,- -,-909976,894182,10198
23,Net Income,-8292,215291,1816861,611684,2610484,-2410337,1400799,1791141,2588054,7454319,-9141562,-2721334
24,Net Income ratio,-0.0019,0.0665,0.2712,0.0970,0.2536,-0.2973,0.1345,0.1176,0.1105,0.2150,-0.3790,-0.0924
25,EPS,-0.00,0.01,0.05,0.02,0.07,-0.06,0.03,0.04,0.06,0.16,-0.19,-0.05
26,EPS Diluted,-0.00,0.01,0.05,0.01,0.06,-0.06,0.03,0.04,0.05,0.14,-0.19,-0.05
27,Weighted Average Shares Outstanding,34694833,35248827,36526943,38934053,38808085,39641175,42875519,43397477,45483693,47436754,49272494,50351971
28,Weighted Average Shares Outstanding Diluted,34694833,35248827,39574970,42394553,42405846,39641175,43867228,44934977,52347736,54550369,49272494,50351971
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1496443/000101968712001195/0001019687-12-001195-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968713001141/0001019687-13-001141-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968714001068/0001019687-14-001068-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968715001085/0001019687-15-001085-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000101968716005668/0001019687-16-005668-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316817000670/0001683168-17-000670-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316818000758/0001683168-18-000758-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316819000607/0001683168-19-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316820001096/0001683168-20-001096-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316821001067/0001683168-21-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1496443/000168316822001854/0001683168-22-001854-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,45765,67377,1872911,1027239,3886968,1389494,1631943,2748313,5615073,9663746,7829453,7387156
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,45765,67377,1872911,1027239,3886968,1389494,1631943,2748313,5615073,9663746,7829453,7387156
34,Net Receivables,1644887,1250320,81333,391611,86658,16742,110269,165523,337303,891936,654859,4413158
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6094478348,5512303,5066917,7124630,8006757,7318170,10273139,14989233,27225909,37321767,49476315,62526881
37,Total Current Assets,6096169000,6830000,7021161,8543480,11980383,8724406,12015351,17903069,33178285,47877449,57960627,74327195
38,PP&E,90196,88720,108938,121078,206929,271967,300761,854402,883490,937185,6173846,5636636
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
