,https://roic.ai/company/LDI,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,989696000,1202306000,4139419000,3724704000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,4312174000,3724704000
4,Gross Profit Ratio,- -,- -,- -,- -,1.0417,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,777242000,865749000,1703083000,214965000
7,Selling and Marketing Exp.,- -,- -,190777000,187880000,264337000,467590000
8,"Selling, General and Administrative Exp.",- -,- -,968019000,1053629000,1967420000,682555000
9,Other Expenses,- -,- -,- -,- -,-1531371000,- -
10,Operating Expenses,- -,- -,- -,- -,436049000,682555000
11,COGS and Expenses,- -,- -,- -,- -,436049000,- -
12,Interest Income ,- -,- -,122079000,127569000,142879000,- -
13,Interest Expense (Gain),- -,- -,146408000,171638000,179444000,-218457000
14,Depreciation and Amortization,- -,- -,36279000,61335000,60697000,35541000
15,EBITDA,- -,- -,- -,- -,3911794000,483601000
16,EBITDA ratio,- -,- -,- -,- -,0.9450,0.1298
17,Operating Income,- -,- -,- -,- -,3876125000,666517000
18,Operating Income ratio,- -,- -,- -,- -,0.9364,0.1789
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-1860767000,- -
20,Income Before Tax,- -,- -,-103344000,32671000,2015358000,666517000
21,Income Before Tax Ratio,- -,- -,-0.1044,0.0272,0.4869,0.1789
22,Income Tax expense (Gain),- -,- -,-475000,-1749000,2248000,43371000
23,Net Income,- -,- -,- -,- -,- -,623146000
24,Net Income ratio,- -,- -,- -,- -,- -,0.1673
25,EPS,- -,- -,- -,- -,- -,2.02
26,EPS Diluted,- -,- -,- -,- -,- -,2.02
27,Weighted Average Shares Outstanding,- -,- -,61881376,61881376,126337388,308631500
28,Weighted Average Shares Outstanding Diluted,- -,- -,147058824,147058824,126337388,308631500
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1831631/000183163121000007/0001831631-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1831631/000183163122000073/0001831631-22-000073-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,73301000,284224000,419571000
32,Short-Term Investments,- -,- -,- -,- -,- -,18553000
33,Cash and Short-Term Investments,- -,- -,- -,73301000,284224000,438124000
34,Net Receivables,- -,- -,- -,121046000,138122000,56183000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,4107764000,- -,-438124000
37,Total Current Assets,- -,- -,- -,4302111000,422346000,56183000
38,PP&E,- -,- -,- -,142590000,151435000,159908000
39,Goodwill,- -,- -,- -,40700000,40700000,- -
40,Intangible Assets,- -,- -,- -,450080000,1129956000,42317000
41,Intangible Assets,- -,- -,- -,490780000,1170656000,42317000
42,Investments,- -,- -,- -,17030000,17528000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-1211791000,- -
45,Total Non-Current Assets,- -,- -,- -,650400000,127828000,202225000
46,Other Assets,- -,- -,- -,5602911000,- -,11958355000
47,Total Assets,- -,- -,- -,4952511000,550174000,11812313000
48,Accounts Payable,- -,- -,- -,62494000,93215000,- -
49,Short-Term Debt,- -,- -,- -,3466567000,6577429000,1628208000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,-4802784000,- -
53,Total Current Liabilities,- -,- -,- -,3529061000,1867860000,1628208000
54,Long-Term Debt,- -,- -,- -,592095000,697466000,7457199000
55,Deferred Revenue,- -,- -,- -,18617000,17214000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1097546000
58,Total Non-Current Liabilities,- -,- -,- -,610712000,714680000,8554745000
59,Other Liabilities,- -,- -,- -,1658277000,8083435000,- -
60,Capital Lease Obligations,- -,- -,- -,114073000,89465000,- -
61,Total Liabilities,- -,- -,- -,4576626000,9236615000,10182953000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,211000
64,Retained Earnings,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-166602000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,542487000,1656613000,1629360000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,1629360000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,4952511000,10893228000,11812313000
69,Minority Interest,- -,- -,- -,- -,-10343054000,- -
70,Total Liabilities & Equity,- -,- -,- -,4952511000,550174000,11812313000
