,https://roic.ai/company/APVO,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,170000,45631000,33601000,36434000,14658000,23067000,32424000,4309000,12292000
2,COGS,- -,16254000,16933000,24182000,5010000,11214000,19927000,- -,- -
3,Gross Profit,170000,29377000,16668000,12252000,9648000,11853000,12497000,4309000,- -
4,Gross Profit Ratio,1.0000,0.6438,0.4961,0.3363,0.6582,0.5139,0.3854,1.0000,- -
5,Research and Development Exp.,38074000,46589000,34726000,29518000,29021000,35385000,29757000,-17852000,-18994000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,13951000,-14698000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,13951000,-14698000
9,Other Expenses,15451000,34280000,43042000,38666000,34576000,28133000,25336000,-27902000,- -
10,Operating Expenses,53525000,80869000,77768000,68184000,63597000,63518000,55093000,-31803000,-33692000
11,COGS and Expenses,53525000,97123000,94701000,92366000,68607000,74732000,75020000,31803000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,666000,2021000,2907000,3362000,3127000,2390000,2235000,1406000,1144000
15,EBITDA,-52671000,-49693000,-58430000,-124393000,-13201000,-51299000,-38213000,-16344000,-27313000
16,EBITDA ratio,-309.8294,-1.0890,-1.7389,-3.4142,-0.9006,-2.2239,-1.1785,-3.7930,-2.2220
17,Operating Income,-53355000,-51492000,-61100000,-126945000,-53949000,-51665000,-42596000,-27494000,-21400000
18,Operating Income ratio,-313.8529,-1.1284,-1.8184,-3.4842,-3.6805,-2.2398,-1.3137,-6.3806,-1.7410
19,Total Other Income Expenses (Gains),18000,-222000,-237000,-810000,-1944000,-2024000,-2102000,9744000,-7057000
20,Income Before Tax,-53337000,-51714000,-61337000,-127755000,-55893000,-53689000,-44698000,-17750000,-28457000
21,Income Before Tax Ratio,-313.7471,-1.1333,-1.8255,-3.5065,-3.8131,-2.3275,-1.3785,-4.1193,-2.3151
22,Income Tax expense (Gain),- -,-599000,-2020000,-15340000,-23301000,- -,- -,- -,- -
23,Net Income,-53337000,-51115000,-59317000,-112415000,6973000,-53689000,-40448000,-17750000,-28457000
24,Net Income ratio,-313.7471,-1.1202,-1.7653,-3.0854,0.4757,-2.3275,-1.2475,-4.1193,-2.3151
25,EPS,-37.77,-36.19,-41.72,-77.70,4.62,-33.46,-13.86,-5.23,-6.07
26,EPS Diluted,-37.77,-36.19,-41.72,-77.70,4.62,-33.46,-13.86,-5.23,-6.07
27,Weighted Average Shares Outstanding,1412222,1412222,1378436,1445662,1523948,1607156,2917034,3390919,4687952
28,Weighted Average Shares Outstanding Diluted,1412222,1412222,1378436,1445662,1523948,1607156,2917034,3390919,4687952
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1671584/000156459017005738/0001564590-17-005738-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459018005384/0001564590-18-005384-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459019008184/0001564590-19-008184-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459020012791/0001564590-20-012791-index.html,https://www.sec.gov/Archives/edgar/data/1671584/000156459021016875/0001564590-21-016875-index.htm,https://www.sec.gov/Archives/edgar/data/1671584/000156459022011575/0001564590-22-011575-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,3593000,4637000,9676000,7095000,30635000,12448000,39979000,45044000
32,Short-Term Investments,- -,- -,- -,44849000,73688000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3593000,4637000,54525000,80783000,30635000,12448000,39979000,45044000
34,Net Receivables,- -,15130000,7832000,4284000,2141000,5220000,7022000,- -,- -
35,Inventory,- -,17625000,20322000,6639000,1028000,1785000,6139000,- -,- -
36,Other Current Assets,- -,5203000,2343000,5966000,11132000,11049000,4386000,7285000,7526000
37,Total Current Assets,- -,41551000,35134000,71414000,95084000,48689000,29995000,47264000,52570000
38,PP&E,- -,3202000,4179000,5910000,5843000,5202000,7693000,2815000,3963000
39,Goodwill,- -,13902000,13902000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,61316000,59241000,14534000,6080000,5250000,- -,- -,- -
41,Intangible Assets,- -,75218000,73143000,14534000,6080000,5250000,4420000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
