,https://roic.ai/company/UPLD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,22763000,41193000,64574000,69911000,74767000,97952000,149885000,222637000,291778000,302016000
2,COGS,7310000,13467000,23121000,26671000,27565000,33647000,48589000,69117000,98446000,99453000
3,Gross Profit,15453000,27726000,41453000,43240000,47202000,64305000,101296000,153520000,193332000,202563000
4,Gross Profit Ratio,0.6789,0.6731,0.6419,0.6185,0.6313,0.6565,0.6758,0.6896,0.6626,0.6707
5,Research and Development Exp.,5308000,10340000,26165000,15778000,14919000,15795000,21320000,29388000,39002000,42693000
6,General and Administrative Exp.,4574000,6832000,13561000,18201000,18286000,23291000,32041000,48077000,68072000,76901000
7,Selling and Marketing Exp.,6331000,10625000,14670000,12965000,12160000,15307000,20935000,35170000,46077000,55097000
8,"Selling, General and Administrative Exp.",10905000,17457000,28231000,31166000,30446000,38598000,52976000,83247000,114149000,131998000
9,Other Expenses,1084000,3087000,3216000,4064000,4778000,5956000,13866000,25534000,63994000,41315000
10,Operating Expenses,17297000,30884000,57612000,51008000,50143000,60349000,88162000,138169000,217145000,216006000
11,COGS and Expenses,24607000,44351000,80733000,77679000,77708000,93996000,136751000,207286000,315591000,315459000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),528000,2797000,1951000,1858000,2781000,6582000,13273000,22313000,31529000,31626000
14,Depreciation and Amortization,2817000,5595000,7457000,8451000,9794000,11914000,21347000,34621000,47164000,52928000
15,EBITDA,766000,-97000,-10787000,-2316000,592000,1067000,13972000,4758000,27474000,17998000
16,EBITDA ratio,0.0337,-0.0024,-0.1670,-0.0331,0.0079,0.0109,0.0932,0.0214,0.0942,0.0596
17,Operating Income,-3777000,-4619000,-18345000,-10223000,-8524000,-11136000,-5594000,-24306000,-23813000,-34677000
18,Operating Income ratio,-0.1659,-0.1121,-0.2841,-0.1462,-0.1140,-0.1137,-0.0373,-0.1092,-0.0816,-0.1148
19,Total Other Income Expenses (Gains),-593000,-3228000,-1850000,-2402000,-3459000,-6293000,-15054000,-27870000,-31640000,-31879000
20,Income Before Tax,-4370000,-7847000,-20195000,-12625000,-11983000,-17429000,-20648000,-52176000,-55453000,-66556000
21,Income Before Tax Ratio,-0.1920,-0.1905,-0.3127,-0.1806,-0.1603,-0.1779,-0.1378,-0.2344,-0.1901,-0.2204
22,Income Tax expense (Gain),-72000,708000,-78000,1039000,1530000,1296000,-9809000,-6805000,- -,-8344000
23,Net Income,-2507000,-9197000,-20117000,-13664000,-13513000,-18725000,-10839000,-45371000,-51219000,-58212000
24,Net Income ratio,-0.1101,-0.2233,-0.3115,-0.1954,-0.1807,-0.1912,-0.0723,-0.2038,-0.1755,-0.1927
25,EPS,-0.25,-1.55,-4.43,-0.91,-0.82,-1.02,-0.50,-1.96,-1.92,-1.92
26,EPS Diluted,-0.25,-1.55,-4.43,-0.91,-0.82,-1.02,-0.50,-1.96,-1.92,-1.92
27,Weighted Average Shares Outstanding,10059553,5998613,4889901,14939601,16472799,18411247,19985528,23099549,26632116,30295769
28,Weighted Average Shares Outstanding Diluted,10059553,5998613,4889901,14939601,16472799,18411247,19985528,23906301,26632116,30295769
