,https://roic.ai/company/SAIC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,10580000000,10798000000,10587000000,11173000000,4121000000,3885000000,4315000000,4442000000,4454000000,4659000000,6379000000,7056000000,7394000000
2,COGS,9151000000,9374000000,9606000000,9809000000,3788000000,3550000000,3904000000,4003000000,4037000000,4195000000,5673000000,6264000000,6535000000
3,Gross Profit,1429000000,1424000000,981000000,1364000000,333000000,335000000,411000000,439000000,417000000,464000000,706000000,792000000,859000000
4,Gross Profit Ratio,0.1351,0.1319,0.0927,0.1221,0.0808,0.0862,0.0952,0.0988,0.0936,0.0996,0.1107,0.1122,0.1162
5,Research and Development Exp.,- -,- -,- -,- -,- -,5000000,4000000,4000000,4000000,5000000,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,92000000,90000000,154000000,172000000,144000000,159000000,288000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,92000000,90000000,154000000,172000000,144000000,159000000,288000000,- -,344000000
9,Other Expenses,593000000,495000000,670000000,592000000,- -,- -,26000000,- -,13000000,80000000,- -,348000000,- -
10,Operating Expenses,593000000,495000000,670000000,592000000,92000000,95000000,184000000,176000000,161000000,244000000,288000000,348000000,344000000
11,COGS and Expenses,9744000000,9869000000,10276000000,10401000000,3880000000,3645000000,4088000000,4179000000,4198000000,4439000000,5961000000,6612000000,6879000000
12,Interest Income ,2000000,2000000,5000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),98000000,94000000,119000000,93000000,7000000,17000000,44000000,52000000,44000000,53000000,90000000,122000000,105000000
14,Depreciation and Amortization,90000000,110000000,114000000,113000000,13000000,21000000,62000000,53000000,46000000,49000000,138000000,179000000,165000000
15,EBITDA,951000000,1115000000,502000000,867000000,196000000,261000000,289000000,320000000,304000000,272000000,511000000,570000000,470000000
16,EBITDA ratio,0.0899,0.1033,0.0474,0.0776,0.0476,0.0672,0.0670,0.0720,0.0683,0.0584,0.0801,0.0808,0.0636
17,Operating Income,836000000,929000000,311000000,734000000,183000000,240000000,227000000,271000000,256000000,220000000,370000000,390000000,-3000000
18,Operating Income ratio,0.0790,0.0860,0.0294,0.0657,0.0444,0.0618,0.0526,0.0610,0.0575,0.0472,0.0580,0.0553,-0.0004
19,Total Other Income Expenses (Gains),-90000000,-90000000,-109000000,-75000000,-7000000,-17000000,-44000000,-59000000,-42000000,-50000000,-84000000,-119000000,361000000
20,Income Before Tax,746000000,839000000,202000000,659000000,176000000,223000000,183000000,212000000,214000000,170000000,286000000,271000000,358000000
21,Income Before Tax Ratio,0.0705,0.0777,0.0191,0.0590,0.0427,0.0574,0.0424,0.0477,0.0480,0.0365,0.0448,0.0384,0.0484
22,Income Tax expense (Gain),281000000,300000000,213000000,135000000,63000000,82000000,66000000,72000000,35000000,33000000,57000000,60000000,-79000000
23,Net Income,482000000,611000000,56000000,526000000,113000000,141000000,117000000,143000000,179000000,137000000,226000000,209000000,279000000
24,Net Income ratio,0.0456,0.0566,0.0053,0.0471,0.0274,0.0363,0.0271,0.0322,0.0402,0.0294,0.0354,0.0296,0.0377
25,EPS,1.43,1.81,0.17,1.60,2.33,3.01,2.55,3.33,4.13,3.16,3.87,3.60,4.80
26,EPS Diluted,1.42,1.80,0.17,1.60,2.27,2.91,2.47,3.22,4.02,3.11,3.83,3.56,4.75
27,Weighted Average Shares Outstanding,338000000,338000000,329000000,329000000,48600000,46900000,45800000,44500000,43300000,43400000,58400000,58100000,58100000
28,Weighted Average Shares Outstanding Diluted,339000000,339000000,329000000,329000000,49700000,48500000,47400000,45900000,44500000,44100000,59000000,58700000,58700000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1571123/000119312514135913/0001193125-14-135913-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000156459015002280/saic-10k_20150130.htm,https://www.sec.gov/Archives/edgar/data/1571123/000156459016015504/0001564590-16-015504-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000156459017005636/0001564590-17-005636-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112318000010/0001571123-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112319000004/0001571123-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112320000013/0001571123-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112321000015/0001571123-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1571123/000157112322000007/0001571123-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1367000000,1592000000,736000000,254000000,301000000,195000000,210000000,144000000,237000000,188000000,171000000,106000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1367000000,1592000000,736000000,254000000,301000000,195000000,210000000,144000000,237000000,188000000,171000000,106000000
34,Net Receivables,- -,2069000000,2174000000,1889000000,621000000,544000000,635000000,539000000,674000000,1050000000,1099000000,962000000,1015000000
35,Inventory,- -,116000000,168000000,192000000,59000000,- -,- -,- -,- -,- -,84000000,78000000,142000000
36,Other Current Assets,- -,315000000,271000000,262000000,60000000,97000000,122000000,152000000,132000000,146000000,59000000,78000000,- -
37,Total Current Assets,- -,3867000000,4205000000,3079000000,994000000,942000000,952000000,901000000,950000000,1433000000,1430000000,1289000000,1263000000
38,PP&E,- -,359000000,348000000,318000000,60000000,59000000,71000000,60000000,61000000,103000000,281000000,344000000,309000000
39,Goodwill,- -,1664000000,1826000000,2195000000,379000000,379000000,860000000,863000000,863000000,2120000000,2139000000,2787000000,2913000000
40,Intangible Assets,- -,211000000,176000000,190000000,4000000,2000000,224000000,200000000,179000000,803000000,711000000,1138000000,1132000000
41,Intangible Assets,- -,1875000000,2002000000,2385000000,383000000,381000000,1084000000,1063000000,1042000000,2923000000,2850000000,3925000000,4045000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,51000000,37000000,14000000,1000000,19000000,8000000,10000000,23000000,- -,- -,- -,43000000
44,Other Non-Current Assets,- -,71000000,75000000,79000000,9000000,-12000000,7000000,8000000,-3000000,104000000,150000000,165000000,86000000
45,Total Non-Current Assets,- -,2356000000,2462000000,2796000000,453000000,447000000,1170000000,1141000000,1123000000,3130000000,3281000000,4434000000,4483000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6223000000,6667000000,5875000000,1447000000,1389000000,2122000000,2042000000,2073000000,4563000000,4711000000,5723000000,5746000000
48,Accounts Payable,- -,1198000000,487000000,435000000,384000000,315000000,351000000,329000000,397000000,455000000,527000000,517000000,612000000
49,Short-Term Debt,- -,- -,- -,- -,13000000,- -,- -,- -,- -,- -,70000000,68000000,148000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,5000000,7000000,13000000,- -,- -,- -
51,Deferred Revenue,- -,- -,211000000,132000000,3000000,- -,8000000,13000000,23000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,543000000,2327000000,1226000000,164000000,237000000,329000000,281000000,275000000,442000000,531000000,690000000,592000000
53,Total Current Liabilities,- -,1741000000,3025000000,1793000000,564000000,552000000,688000000,623000000,695000000,897000000,1128000000,1275000000,1352000000
54,Long-Term Debt,- -,2338000000,1419000000,1318000000,489000000,454000000,1013000000,1022000000,983000000,2065000000,1851000000,2652000000,2562000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,- -,- -,43000000
56,Deferred Tax Liabilities,- -,- -,- -,25000000,- -,25000000,8000000,13000000,23000000,- -,- -,- -,43000000
57,Other Non-Current Liabilities,- -,135000000,162000000,143000000,17000000,13000000,33000000,35000000,45000000,82000000,305000000,244000000,127000000
58,Total Non-Current Liabilities,- -,2473000000,1581000000,1486000000,506000000,492000000,1054000000,1070000000,1051000000,2181000000,2156000000,2896000000,2775000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172000000,205000000,- -
61,Total Liabilities,- -,4214000000,4606000000,3279000000,1070000000,1044000000,1742000000,1693000000,1746000000,3078000000,3284000000,4171000000,4127000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1619000000
64,Retained Earnings,- -,1783000000,1839000000,2365000000,30000000,116000000,174000000,260000000,323000000,367000000,506000000,627000000,992000000
65,Other Comprehensive Income/Loss,- -,-398000000,-424000000,-442000000,-2000000,-5000000,-9000000,-2000000,4000000,-14000000,-72000000,-89000000,-37000000
66,Other Total Stockholders Equity,- -,624000000,646000000,673000000,349000000,234000000,215000000,91000000,- -,1132000000,983000000,- -,- -
67,Total Stockholders Equity,- -,2009000000,2061000000,2596000000,377000000,345000000,380000000,354000000,327000000,1485000000,1417000000,1542000000,1619000000
68,Total Liabilities And Stockholders Equity,- -,6223000000,6667000000,5875000000,1447000000,1389000000,2122000000,2047000000,2073000000,4563000000,4701000000,5713000000,5746000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,10000000,10000000,- -
70,Total Liabilities & Equity,- -,6223000000,6667000000,5875000000,1447000000,1389000000,2122000000,2042000000,2073000000,4563000000,4711000000,5723000000,5746000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1571123/000119312514135913/0001193125-14-135913-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000156459015002280/saic-10k_20150130.htm,https://www.sec.gov/Archives/edgar/data/1571123/000156459016015504/0001564590-16-015504-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000156459017005636/0001564590-17-005636-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112318000010/0001571123-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112319000004/0001571123-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112320000013/0001571123-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112321000015/0001571123-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1571123/000157112322000007/0001571123-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,482000000,611000000,56000000,526000000,113000000,141000000,117000000,143000000,179000000,137000000,226000000,209000000,279000000
74,Depreciation and Amortization,90000000,110000000,114000000,113000000,13000000,21000000,62000000,53000000,46000000,49000000,138000000,179000000,165000000
75,Deferred Income Tax,- -,- -,- -,- -,18000000,4000000,3000000,1000000,13000000,19000000,44000000,12000000,59000000
76,Stock Based Compensation,103000000,99000000,84000000,84000000,33000000,35000000,33000000,31000000,27000000,45000000,37000000,42000000,46000000
77,Change in Working Capital,-48000000,2145000000,-946000000,106000000,-856000000,-40000000,-126000000,14000000,-23000000,281000000,-234000000,-288000000,-103000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,54000000,-29000000,-93000000,-64000000,-2000000,16000000,-11000000,-36000000,19000000,-26000000,-10000000,8000000,- -
80,Accounts Payable,-24000000,-16000000,757000000,-744000000,-33000000,-19000000,44000000,16000000,68000000,-65000000,62000000,-76000000,30000000
81,Other Working Capital,-19000000,2126000000,1180000000,1286000000,430000000,390000000,264000000,278000000,255000000,536000000,302000000,14000000,-89000000
82,Other Non-Cash Items,-17000000,-2252000000,1461000000,-484000000,862000000,116000000,137000000,31000000,-25000000,-347000000,247000000,601000000,72000000
83,Cash Provided by Operating Activities,610000000,713000000,769000000,345000000,183000000,277000000,226000000,273000000,217000000,184000000,458000000,755000000,518000000
84,CAPEX,-58000000,-73000000,-65000000,-48000000,-16000000,-22000000,-20000000,-15000000,-22000000,-28000000,-21000000,-46000000,-72000000
85,Acquisitions Net,-258000000,-382000000,-222000000,-482000000,- -,- -,-764000000,-2000000,- -,-1001000000,- -,-1185000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000000,-6000000,-9000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,9000000,6000000
88,Other Investing Activites,10000000,10000000,84000000,3000000,- -,- -,-14000000,6000000,- -,1000000,-5000000,-49000000,-253000000
89,Cash Used for Investing Activites,-306000000,-445000000,-203000000,-527000000,-16000000,-22000000,-798000000,-11000000,-22000000,-1028000000,-47000000,-1231000000,-292000000
90,Debt Repayment,-800000000,-1856000000,-1082000000,-965000000,-1000000,-13000000,-72000000,-236000000,-50000000,-779000000,-274000000,-399000000,-119000000
91,Common Stock Issued,- -,- -,- -,- -,30000000,3000000,4000000,5000000,6000000,7000000,10000000,13000000,16000000
92,Common Stock Repurchased,- -,- -,- -,- -,-13000000,-149000000,-69000000,-180000000,-186000000,-69000000,-197000000,-34000000,- -
93,Dividends Paid,- -,- -,- -,-1000000,-322000000,-52000000,-55000000,-54000000,-54000000,-53000000,-87000000,-87000000,-86000000
94,Other Financing Activites,380000000,2040000000,636000000,244000000,392000000,3000000,658000000,218000000,23000000,1832000000,93000000,971000000,-112000000
95,Cash Used/Provided by Financing Activities,-420000000,184000000,-446000000,-722000000,86000000,-208000000,466000000,-247000000,-261000000,938000000,-455000000,464000000,-301000000
96,Effect of Forex Changes on Cash,5000000,-1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-75000000,506000000,225000000,-856000000,253000000,47000000,-106000000,15000000,-66000000,94000000,-44000000,-12000000,-75000000
98,Cash at the End of Period,861000000,1367000000,1592000000,736000000,254000000,301000000,195000000,210000000,152000000,246000000,202000000,190000000,115000000
99,Cash at the Beginning of Period,936000000,861000000,1367000000,1592000000,1000000,254000000,301000000,195000000,218000000,152000000,246000000,202000000,190000000
100,Free Cash Flow,552000000,640000000,704000000,297000000,167000000,255000000,206000000,258000000,195000000,156000000,437000000,709000000,446000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1571123/000119312514135913/0001193125-14-135913-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000156459015002280/saic-10k_20150130.htm,https://www.sec.gov/Archives/edgar/data/1571123/000156459016015504/0001564590-16-015504-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000156459017005636/0001564590-17-005636-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112318000010/0001571123-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112319000004/0001571123-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112320000013/0001571123-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1571123/000157112321000015/0001571123-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1571123/000157112322000007/0001571123-22-000007-index.htm
102,false,,,,,,,,,,,,,
