,https://roic.ai/company/SIGI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1367000000,1473000000,1527000000,1529000000,1455000000,1462000000,1568000000,1678000000,1734000000,1815000000,1877000000,2042000000,2184000000,2350000000,2476000000,- -,- -
11,COGS and Expenses,2600000,2400000,2200000,2200000,147200000,169500000,190800000,199900000,210900000,226900000,231700000,729883000,697361000,773625000,911365000,980209000,1035322000,1126043000,1268136000,1396555000,1468228000,1587357000,1653470000,1656593000,1474832000,1482665000,1589410000,1696467000,1759939000,1837730000,1899160000,2064315000,2208016000,2374359000,2510101000,2619286000,2873854000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2600000,2400000,2200000,2200000,2100000,1700000,1300000,2000000,4900000,6600000,9300000,9185000,9592000,9409000,9460000,13745000,14526000,15093000,17148000,15466000,17582000,21411000,23795000,20508000,19386000,18616000,18259000,18872000,22538000,22086000,22428000,22771000,24354000,24419000,33668000,30839000,29165000
14,Depreciation and Amortization,- -,- -,- -,- -,3500000,3700000,4900000,6000000,6500000,5800000,5500000,6000000,8100000,9300000,13044000,15247000,15251000,11951000,16201000,24518000,21380000,25684000,29139000,28552000,28593000,31770000,34645000,38693000,43461000,45346000,59688000,61671000,52100000,44874000,55205000,59350000,55109000
15,EBITDA,-15000000,23500000,41500000,48500000,51700000,40800000,37800000,65900000,32800000,55800000,79700000,84274000,108712000,82413000,85907000,53536000,52850000,79782000,121329000,214965000,242787000,267605000,245692000,88446000,78905000,128562000,60319000,95200000,208804000,264563000,314808000,304397000,338422000,281014000,425263000,393177000,589584000
16,EBITDA ratio,-0.0484,0.0645,0.0982,0.1007,0.1002,0.0756,0.0662,0.1070,0.0483,0.0726,0.0950,0.1055,0.1379,0.0984,0.0881,0.0533,0.0499,0.0677,0.0895,0.1368,0.1453,0.1480,0.1331,0.0522,0.0521,0.0822,0.0378,0.0549,0.1097,0.1300,0.1477,0.1333,0.1370,0.1087,0.1494,0.1345,0.1745
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,66100000,76500000,74200000,79800000,84700000,88000000,96300000,4287000,5562000,17280000,49795000,79802000,72389000,84321000,95456000,108019000,102585000,115922000,121424000,118909000,-44946000,9398000,8479000,9118000,12294000,16945000,7456000,8881000,10716000,9438000,12355000,17570000,17723000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69089000,91020000,63704000,63403000,24544000,23698000,52907000,87980000,174981000,202784000,220510000,192758000,39386000,39186000,81956000,8065000,37635000,143802000,197131000,232692000,219955000,261968000,211721000,336390000,302988000,505310000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0865,0.1155,0.0761,0.0650,0.0244,0.0224,0.0449,0.0649,0.1113,0.1214,0.1220,0.1044,0.0232,0.0259,0.0524,0.0050,0.0217,0.0755,0.0969,0.1092,0.0963,0.1061,0.0819,0.1182,0.1037,0.1495
22,Income Tax expense (Gain),-10800000,1500000,2200000,4800000,5500000,3000000,4300000,4000000,-1300000,5100000,11900000,13538000,21412000,10134000,9686000,-1991000,-2620000,10769000,21636000,46342000,55332000,56936000,46260000,-4372000,-5472000,12635000,-12450000,-328000,36387000,55304000,66831000,61460000,93142000,32782000,64767000,56633000,101473000
23,Net Income,-6800000,19600000,37100000,41500000,40600000,32400000,27300000,53900000,22700000,38300000,53000000,55551000,69608000,53570000,53717000,26535000,25693000,41969000,66344000,128639000,148493000,163574000,146498000,43758000,36398000,65541000,19865000,37963000,106418000,141827000,165861000,158495000,168826000,178939000,271623000,246355000,403837000
24,Net Income ratio,-0.0219,0.0538,0.0877,0.0862,0.0787,0.0600,0.0478,0.0875,0.0334,0.0499,0.0632,0.0695,0.0883,0.0640,0.0551,0.0264,0.0243,0.0356,0.0489,0.0819,0.0889,0.0905,0.0793,0.0258,0.0240,0.0419,0.0124,0.0219,0.0559,0.0697,0.0778,0.0694,0.0684,0.0692,0.0954,0.0843,0.1195
25,EPS,-0.13,0.36,0.69,0.77,0.77,0.63,0.52,1.50,0.41,0.69,0.93,0.95,1.21,0.94,0.99,0.54,0.53,0.83,1.27,2.40,2.73,2.98,2.80,0.84,0.69,1.23,0.37,0.69,1.91,2.52,2.90,2.74,2.89,3.03,4.57,4.11,6.71
26,EPS Diluted,-0.13,0.34,0.69,0.71,0.71,0.58,0.51,1.43,0.41,0.65,0.91,0.93,1.14,0.87,0.94,0.51,0.49,0.78,1.20,2.04,2.35,2.65,2.59,0.82,0.68,1.20,0.36,0.68,1.87,2.47,2.85,2.70,2.84,3.00,4.53,4.09,6.64
27,Weighted Average Shares Outstanding,54400000,53698630,54160584,53896104,53071895,51428571,53009709,53043478,54698795,55507246,56989247,58168586,57765975,56989362,54259596,49814000,49166000,50602000,52262000,53462000,54342000,54986000,52382000,52092857,52750725,53285366,53689189,55018841,55716230,56280556,57193448,57844891,58495122,58948554,59461153,59905803,60200000
28,Weighted Average Shares Outstanding Diluted,54400000,57647059,54160584,58041958,56783217,55862069,54059406,53043478,56049383,59379845,58563536,59732258,61328634,61574713,57451337,53036000,52848000,53844000,55290000,64756000,64708000,54986000,57165000,53363415,53526471,54504000,55221000,55933000,56810000,57351000,58156000,58747000,59400000,59700000,59500000,60300000,60800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000023055798000003/0000230557-98-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000095012301500488/0000950123-01-500488-index.html,https://www.sec.gov/Archives/edgar/data/230557/000095012302003106/0000950123-02-003106-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000023055705000063/selective10k2004.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055706000036/annualreport200510k.htm,https://www.sec.gov/Archives/edgar/data/230557/000095012307002992/y30980e10vk.htm,https://www.sec.gov/Archives/edgar/data/230557/000136231008001168/c72552e10vk.htm,https://www.sec.gov/Archives/edgar/data/230557/000136231009002965/0001362310-09-002965-index.html,https://www.sec.gov/Archives/edgar/data/230557/000114420410009710/0001144204-10-009710-index.html,https://www.sec.gov/Archives/edgar/data/230557/000114420411010997/v212317_10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000114420412010820/0001144204-12-010820-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055713000003/0000230557-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055714000003/sigi-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055715000003/sigi-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055716000025/0000230557-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055717000003/0000230557-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055718000009/0000230557-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055719000012/0000230557-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055720000005/0000230557-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055721000009/0000230557-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055722000006/0000230557-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,5017000,7931000,8588000,8759000,7295000,2228000,12000,- -,2983000,6443000,8383000,18643000,811000,645000,762000,210000,193000,23959000,898000,458000,534000,505000,300000,394000,455000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33924000,28781000,50905000,48807000,95908000,19155000,24700000,23043000,142740000,176525000,197019000,190167000,198111000,213848000,161155000,217044000,3661874000,4082558000,4389494000,4810073000,5160994000,5510782000,5596964000,6378110000,6865780000,7157839000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40024000,33798000,58836000,57395000,104667000,26450000,26928000,23055000,142740000,179508000,203462000,198550000,216754000,214659000,161800000,217806000,3662084000,4082751000,4413453000,4810971000,5161452000,5511316000,5597469000,6378410000,6866174000,7158294000
34,Net Receivables,- -,- -,- -,- -,117700000,123700000,109200000,131500000,146400000,156300000,165200000,182238000,158759000,174485000,495506000,491955000,572196000,564039000,237905000,700464000,737139000,719117000,518238000,526682000,464239000,425305000,467025000,1944050000,1113661000,1179227000,1215633000,1345798000,1386001000,1361310000,1441982000,1468510000,1594274000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1902490000,2050832000,2127506000,1853807000,1869222000,2001815000,2343648000,3080893000,3042966000,3443331000,3752485000,4193006000,4116562000,4414024000,3753367000,3894646000,-791517000,-88037000,-203109000,-321273000,-460234000,-464575000,-227105000,891500000,-5925287000,-5903242000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2124752000,2243389000,2360827000,2406708000,2465844000,2600461000,2934615000,3341853000,3886170000,4359978000,4675064000,4909794000,4859998000,5092922000,4340472000,4579477000,4814617000,5108375000,5389571000,5705331000,6047016000,6432742000,6731674000,8711892000,2409397000,2849326000
38,PP&E,- -,- -,- -,- -,20600000,21500000,48500000,51300000,50900000,51100000,49400000,48993000,45465000,50950000,54558000,57820000,55363000,52424000,53317000,55144000,53194000,59004000,58561000,51697000,46287000,41775000,43947000,47131000,50834000,59416000,65701000,69576000,63959000,65248000,77409000,77696000,82053000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9894000,17337000,20391000,52001000,49338000,46495000,42808000,43612000,43230000,33637000,33637000,- -,29637000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000
40,Intangible Assets,- -,- -,- -,- -,2600000,2500000,2400000,11900000,11400000,11000000,10400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33637000,29637000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,2600000,2500000,2400000,11900000,11400000,11000000,10400000,9894000,17337000,20391000,52001000,49338000,46495000,42808000,43612000,43230000,33637000,33637000,33637000,29637000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000,7849000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2102992000,2401989000,2841543000,3182570000,3451317000,3544202000,3368252000,3640384000,3787857000,3984120000,4215943000,4475437000,4707631000,5011427000,5262550000,5552911000,5781713000,6471847000,7192971000,7522161000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2102992000,-2401989000,-2896687000,-3235764000,-3451317000,-3544202000,-3368252000,-3672615000,-2946181000,-2879024000,-2291324000,-3372325000,-3582917000,-3885875000,-4031143000,-4371030000,-4633755000,-6471847000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58887000,62802000,71341000,106559000,107158000,101858000,95232000,96929000,43230000,33637000,92641000,92198000,81334000,21905000,891300000,1156892000,1979599000,1161795000,1191979000,1199102000,1308832000,1253689000,1221055000,85258000,7278516000,7612063000
46,Other Assets,606900000,720500000,855400000,962400000,1074300000,1138800000,1210600000,1478900000,1739200000,1866700000,2113100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16966429000,18073452000
47,Total Assets,606900000,720500000,855400000,962400000,1074300000,1138800000,1210600000,1478900000,1739200000,1866700000,2113100000,2183639000,2306191000,2432168000,2513267000,2573002000,2702319000,3029847000,3438782000,3929400000,4393615000,4767705000,5001992000,4941332000,5114827000,5231772000,5736369000,6794216000,6270170000,6581550000,6904433000,7355848000,7686431000,7952729000,8797150000,9687913000,10461389000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53717000,66881000,73872000,54814000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17400000,28287000,51302000,- -,- -,- -,- -,- -,- -,- -,286151000,273878000,274606000,262333000,307360000,58000000,58000000,45000000,60000000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14021000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1611600000,1626900000,1707513000,1804698000,1849500000,1940600000,2116300000,2397883000,2717219000,2982028000,3273886000,3344849000,3507322000,3563294000,3636067000,4012340000,5338200000,4665800000,4881700000,5058200000,5385811000,5534358000,5721387000,6052354000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1611600000,1644300000,1735800000,1856000000,1849500000,1940600000,2116300000,2451600000,2784100000,3055900000,3328700000,3631000000,3781200000,3837900000,3898400000,4319700000,5396200000,4723800000,4926700000,5118200000,5385811000,5534358000,5721387000,6052354000,- -,- -
54,Long-Term Debt,167500000,185600000,209500000,22600000,21000000,14600000,14500000,13700000,11300000,111400000,111300000,103769000,96559000,88791000,81585000,163634000,156433000,261437000,237437000,263317000,338634000,361837000,8740000,- -,274606000,- -,- -,249387000,334414000,334297000,328192000,438667000,439116000,439540000,549860000,550743000,506050000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7226000,- -,- -,- -,- -,12677000,29803000,5663000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27096000,13413000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000,41000,-7217000,15000,-34000,-3833000,-37000,-12714000,-29820000,-5697000,-37000,286160000,273900000,-6000,262300000,307400000,58013000,57986000,38403000,60000000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,167500000,185600000,209500000,22600000,21000000,14600000,14500000,13700000,11300000,111400000,111300000,103800000,96600000,88800000,81600000,163600000,152600000,261400000,237400000,263300000,338600000,361800000,294900000,273900000,274600000,262300000,307400000,307400000,392400000,372700000,388192000,438667000,439116000,439540000,549860000,577839000,519463000
59,Other Liabilities,648700000,758200000,885400000,771300000,864900000,905100000,955100000,1180900000,1427700000,1648900000,1787700000,- -,- -,- -,168903000,- -,323159000,522845000,- -,- -,695191000,- -,589849000,- -,- -,- -,614841000,614824000,784842000,751964000,- -,- -,- -,- -,- -,7526863000,7997967000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,737000,508000,5450000
61,Total Liabilities,481200000,572600000,675900000,748700000,843900000,890500000,940600000,1167200000,1416400000,1537500000,1676400000,1709340000,1740875000,1824585000,1943303000,1995205000,2111159000,2377745000,2688998000,3047382000,3412491000,3690478000,3925949000,4050839000,4112452000,4160663000,4627141000,5703624000,5116242000,5305964000,5506392000,5824478000,5973474000,6160927000,6602214000,6949024000,7478504000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,200000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35822000,72728000,74833000,75929000,77568000,79177000,81562000,83135000,84936000,86543000,183124000,189306000,190527000,191646000,192725000,194494000,196388000,198240000,199896000,201723000,203241000,204569000,205697000,206968000,208066000,208902000
64,Retained Earnings,90500000,111000000,149200000,179900000,208200000,227300000,240900000,280200000,287500000,310300000,347300000,386601000,439811000,477118000,514477000,525669000,536188000,562553000,612208000,721483000,847687000,986017000,1105946000,1128149000,1138978000,1176155000,1167219000,1125154000,1202015000,1313440000,1446192000,1568881000,1698613000,1858414000,2080529000,2271537000,2603472000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000000,101000000,86000000,-101000000,-12000000,7000000,42000000,54000000,25000000,20000000,-9000000,-16000000,20000000,-78000000,82000000,220186000,115099000
66,Other Total Stockholders Equity,35200000,36900000,30300000,33800000,22200000,21000000,29100000,31500000,35300000,18900000,89400000,51876000,52777000,55632000,- -,- -,- -,7987000,54441000,75599000,-71106000,-192914000,-305209000,-327183000,-316249000,-304771000,-294485000,-284950000,-271327000,-257750000,-240874000,-224752000,-210225000,-194309000,-174561000,-160900000,-144588000
67,Total Stockholders Equity,125700000,147900000,179500000,213700000,230400000,248300000,270000000,311700000,322800000,329200000,436700000,474299000,565316000,607583000,569964000,577797000,591160000,652102000,749784000,882018000,981124000,1077227000,1076043000,890493000,1002375000,1071109000,1109228000,1090592000,1153928000,1275586000,1398041000,1531370000,1712957000,1791802000,2194936000,2738889000,2982885000
68,Total Liabilities And Stockholders Equity,606900000,720500000,855400000,962400000,1074300000,1138800000,1210600000,1478900000,1739200000,1866700000,2113100000,2183639000,2306191000,2432168000,2513267000,2573002000,2702319000,3029847000,3438782000,3929400000,4393615000,4767705000,5001992000,4941332000,5114827000,5231772000,5736369000,6794216000,6270170000,6581550000,6904433000,7355848000,7686431000,7952729000,8797150000,9687913000,10461389000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,606900000,720500000,855400000,962400000,1074300000,1138800000,1210600000,1478900000,1739200000,1866700000,2113100000,2183639000,2306191000,2432168000,2513267000,2573002000,2702319000,3029847000,3438782000,3929400000,4393615000,4767705000,5001992000,4941332000,5114827000,5231772000,5736369000,6794216000,6270170000,6581550000,6904433000,7355848000,7686431000,7952729000,8797150000,9687913000,10461389000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000023055798000003/0000230557-98-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000095012301500488/0000950123-01-500488-index.html,https://www.sec.gov/Archives/edgar/data/230557/000095012302003106/0000950123-02-003106-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/230557/000023055705000063/selective10k2004.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055706000036/annualreport200510k.htm,https://www.sec.gov/Archives/edgar/data/230557/000095012307002992/y30980e10vk.htm,https://www.sec.gov/Archives/edgar/data/230557/000136231008001168/c72552e10vk.htm,https://www.sec.gov/Archives/edgar/data/230557/000136231009002965/0001362310-09-002965-index.html,https://www.sec.gov/Archives/edgar/data/230557/000114420410009710/0001144204-10-009710-index.html,https://www.sec.gov/Archives/edgar/data/230557/000114420411010997/v212317_10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000114420412010820/0001144204-12-010820-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055713000003/0000230557-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055714000003/sigi-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055715000003/sigi-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055716000025/0000230557-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055717000003/0000230557-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055718000009/0000230557-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055719000012/0000230557-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055720000005/0000230557-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/230557/000023055721000009/0000230557-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/230557/000023055722000006/0000230557-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,40600000,32400000,27300000,53900000,22700000,38300000,53000000,55551000,69608000,53570000,53717000,26535000,25693000,41969000,66344000,128639000,148493000,163574000,146498000,43758000,36398000,65541000,19865000,37963000,106418000,141827000,165861000,158495000,168826000,178939000,271623000,246355000,403837000
74,Depreciation and Amortization,- -,- -,- -,- -,3500000,3700000,4900000,6000000,6500000,5800000,5500000,6000000,8100000,9300000,13044000,15247000,15251000,11951000,16201000,24518000,21380000,25684000,29139000,28552000,28593000,31770000,34645000,38693000,43461000,45346000,59688000,61671000,52100000,44874000,55205000,59350000,55109000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4798000,-9781000,3214000,-26665000,-9057000,7312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20992000,17215000,11036000,12355000,7422000,6939000,8630000,8702000,8973000,10449000,12089000,14507000,19077000,16227000,15893000
77,Change in Working Capital,- -,- -,- -,- -,-23700000,- -,- -,- -,- -,- -,- -,513152000,85937000,25938000,-74319000,65636000,43517000,158454000,71938000,211817000,202008000,42286000,-67570000,-199996000,176224000,-812950000,-182295000,-841360000,966158000,78296000,124260000,74074000,237179000,111903000,1649251000,-2659538000,381095000
78,Accounts Receivable,- -,- -,- -,- -,-8300000,-6100000,14500000,2000000,-14900000,-9900000,-8800000,13200000,-44800000,-37500000,-21888000,-34548000,29027000,38278000,-56808000,-20765000,-39846000,240448000,-487000,15469000,34317000,32472000,-45116000,-18094000,-40482000,-33908000,-56386000,-66447000,-65418000,-23489000,-53383000,-13171000,-109173000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-5700000,3800000,- -,- -,1200000,- -,- -,- -,- -,- -,- -,- -,- -,7133000,35808000,5346000,314688000,3819000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513152000,599089000,625027000,550708000,616344000,659861000,818315000,890253000,1102070000,1304078000,1346364000,1278794000,1078798000,1255022000,442072000,259777000,-581583000,384575000,462871000,587131000,661205000,898384000,1010287000,2659538000,- -,-542000
