,https://roic.ai/company/UEC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,166,- -,- -,- -,- -,- -,- -,- -,13757400,9026325,- -,3080000,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,7376323,- -,- -,- -,8112040,20004025,11553514,9835197,4936883,4618116,4906775,4834978,4892625,4871980
3,Gross Profit,166,- -,- -,- -,-7376323,- -,- -,- -,5645360,-10977700,-11553514,-6755197,-4936883,-4618116,-4906775,-4834978,-4892625,-4871980
4,Gross Profit Ratio,1.0000,- -,- -,- -,-Infinity,- -,- -,- -,0.4104,-1.2162,-Infinity,-2.1932,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,2450000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,10188565,5830000,11589181,7152773,14637056,15187066,28975696,10832929,9825796,13230840,9297746,10241681,11407206,10142035,9441898,12639998
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",71224,1023291,10188565,5830000,11589181,7152773,14637056,15187066,28975696,10832929,9825796,13230840,9297746,10241681,11407206,10142035,9441898,12639998
9,Other Expenses,57112,- -,4735960,8440000,-10355,5192523,7233218,12576139,1275557,32389,-9831,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,128336,- -,14924525,16720000,11578826,12345296,21870274,27763205,30251253,10865318,9815965,13230840,9297746,10241681,11407206,10142035,9441898,12639998
11,COGS and Expenses,128336,1998805,14924525,16720000,18955149,12345296,21870274,27763205,38363293,30869343,21369479,23066037,14234629,14859797,16313981,14977013,14334523,17511978
12,Interest Income ,- -,- -,- -,- -,169812,54600,27600,49038,69328,32524,30027,12797,24177,137863,227534,433031,181520,48294
13,Interest Expense (Gain),- -,- -,- -,320000,55334,- -,517273,- -,30898,32758,2893816,3071235,3005391,2914862,2952202,3249881,3460970,2879809
14,Depreciation and Amortization,- -,- -,19736,50000,372886,526251,- -,- -,- -,2778624,4048870,3546933,875724,497728,354624,347441,310222,393173
15,EBITDA,-128170,-1998805,-14904788,-16670000,-18582263,-11819045,-20422967,-26963298,-25114610,-19062462,-17320609,-16779173,-13358905,-14362069,-15959357,-14629572,-14024301,-11829066
16,EBITDA ratio,-772.1084,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.8255,-2.1119,-Infinity,-5.4478,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-128170,-1998805,-14924525,-16720000,-19268668,-13568334,-22431147,-27906601,-24605893,-21810629,-22836594,-20335842,-14331743,-15218433,-16313981,-14977013,-14334523,-17511978
18,Operating Income ratio,-772.1084,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.7886,-2.4163,-Infinity,-6.6025,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,29713,330000,227715,64758,-652803,356052,-539615,-63215,-3208222,-3061499,-3030368,-2786978,-2220164,-2190148,-281544,2694160
20,Income Before Tax,- -,- -,- -,-16390000,-19040953,-13503576,- -,- -,-25145508,-21873844,-26044816,-23397341,-17362111,-18005411,-18534145,-17167161,-14616067,-14817818
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,- -,-1.8278,-2.4233,-Infinity,-7.5965,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,-200000,195171,- -,- -,- -,-61788,-10753,-69709,-35413,-32239,-34355,-707511,-14372,-5551,-4008
23,Net Income,-128170,-1998805,-14818318,-16190000,-19236124,-13503576,-14478669,-27358095,-25083720,-21863091,-25975107,-23361928,-17329872,-17971056,-17826634,-17152789,-14610516,-14813810
24,Net Income ratio,-772.1084,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.8233,-2.4221,-Infinity,-7.5850,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.12,-0.08,-0.56,-0.44,-0.49,-0.29,-0.25,-0.40,-0.32,-0.26,-0.29,-0.25,-0.16,-0.14,-0.11,-0.10,-0.08,-0.07
26,EPS Diluted,-0.12,-0.08,-0.56,-0.44,-0.49,-0.29,-0.25,-0.40,-0.32,-0.26,-0.29,-0.25,-0.16,-0.14,-0.11,-0.10,-0.08,-0.07
27,Weighted Average Shares Outstanding,1605894,17298582,26342512,36390000,39397704,47358056,59017166,63799322,78325648,85380412,89136505,92397547,106086782,128244751,157123025,175844624,183041766,210295992
28,Weighted Average Shares Outstanding Diluted,1605894,17298582,26342512,36390000,39397704,47358056,59017166,63799322,78325648,85380412,89136505,92397547,106086782,128244751,157123025,175844624,183041766,210295992
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334933/000118374008000328/f10ksba3.htm,https://www.sec.gov/Archives/edgar/data/1334933/000118374008000559/0001183740-08-000559-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374009000466/0001183740-09-000466-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374010000609/0001183740-10-000609-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374011000743/0001183740-11-000743-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299312004089/0001062993-12-004089-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299313005003/0001062993-13-005003-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299314005923/0001062993-14-005923-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299315005394/0001062993-15-005394-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956916004485/0001279569-16-004485-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956917001961/0001279569-17-001961-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956918002013/0001279569-18-002013-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000143774919020004/0001437749-19-020004-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000143774920021877/0001437749-20-021877-index.htm,https://www.sec.gov/Archives/edgar/data/1334933/000143774921024433/0001437749-21-024433-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,406270,107160,13581377,9083453,13137318,24265643,21067662,30724051,25015284,14171807,8839892,10092408,7142571,12575973,6926523,6058186,5147703,44312780
32,Short-Term Investments,- -,- -,- -,717198,- -,43200,50957,79126,41973,18350,4811,- -,- -,10000000,- -,11831671,- -,- -
33,Cash and Short-Term Investments,406270,107160,13581377,9800651,13137318,24308843,21118619,30803177,25057257,14190157,8844703,10092408,7142571,22575973,6926523,17889857,5147703,44312780
34,Net Receivables,- -,- -,255060,4415,58902,26895,46450,90907,273584,45584,15061,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,2775947,1876100,975719,1896475,251999,275316,211662,211662,211662,211662,29172480
36,Other Current Assets,1613,300,156254,167740,418970,160736,170173,267158,717260,1316362,810795,463211,582754,803762,1202543,1608414,1230514,1560102
37,Total Current Assets,407883,107460,13992691,9972806,13615190,24496474,21335242,33937189,27924201,16527822,11567034,10807618,8000641,23591397,8340728,19709933,6589879,75045362
38,PP&E,- -,- -,205004,553530,14503719,13010989,23478215,26543496,51676154,50481129,47494036,45386614,44916255,45723158,78224128,70579254,70675320,71142040
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,41920,1104092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,41920,1104092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,2741309,- -,- -,- -,- -,- -,- -,151676,693502,8680449,11515327,20729674
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,970354,- -,- -,4910300,5543040,6241050,5846250,1706025,3259415,2711003,2352951,2070606,2609091,2624009
45,Total Non-Current Assets,- -,- -,205004,553530,15515993,14115081,26219524,31453796,57219194,56722179,53340286,47092639,48175670,48585837,81270581,81330309,84799738,94495723
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,407883,107460,14197695,10526336,29131183,38611555,47554766,65390985,85143395,73250001,64907320,57900257,56176311,72177234,89611309,101040242,91389617,169541085
48,Accounts Payable,28855,114456,306462,379156,865390,- -,- -,3232104,5271158,3978867,2088284,2538544,1822447,2446854,2314763,3002688,1858499,2762727
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,833333,- -,1666667,- -,- -,10000000,- -,- -,10266741
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,7559,208832,225581,- -,- -,761800,5091404,684159,180741,845644,210050,355487,- -,768,807,68680,178903,239742
53,Total Current Liabilities,36414,323288,532043,379156,865390,761800,5091404,3916263,5451899,5657844,2298334,4560698,1822447,2447622,12315570,3071368,2037402,13269210
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6123886,18705137,18090811,19198178,19254835,9534974,19599963,20176569,65952
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,791939,781186,711477,676064,643825,609470,564923,550551,545000,540992
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,427025,2351931,2979076,3242007,3768773,3586019,4061983,3729902,4020282,3591092,4214028,4209787
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,427025,2351931,3771015,10147079,23185387,22352894,23903986,23594207,14120179,23741606,24935597,4816731
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50010,- -,- -
61,Total Liabilities,36414,323288,532043,379156,865390,761800,5518429,6268194,9222914,15804923,25483721,26913592,25726433,26041829,26435749,26812974,26972999,18085941
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10886,20461,34371,37612,46319,56237,60789,73487,84975,86036,90972,97841,116670,139815,161176,180896,184636,236797
64,Retained Earnings,-152656,-2151461,-16969779,-33163154,-40399888,-53903464,-68382133,-95740228,-120823948,-142687039,-168662146,-192024074,-209353946,-227325002,-245151636,-262200784,-276811300,-291625110
65,Other Comprehensive Income/Loss,- -,-650000,996436,321737,- -,10600,4848,30626,-22127,- -,-13539,-14631,-14730,-14702,103641,12461,-120244,493247
66,Other Total Stockholders Equity,513239,2565172,29604624,42950985,68619362,91686382,110352833,154758906,196681581,200046081,208008312,222927529,239701884,273335294,308062379,336234695,341163526,442350210
67,Total Stockholders Equity,371469,-215828,13665652,10147180,28265793,37849755,42036337,59122791,75920481,57445078,39423599,30986665,30449878,46135405,63175560,74227268,64416618,151455144
68,Total Liabilities And Stockholders Equity,407883,107460,14197695,10526336,29131183,38611555,47554766,65390985,85143395,73250001,64907320,57900257,56176311,72177234,89611309,101040242,91389617,169541085
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,407883,107460,14197695,10526336,29131183,38611555,47554766,65390985,85143395,73250001,64907320,57900257,56176311,72177234,89611309,101040242,91389617,169541085
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334933/000118374008000328/f10ksba3.htm,https://www.sec.gov/Archives/edgar/data/1334933/000118374008000559/0001183740-08-000559-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374009000466/0001183740-09-000466-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374010000609/0001183740-10-000609-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000118374011000743/0001183740-11-000743-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299312004089/0001062993-12-004089-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299313005003/0001062993-13-005003-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299314005923/0001062993-14-005923-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000106299315005394/0001062993-15-005394-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956916004485/0001279569-16-004485-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956917001961/0001279569-17-001961-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000127956918002013/0001279569-18-002013-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000143774919020004/0001437749-19-020004-index.html,https://www.sec.gov/Archives/edgar/data/1334933/000143774920021877/0001437749-20-021877-index.htm,https://www.sec.gov/Archives/edgar/data/1334933/000143774921024433/0001437749-21-024433-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-128170,-1998805,-14818318,-16190000,-19236124,-13503576,-14478669,-27358095,-25083720,-21863091,-25975107,-23361928,-17329872,-17971056,-17826634,-17152789,-14610516,-14813810
74,Depreciation and Amortization,- -,- -,19736,50000,372886,526251,- -,- -,- -,2778624,4048870,3546933,875724,497728,354624,347441,310222,393173
75,Deferred Income Tax,- -,- -,- -,-200000,195171,- -,- -,- -,-61788,-10753,-69709,-35413,-32239,-34355,-707511,-14372,-5551,-4008
76,Stock Based Compensation,- -,- -,- -,2714771000,3808770,1739604,7029390,6342739,2909503,1015787,1309450,5617748,3084163,3769370,3504058,2948041,3493218,5471578
77,Change in Working Capital,27274,-587297,13676476,-3866998,3156150,10984874,-7490836,13777088,-7548624,-11602324,-1601278,-3021780,-68726,14965581,-25118617,20613407,-12086088,57223675
