,https://roic.ai/company/FMX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,21725000000,26544000000,24579000000,33530000000,38627000000,45454000000,49540682880,52945452560,75891000000,93956000000,105582000000,126427000000,147556000000,168022000000,197033000000,169702000000,203044000000,238309000000,258097000000,263449000000,311589000000,399507000000,460456000000,469744000000,506711000000,492966000000,556261000000
2,COGS,12789000000,15643000000,13445000000,18370000000,19769000000,22713000000,24301946880,26368830180,39371000000,49969000000,56195000000,67940000000,79801000000,90399000000,106195000000,98732000000,118009000000,137009000000,148443000000,153278000000,188410000000,251303000000,290188000000,294574000000,315230000000,303313000000,342548000000
3,Gross Profit,8936000000,10901000000,11134000000,15160000000,18858000000,22741000000,25238736000,26576622380,36520000000,43987000000,49387000000,58487000000,67755000000,77623000000,90838000000,70970000000,85035000000,101300000000,109654000000,110171000000,123179000000,148204000000,170268000000,175170000000,191481000000,189653000000,213713000000
4,Gross Profit Ratio,0.4113,0.4107,0.4530,0.4521,0.4882,0.5003,0.5095,0.5020,0.4812,0.4682,0.4678,0.4626,0.4592,0.4620,0.4610,0.4182,0.4188,0.4251,0.4249,0.4182,0.3953,0.3710,0.3698,0.3729,0.3779,0.3847,0.3842
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2050000000,2215000000,1924000000,2599000000,3275000000,4138000000,- -,4659000000,5740000000,6621000000,7085000000,8400000000,9191000000,9531000000,11111000000,7766000000,8249000000,9552000000,10073000000,10275000000,11928000000,14971000000,17124000000,17462000000,19947000000,22988000000,27219000000
7,Selling and Marketing Exp.,5064000000,6148000000,5698000000,7891000000,9587000000,11543000000,- -,12511000000,18696000000,23628000000,26715000000,32697000000,38995000000,45408000000,52715000000,40675000000,49882000000,62086000000,69574000000,69016000000,76375000000,95547000000,111456000000,114573000000,121871000000,123405000000,134079000000
8,"Selling, General and Administrative Exp.",7114000000,8363000000,7622000000,10490000000,12862000000,15681000000,- -,17170000000,24436000000,30249000000,33800000000,41097000000,48186000000,54939000000,63826000000,48441000000,58131000000,71638000000,79647000000,79291000000,88303000000,110518000000,128580000000,132035000000,141818000000,146393000000,161298000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,17116865280,-6364280,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,8000000,25000000,-11000000,3000000,1031000000,-13000000,-21000000,-20000000,422000000
