,https://roic.ai/company/DXF,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,479711000,672075000,899252000,1180036000,1383687000,1320820000,813084000,472166000,- -,82314000,115844000,98723000,83682000
2,COGS,313521000,438773000,589233000,775137000,922326000,932639000,864455000,741172000,- -,- -,- -,- -,- -
3,Gross Profit,166190000,233302000,310019000,404899000,461361000,388181000,-51371000,-269006000,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.3464,0.3471,0.3448,0.3431,0.3334,0.2939,-0.0632,-0.5697,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6813000,2898000,10108000,23267000,30491000,32620000,30178000,25220000,3963000,26720000,20368000,13280000,8090000
7,Selling and Marketing Exp.,15925000,8744000,11999000,72154000,214132000,238855000,166158000,269448000,- -,3138000,1794000,1698000,170000
8,"Selling, General and Administrative Exp.",22738000,11642000,22107000,95421000,244623000,271475000,196336000,294668000,3963000,29858000,22162000,14978000,8260000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,22738000,11642000,22107000,95421000,244623000,271475000,196336000,294668000,3963000,- -,- -,- -,- -
11,COGS and Expenses,336259000,450415000,611340000,870558000,1166949000,1204114000,1060791000,1035840000,3963000,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,115752000,141857000,118396000,105570000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,38140000,26451000,19846000,21909000
14,Depreciation and Amortization,517000,518000,389000,1646000,4858000,7192000,5919000,5951000,4323000,441000,818000,2946000,2978000
15,EBITDA,144646000,222971000,289148000,335740000,240549000,143389000,-219517000,-539628000,360000,80070000,51826000,69685000,40770000
16,EBITDA ratio,0.3015,0.3318,0.3215,0.2845,0.1738,0.1086,-0.2700,-1.1429,Infinity,0.9727,0.4474,0.7059,0.4872
17,Operating Income,- -,- -,- -,- -,216738000,116706000,247707000,563674000,3963000,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,0.1566,0.0884,0.3047,1.1938,Infinity,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),677000,793000,847000,24616000,18953000,19491000,-473143000,-1109253000,-7400000,- -,- -,- -,- -
20,Income Before Tax,144129000,222453000,288759000,334094000,235691000,136197000,-225436000,-545579000,-3437000,48202000,26188000,58616000,19854000
21,Income Before Tax Ratio,0.3004,0.3310,0.3211,0.2831,0.1703,0.1031,-0.2773,-1.1555,-Infinity,0.5856,0.2261,0.5937,0.2373
22,Income Tax expense (Gain),18112000,28109000,36413000,82386000,60240000,39030000,-54760000,54760000,- -,14636000,18033000,- -,- -
23,Net Income,126017000,194344000,252346000,251708000,175451000,97167000,-170676000,-600339000,-345289000,26853000,6524000,46893000,15883000
24,Net Income ratio,0.2627,0.2892,0.2806,0.2133,0.1268,0.0736,-0.2099,-1.2715,-Infinity,0.3262,0.0563,0.4750,0.1898
25,EPS,30.24,46.56,59.52,59.52,36.48,20.16,-36.00,-126.72,-72.96,6.72,0.48,2.40,0.96
26,EPS Diluted,30.24,46.56,59.52,59.52,36.48,20.16,-36.00,-126.72,-72.96,6.72,0.48,2.40,0.96
27,Weighted Average Shares Outstanding,4166662,4166662,4237895,4237892,4782164,4744099,4744099,4744099,4744093,4920418,20836913,20855137,20866155
28,Weighted Average Shares Outstanding Diluted,4166662,4166662,4237895,4237892,4782164,4744099,4744099,4744099,4744093,4920418,20836913,20855137,20866155
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499494/000119312512147131/d328959d20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000129281413000672/xnyform20f_2012.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793214001634/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793215002774/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793216009975/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793217001932/xny_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793218002101/dxf_20f.htm,https://www.sec.gov/Archives/edgar/data/1499494/000147793219002772/dxf_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,156639000,142302000,862797000,1031930000,1096103000,806467000,985097000,203371000,- -,21717000,3188000,67000,31000
32,Short-Term Investments,- -,- -,- -,- -,50000000,130000000,70000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,156639000,142302000,862797000,1031930000,1146103000,936467000,1055097000,203371000,- -,21717000,3188000,67000,31000
34,Net Receivables,50657000,127819000,221356000,428304000,364057000,596476000,336115000,649289000,-360000,39628000,160489000,273923000,377983000
35,Inventory,3494000,11018000,5658000,3908000,10157000,32042000,97800000,14364000,- -,- -,- -,- -,- -
36,Other Current Assets,6314000,2575000,5054000,- -,90967000,81739000,48577000,46410000,546067000,806801000,- -,- -,- -
37,Total Current Assets,217104000,283714000,1094865000,1464142000,1611284000,1646724000,1537589000,913434000,545707000,868146000,- -,- -,- -
38,PP&E,3294000,2776000,1642000,17662000,15512000,9303000,5316000,3843000,- -,338000,50824000,48130000,45153000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,8854000,12695000,8566000,6379000,17462000,- -,- -,9000,7000,6000
41,Intangible Assets,- -,- -,- -,8854000,12695000,8566000,6379000,17462000,- -,- -,9000,7000,6000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,54760000,- -,- -,645000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,5018000,674000,8854000,8854000,8854000,- -,- -,- -,- -,- -,- -
