,https://roic.ai/company/TNRG,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,13510,194480,- -,- -,7674306
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,4507865
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,3166441
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4126
5,Research and Development Exp.,- -,- -,4047,50000,52990,31970,125660,57290,43620,- -
6,General and Administrative Exp.,- -,2248,670268,262110,353761,186027,645395,711342,363149,2297497
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,866779
8,"Selling, General and Administrative Exp.",- -,2248,670268,511833,600388,417241,645395,711342,363149,3164276
9,Other Expenses,- -,- -,- -,2492,-3,-5,4,-5,910055,- -
10,Operating Expenses,- -,2248,674315,564325,653375,449206,771059,768627,1316824,3164276
11,COGS and Expenses,- -,2248,674315,560000,653380,463530,771060,768630,1316820,7672141
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,344,2804,7111,10646,52249,21735,75230,546955
14,Depreciation and Amortization,- -,- -,- -,200,200,200,200,200,- -,17549
15,EBITDA,- -,-2248,-674659,-567196,-653379,-449814,-576191,-768625,-1364933,13902
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-33.2949,-2.9627,-Infinity,-Infinity,0.0018
17,Operating Income,- -,-2248,-674315,-564325,-653375,-450015,-576578,-768627,-1316824,2165
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-33.3098,-2.9647,-Infinity,-Infinity,0.0003
19,Total Other Income Expenses (Gains),- -,- -,-344,-5675,-7115,-10645,-52062,-21733,-72356,-552767
20,Income Before Tax,- -,-2248,-674659,-570000,-660490,-460660,-628640,-790360,-1389180,-550602
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-34.0977,-3.2324,-Infinity,-Infinity,-0.0717
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-2248,-674659,-570000,-660490,-460660,-628640,-790360,-1389180,-550602
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-34.0977,-3.2324,-Infinity,-Infinity,-0.0717
25,EPS,- -,-0.00,-0.80,-0.80,-0.80,-0.60,-0.40,-0.20,-0.01,-0.02
26,EPS Diluted,- -,-0.00,-0.80,-0.80,-0.80,-0.60,-0.40,-0.20,-0.01,-0.02
27,Weighted Average Shares Outstanding,- -,750000,769726,803321,823497,847545,1487162,3180338,3180338,35787669
28,Weighted Average Shares Outstanding Diluted,- -,750000,769726,803321,823497,847545,1487162,3180338,3180338,35787669
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1524872/000147793214003113/0001477932-14-003113-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793215001914/0001477932-15-001914-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793216009787/0001477932-16-009787-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793217001739/0001477932-17-001739-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000147793218001567/0001477932-18-001567-index.html,https://www.sec.gov/Archives/edgar/data/1524872/000147793219000979/0001477932-19-000979-index.html,https://www.sec.gov/Archives/edgar/data/1524872/000168316820001642/0001683168-20-001642-index.htm,https://www.sec.gov/Archives/edgar/data/1524872/000168316821003209/0001683168-21-003209-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,392,3913,- -,12820,960,1880,7920,3110,98
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,392,3913,- -,12820,960,1880,7920,3110,98
34,Net Receivables,- -,- -,- -,- -,- -,- -,24470,- -,- -,68
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,168
36,Other Current Assets,- -,- -,609,- -,- -,- -,- -,- -,- -,202
37,Total Current Assets,- -,392,4522,- -,12820,960,26350,7920,3110,536
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,462
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,11260,400,200,- -,- -,72
41,Intangible Assets,- -,- -,1000,- -,11260,400,200,- -,- -,72
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,10000,- -,- -,- -,- -,- -,190
45,Total Non-Current Assets,- -,- -,1000,10000,11260,400,200,- -,- -,723
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,392,5522,10000,24080,1360,26550,7920,3110,1260
48,Accounts Payable,- -,451,40375,10000,2440,- -,- -,- -,- -,152
49,Short-Term Debt,- -,- -,60000,219000,435500,532500,536866,341380,57000,420203
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2856,78806,371000,624100,886750,149914,232470,66270,-418249
53,Total Current Liabilities,- -,3307,179181,600000,1062040,1419250,686780,573850,123270,2106
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1551
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1551
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3102
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,468693
61,Total Liabilities,- -,3307,179181,600000,1062040,1419250,686780,573850,123270,555
62,Preferred Stock,- -,- -,50000,50000,50000,50000,50000,50000,50000,50015
