,https://roic.ai/company/ENSV,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,448574,383951,910824,1316877,1424278,3940563,869522,1323673,1823936,4119304,5911656,4418231,5390367,- -,18641286,24670671,31497787,46473902,56563944,38777860,24608453,40752000,46919000,43026000,15683000
2,COGS,- -,53782,37016,75775,78971,91054,122114,142514,159948,242472,346451,537508,- -,1463415,- -,14422412,18681469,26246714,34033046,44659930,34600965,30937268,39247000,42813000,40299000,22493000
3,Gross Profit,- -,394792,346935,835049,1237906,1333224,3818449,727008,1163725,1581464,3772853,5374148,4418231,3926952,- -,4218874,5989202,5251073,12440856,11904014,4176895,-6328815,1505000,4106000,2727000,-6810000
4,Gross Profit Ratio,- -,0.8801,0.9036,0.9168,0.9400,0.9361,0.9690,0.8361,0.8792,0.8671,0.9159,0.9091,1.0000,0.7285,- -,0.2263,0.2428,0.1667,0.2677,0.2105,0.1077,-0.2572,0.0369,0.0875,0.0634,-0.4342
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,591897,608921,575955,473355,555870,559884,604606,632035,628265,763236,890255,1688002,621463,688365,2540859,3515213,3550438,4070884,4393129,4260539,3779794,4459000,5225000,6153000,5002000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,591897,608921,575955,473355,555870,559884,604606,632035,628265,763236,890255,1688002,621463,688365,2540859,3515213,3550438,4070884,4393129,4260539,3779794,4459000,5225000,6153000,5002000
9,Other Expenses,- -,125220,90329,119653,398902,265094,412688,358912,428964,587554,1370305,1495697,2018550,2451417,- -,3992367,4699640,- -,- -,- -,- -,748948,845000,626000,- -,- -
10,Operating Expenses,- -,717117,699250,695608,872257,820964,972572,963518,1060999,1215819,2133541,2385952,3706552,3072880,688365,6533226,8214853,3550438,4070884,4393129,4260539,4528742,5304000,5851000,6153000,5002000
11,COGS and Expenses,- -,770899,736266,771383,951228,912018,1094686,1106032,1220947,1458291,2479992,2923460,3706552,4536295,688365,20955638,26896322,29797152,38103930,49053059,38861504,35466010,44551000,48664000,46452000,27495000
12,Interest Income ,- -,- -,- -,- -,- -,- -,73081,41372,- -,3256,8140,67806,136411,117354,24127,153557,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,7949,479,- -,6152,6180,6427,36709,63678,30309,728241,706944,902152,1072912,791159,1113544,1765957,2261000,2228000,2805000,1695000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,265094,432313,372746,438781,584994,1434990,1600980,2137783,- -,- -,3992367,4699640,3089088,2088767,3402330,5792366,6864670,6488000,5989000,5692000,5282000
15,EBITDA,- -,-322325,-352315,110538,330250,783663,3278190,136236,538658,956791,3647394,5614374,3715751,976260,858423,1948755,2305201,4332949,10589853,10571102,5226635,-3857989,1295000,2384000,877000,4480000
16,EBITDA ratio,- -,-0.7186,-0.9176,0.1214,0.2508,0.5502,0.8319,0.1567,0.4069,0.5246,0.8854,0.9497,0.8410,0.1811,Infinity,0.1045,0.0934,0.1376,0.2279,0.1869,0.1348,-0.1568,0.0318,0.0508,0.0204,0.2857
17,Operating Income,- -,-322325,-352315,139441,365649,512260,2845877,-236510,102726,365645,1639312,2988196,711679,854072,-688365,-2314352,-2225651,1700635,8369972,6948399,-620226,-11009090,-4712000,-2350000,-3573000,-12737000
18,Operating Income ratio,- -,-0.7186,-0.9176,0.1531,0.2777,0.3597,0.7222,-0.2720,0.0776,0.2005,0.3980,0.5055,0.1611,0.1584,-Infinity,-0.1242,-0.0902,0.0540,0.1801,0.1228,-0.0160,-0.4474,-0.1156,-0.0501,-0.0830,-0.8122
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,6309,-7949,-479,- -,- -,566912,1018771,829580,58510,5408,-457501,-875732,-872368,-867335,-570786,-1059049,-1479526,-2742000,-2635000,-1715000,10347000
20,Income Before Tax,- -,- -,- -,- -,- -,518569,2837928,-236989,102726,365645,2206224,4006967,1541259,912582,-682957,-2771853,-3101383,828267,7502637,6377613,-1679275,-12488616,-7454000,-4985000,-5288000,-2390000
