,https://roic.ai/company/PMTS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,183786000,196370000,261006000,374110000,308700000,254862000,255814000,278073000,312189000,375119000
2,COGS,130897000,136874000,179279000,238289000,206802000,179871000,177224000,186754000,201881000,233693000
3,Gross Profit,52889000,59496000,81727000,135821000,101898000,74991000,78590000,91319000,110308000,141426000
4,Gross Profit Ratio,0.2878,0.3030,0.3131,0.3631,0.3301,0.2942,0.3072,0.3284,0.3533,0.3770
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,61116000,66711000,67258000,68014000,65744000,65791000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,61116000,66711000,67258000,68014000,65744000,65791000,75701000
9,Other Expenses,32985000,33347000,47255000,6304000,6205000,6764000,5988000,6031000,6126000,6261000
10,Operating Expenses,32985000,33347000,47255000,67420000,72916000,74022000,74002000,71775000,71917000,81962000
11,COGS and Expenses,163882000,170221000,226534000,305709000,279718000,253893000,251226000,258529000,273798000,315655000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,23431000,24891000,25397000,- -
14,Depreciation and Amortization,12666000,14295000,14789000,15995000,16927000,18014000,18405000,17002000,16827000,- -
15,EBITDA,23505000,29870000,38382000,64704000,25468000,-20368000,35000,41091000,55048000,23822000
16,EBITDA ratio,0.1279,0.1521,0.1471,0.1730,0.0825,-0.0799,0.0001,0.1478,0.1763,0.0635
17,Operating Income,19904000,26149000,34472000,67720000,28982000,-18105000,4588000,25544000,38391000,59464000
18,Operating Income ratio,0.1083,0.1332,0.1321,0.1810,0.0939,-0.0710,0.0179,0.0919,0.1230,0.1585
19,Total Other Income Expenses (Gains),-5269000,-7962000,-8209000,-18613000,-20441000,-20277000,-23726000,-26222000,-25506000,-35642000
20,Income Before Tax,14635000,18187000,26263000,49107000,8541000,-38382000,-19138000,-678000,12885000,23822000
21,Income Before Tax Ratio,0.0796,0.0926,0.1006,0.1313,0.0277,-0.1506,-0.0748,-0.0024,0.0413,0.0635
22,Income Tax expense (Gain),5909000,6988000,10291000,17846000,3142000,-16372000,-4339000,3652000,-3305000,7881000
23,Net Income,4930000,8587000,13302000,30863000,5399000,-22010000,-37462000,-4454000,16129000,15941000
24,Net Income ratio,0.0268,0.0437,0.0510,0.0825,0.0175,-0.0864,-0.1464,-0.0160,0.0517,0.0425
25,EPS,0.60,-3.23,-3.70,-0.20,0.50,-1.98,-3.36,-0.40,1.44,1.42
26,EPS Diluted,0.60,-3.23,-3.70,-0.20,0.50,-1.98,-3.36,-0.40,1.44,1.35
27,Weighted Average Shares Outstanding,8262570,8262570,8274244,8963252,11240757,11117454,11149554,11196710,11228707,11238678
28,Weighted Average Shares Outstanding Diluted,8262570,8262570,8274244,9023331,11240757,11117454,11149554,11196710,11232004,11799321
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1641614/000155837016004343/0001558370-16-004343-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837017001271/0001558370-17-001271-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837018001943/0001558370-18-001943-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837019001550/0001558370-19-001550-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837020002144/0001558370-20-002144-index.html,https://www.sec.gov/Archives/edgar/data/1641614/000155837021001721/0001558370-21-001721-index.htm,https://www.sec.gov/Archives/edgar/data/1641614/000155837022003016/0001558370-22-003016-index.htm
