,https://roic.ai/company/MBUU,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,99984000,140892000,167012000,190935000,228621000,252965000,281937000,497002000,684016000,653163000,926515000
2,COGS,83730000,110849000,123412000,140141000,168192000,186145000,206899000,376660000,517746000,503893000,690030000
3,Gross Profit,16254000,30043000,43600000,50794000,60429000,66820000,75038000,120342000,166270000,149270000,236485000
4,Gross Profit Ratio,0.1626,0.2132,0.2611,0.2660,0.2643,0.2641,0.2662,0.2421,0.2431,0.2285,0.2552
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6194000,8307000,14177000,39974000,19809000,21256000,24783000,31359000,44256000,39912000,61915000
7,Selling and Marketing Exp.,3621000,4071000,4937000,6098000,7007000,7475000,8619000,13718000,17946000,17917000,17540000
8,"Selling, General and Administrative Exp.",9815000,12378000,19114000,46072000,26816000,28731000,33402000,45077000,62202000,57829000,79455000
9,Other Expenses,5178000,5178000,5178000,5177000,2463000,2185000,2198000,5198000,5956000,6131000,7255000
10,Operating Expenses,14993000,17556000,24292000,51249000,29279000,30916000,35600000,50275000,68158000,63960000,86710000
11,COGS and Expenses,98723000,128405000,147704000,191390000,197471000,217061000,242499000,426935000,585904000,567853000,776740000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1815000,1433000,1334000,2962000,954000,3884000,1559000,5385000,6464000,3888000,2529000
14,Depreciation and Amortization,5999000,6073000,6268000,6777000,4890000,5524000,6748000,12854000,15960000,18380000,22891000
15,EBITDA,7271000,17665000,15745000,2843000,29168000,39251000,54258000,104270000,110586000,102906000,169240000
16,EBITDA ratio,0.0727,0.1254,0.0943,0.0149,0.1276,0.1552,0.1924,0.2098,0.1617,0.1576,0.1827
17,Operating Income,1261000,12487000,19308000,-455000,31150000,35904000,39438000,70067000,98112000,85310000,149775000
18,Operating Income ratio,0.0126,0.0886,0.1156,-0.0024,0.1363,0.1419,0.1399,0.1410,0.1434,0.1306,0.1617
19,Total Other Income Expenses (Gains),-1804000,-1381000,-1324000,-2953000,696000,-3808000,9230000,19320000,-6315000,-1578000,-1514000
20,Income Before Tax,-543000,11106000,17984000,-3408000,31846000,32096000,48668000,89387000,91797000,83732000,148261000
21,Income Before Tax Ratio,-0.0054,0.0788,0.1077,-0.0178,0.1393,0.1269,0.1726,0.1799,0.1342,0.1282,0.1600
22,Income Tax expense (Gain),- -,- -,2796000,-2220000,8663000,11801000,17593000,58418000,22096000,19076000,33979000
23,Net Income,-543000,- -,5347000,-4676000,14661000,18042000,28358000,27613000,66066000,61562000,109841000
24,Net Income ratio,-0.0054,- -,0.0320,-0.0245,0.0641,0.0713,0.1006,0.0556,0.0966,0.0943,0.1186
25,EPS,-0.05,- -,0.53,-0.42,0.93,1.01,1.59,1.37,3.17,2.98,5.29
26,EPS Diluted,-0.05,- -,0.53,-0.42,0.93,1.00,1.58,1.36,3.15,2.95,5.23
27,Weighted Average Shares Outstanding,10030078,10030078,10030078,11064201,15732531,17934580,17846894,20179381,20832445,20662750,20752652
28,Weighted Average Shares Outstanding Diluted,10030078,10030078,10030078,11064201,15741018,17985427,17951332,20281210,20966539,20852361,21011087
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590976/000159097614000043/0001590976-14-000043-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097615000075/0001590976-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097616000247/0001590976-16-000247-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097617000118/0001590976-17-000118-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097618000071/0001590976-18-000071-index.html,https://www.sec.gov/Archives/edgar/data/1590976/000159097619000073/mbuu-6302019x10k.htm,https://www.sec.gov/Archives/edgar/data/1590976/000159097620000069/0001590976-20-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1590976/000159097621000065/0001590976-21-000065-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,14797000,15957000,12173000,8387000,25921000,32822000,61623000,27392000,33787000,41479000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,14797000,15957000,12173000,8387000,25921000,32822000,61623000,27392000,33787000,41479000
