,https://roic.ai/company/AAOI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,40489000,47840000,63421000,78424000,130449000,189903000,260713000,382329000,267465000,190872000,234623000,211565000
2,COGS,27539000,34468000,44492000,55396000,86203000,129450000,173759000,216049000,179692000,144671000,184082000,173850000
3,Gross Profit,12950000,13372000,18929000,23028000,44246000,60453000,86954000,166280000,87773000,46201000,50541000,37715000
4,Gross Profit Ratio,0.3198,0.2795,0.2985,0.2936,0.3392,0.3183,0.3335,0.4349,0.3282,0.2421,0.2154,0.1783
5,Research and Development Exp.,5176000,6451000,7603000,8512000,15970000,20852000,31780000,35365000,49903000,43399000,43393000,41220000
6,General and Administrative Exp.,8382000,8243000,8012000,10632000,17095000,19771000,25527000,35262000,39497000,41489000,41903000,42362000
7,Selling and Marketing Exp.,1993000,2412000,3135000,4191000,6043000,6381000,6627000,8702000,9141000,10060000,14087000,10899000
8,"Selling, General and Administrative Exp.",10375000,10655000,11147000,14823000,23138000,26152000,32154000,43964000,48638000,51549000,55990000,53261000
9,Other Expenses,-71000,-77000,-92000,-322000,-271000,-217000,-164000,-211000,-934000,-1614000,-2708000,-1345000
10,Operating Expenses,15480000,17029000,18658000,23013000,38837000,46787000,63770000,79118000,97607000,93334000,96675000,93136000
11,COGS and Expenses,43019000,51497000,63150000,78409000,125040000,176237000,237529000,295167000,277299000,238005000,280757000,266986000
12,Interest Income ,34000,15000,26000,104000,369000,328000,247000,221000,282000,925000,255000,70000
13,Interest Expense (Gain),906000,1338000,1381000,1125000,326000,1018000,1717000,858000,1106000,5405000,5635000,5620000
14,Depreciation and Amortization,3340000,3112000,2942000,3407000,6169000,9424000,14188000,20381000,29698000,24014000,24733000,25371000
15,EBITDA,866000,-878000,3378000,3126000,10977000,21610000,36908000,105765000,21026000,-21968000,-20856000,-23169000
16,EBITDA ratio,0.0214,-0.0184,0.0533,0.0399,0.0841,0.1138,0.1416,0.2766,0.0786,-0.1151,-0.0889,-0.1095
17,Operating Income,-3093000,-3734000,179000,-307000,5138000,13449000,23020000,86951000,-10768000,-48747000,-48842000,-56766000
18,Operating Income ratio,-0.0764,-0.0781,0.0028,-0.0039,0.0394,0.0708,0.0883,0.2274,-0.0403,-0.2554,-0.2082,-0.2683
19,Total Other Income Expenses (Gains),-287000,-1594000,-1124000,-1099000,-656000,-2281000,-2017000,-2425000,990000,-2640000,-2382000,2606000
20,Income Before Tax,-3380000,-5328000,-945000,-1406000,4482000,11168000,21003000,84526000,-9778000,-51387000,-51224000,-54160000
21,Income Before Tax Ratio,-0.0835,-0.1114,-0.0149,-0.0179,0.0344,0.0588,0.0806,0.2211,-0.0366,-0.2692,-0.2183,-0.2560
22,Income Tax expense (Gain),- -,- -,- -,- -,199000,375000,-10231000,10575000,-7632000,14662000,7228000,2000
23,Net Income,-3380000,-5328000,-945000,-1406000,4283000,10793000,31234000,73951000,-2146000,-66049000,-58452000,-54162000
24,Net Income ratio,-0.0835,-0.1114,-0.0149,-0.0179,0.0328,0.0568,0.1198,0.1934,-0.0080,-0.3460,-0.2491,-0.2560
25,EPS,-0.40,-0.60,-0.11,-0.14,0.30,0.69,1.82,3.87,-0.11,-3.31,-2.67,-2.01
26,EPS Diluted,-0.40,-0.60,-0.11,-0.14,0.28,0.65,1.76,3.67,-0.11,-3.31,-2.67,-2.01
