,https://roic.ai/company/SLNH,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,68700000,88200000,73200000,71900000,64700000,70000000,68000000,- -,29748000,31901000,31980000,21000000,12900000,5547000,7298000,6935000,7858000,8570000,7841000,8156000,10584000,7378000,8306000,8413000,10293000,5900000,8352000,8781000,6330000,7056000,7061000,- -,6571000,9599000,14345000
2,COGS,45600000,60500000,38900000,35200000,30000000,35800000,46000000,- -,21108000,19901000,20300000,12100000,7700000,2312000,3150000,2428000,2382000,2877000,2381000,2900000,3430000,3181000,2665000,2930000,3781000,2967000,3254000,3284000,2475000,2722000,2234000,- -,2205000,3074000,8070000
3,Gross Profit,23100000,27700000,34300000,36700000,34700000,34200000,22000000,- -,8640000,12000000,11680000,8900000,5200000,3235000,4148000,4507000,5476000,5693000,5460000,5256000,7154000,4197000,5641000,5483000,6512000,2933000,5098000,5497000,3855000,4334000,4827000,- -,4366000,6525000,6275000
4,Gross Profit Ratio,0.3362,0.3141,0.4686,0.5104,0.5363,0.4886,0.3235,- -,0.2904,0.3762,0.3652,0.4238,0.4031,0.5832,0.5684,0.6499,0.6969,0.6643,0.6963,0.6444,0.6759,0.5689,0.6791,0.6517,0.6327,0.4971,0.6104,0.6260,0.6090,0.6142,0.6836,- -,0.6644,0.6798,0.4374
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1425000,1263000,1734000,800000,1100000,2034000,3684000,6615000,8348000,12960000,9671000,12921000,11765000,8264000,5444000,3855000,1466000,1364000,1320000,1346000,1546000,1243000,1149000,- -,1381000,1491000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14100000,17700000,33500000,33600000,33200000,29700000,16700000,- -,7977000,9781000,9366000,5800000,4900000,4864000,6159000,4941000,5837000,6325000,10887000,10072000,8738000,8369000,3284000,5020000,4994000,3813000,3417000,3586000,3779000,3452000,3090000,- -,2726000,3584000,10751000
9,Other Expenses,2100000,3200000,3000000,3000000,2700000,2500000,2400000,- -,1590000,- -,- -,300000,600000,264000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11807364000
10,Operating Expenses,16200000,20900000,36500000,36600000,35900000,32200000,19100000,- -,10992000,11044000,11100000,6900000,6600000,7162000,9843000,11556000,14185000,19285000,20558000,22993000,20503000,16633000,8728000,8875000,6460000,5177000,4737000,4932000,5325000,4695000,4239000,- -,4107000,5075000,11818115000
11,COGS and Expenses,61800000,81400000,75400000,71800000,65900000,68000000,65100000,- -,32100000,30945000,31400000,19000000,14300000,9474000,12993000,13984000,16567000,22162000,22939000,25893000,23933000,19814000,11393000,11805000,10241000,8144000,7991000,8216000,7800000,7417000,6473000,- -,6312000,8149000,11826185000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),400000,1800000,2600000,2300000,1900000,1600000,1300000,- -,1081000,790000,- -,100000,100000,1943000,1970000,46000,7000,- -,- -,- -,- -,- -,222000,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,1879000
14,Depreciation and Amortization,2100000,3200000,3000000,3000000,-2700000,-2500000,-2400000,- -,837000,686000,587000,300000,600000,264000,1761000,592000,599000,911000,1253000,1101000,1129000,819000,660000,481000,307000,129000,91000,83000,80000,85000,81000,- -,87000,159000,3703000
15,EBITDA,8900000,10300000,600000,3300000,-10200000,-400000,500000,- -,4926000,5288000,5221000,-3900000,-10000000,-18316000,15096000,-6959000,-622000,-6844000,-12254000,-10671000,-5898000,-9681000,-2425000,-1273000,1145000,-1950000,3780000,783000,-1392000,-283000,669000,- -,382000,1713000,277000
16,EBITDA ratio,0.1295,0.1168,0.0082,0.0459,-0.1577,-0.0057,0.0074,- -,0.1656,0.1658,0.1633,-0.1857,-0.7752,-3.3020,2.0685,-1.0035,-0.0792,-0.7986,-1.5628,-1.3084,-0.5573,-1.3121,-0.2920,-0.1513,0.1112,-0.3305,0.4526,0.0892,-0.2199,-0.0401,0.0947,- -,0.0581,0.1785,0.0193
