,https://roic.ai/company/AOSL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,198178000,248030000,185076000,301840000,361308000,342291000,337436000,318121000,327935000,335661000,383337000,421553000,450920000,464909000,656902000
2,COGS,155920000,188719000,146076000,221537000,256087000,259126000,272851000,259050000,267453000,269839000,291516000,309625000,335542000,362178000,452359000
3,Gross Profit,42258000,59311000,39000000,80303000,105221000,83165000,64585000,59071000,60482000,65822000,91821000,111928000,115378000,102731000,204543000
4,Gross Profit Ratio,0.2132,0.2391,0.2107,0.2660,0.2912,0.2430,0.1914,0.1857,0.1844,0.1961,0.2395,0.2655,0.2559,0.2210,0.3114
5,Research and Development Exp.,15468000,22712000,19173000,20985000,29470000,30630000,27833000,24409000,27075000,26006000,29835000,37344000,46431000,51252000,62953000
6,General and Administrative Exp.,16417000,35636000,20569000,26178000,37937000,35800000,35473000,34855000,37198000,37874000,48842000,66164000,75967000,64816000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16417000,35636000,20569000,26178000,37937000,35800000,35473000,34855000,37198000,37874000,48842000,66164000,75967000,64816000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77514000
10,Operating Expenses,31885000,58348000,39742000,47163000,67407000,66430000,63306000,59264000,64273000,63880000,78677000,103508000,122398000,116068000,140467000
11,COGS and Expenses,187805000,247067000,185818000,268700000,323494000,325556000,336157000,318314000,331726000,333719000,370193000,413133000,457940000,478246000,592826000
12,Interest Income ,1426000,2044000,648000,39000,280000,105000,76000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,31018000,587000,188000,263000,342000,372000,266000,181000,23000,91000,821000,6905000,3972000,3852000
14,Depreciation and Amortization,1860000,3049000,7528000,9011000,16678000,25263000,29360000,27876000,27547000,27303000,27188000,29419000,32038000,45090000,52685000
15,EBITDA,-28143000,8878000,7399000,48484000,57377000,42103000,28158000,27807000,23862000,28419000,44760000,45211000,42060000,42814000,118588000
16,EBITDA ratio,-0.1420,0.0358,0.0400,0.1606,0.1588,0.1230,0.0834,0.0874,0.0728,0.0847,0.1168,0.1072,0.0933,0.0921,0.1805
17,Operating Income,10373000,963000,-742000,33140000,37814000,16735000,-1278000,-193000,-3791000,1510000,13144000,8420000,-7020000,-13937000,64076000
18,Operating Income ratio,0.0523,0.0039,-0.0040,0.1098,0.1047,0.0489,-0.0038,-0.0006,-0.0116,0.0045,0.0343,0.0200,-0.0156,-0.0300,0.0975
19,Total Other Income Expenses (Gains),-40376000,-26152000,26000,6145000,2622000,-237000,-296000,-142000,-75000,-521000,-232000,-2764000,-6362000,-3972000,-3852000
20,Income Before Tax,-30003000,-25189000,-716000,39285000,40436000,16498000,-1574000,-335000,-3866000,989000,12912000,5656000,-13382000,-17909000,60224000
