,https://roic.ai/company/CHMI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,22534000,7823000,18876000,31931000,56779000,49048000,-47887000,-57324000,1
2,COGS,- -,- -,- -,761000,2562000,5783000,45124000,- -,- -,- -
3,Gross Profit,- -,- -,- -,18115000,29369000,50996000,3924000,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.9597,0.9198,0.8981,0.0800,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1332000,5588000,5864000,6230000,8164000,9887000,12431000,14658000,7
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1332000,5588000,5864000,6230000,8164000,9887000,12431000,14658000,7
9,Other Expenses,- -,-616000,-2560000,-2783000,-2946000,-4347000,-5946000,-64431000,-7770000,- -
10,Operating Expenses,- -,716000,3028000,3081000,3284000,3817000,3941000,-52000000,6888000,7
11,COGS and Expenses,- -,1332000,5588000,6625000,8792000,13947000,55011000,- -,6888000,- -
12,Interest Income ,- -,5475000,24961000,27712000,30722000,42049000,57715000,73338000,49020000,15
13,Interest Expense (Gain),- -,867000,4307000,5983000,7808000,19881000,34509000,48585000,16317000,6
14,Depreciation and Amortization,- -,217000,2058000,3811000,4115000,- -,- -,- -,15855000,- -
15,EBITDA,- -,22179000,8578000,22665000,37213000,67841000,73182000,-11030000,-38831000,19
16,EBITDA ratio,- -,0.9842,1.0965,1.2007,1.1654,1.1948,1.4920,0.2303,0.6774,34.8157
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,17059000,-17138000,-9794000,-3808000,-3521000,-14319000,- -,-72961000,14
20,Income Before Tax,- -,21202000,2235000,13012000,25701000,48615000,39161000,-60318000,-71982000,13
21,Income Before Tax Ratio,- -,0.9409,0.2857,0.6893,0.8049,0.8562,0.7984,1.2596,1.2557,24.2901
22,Income Tax expense (Gain),- -,- -,-140000,-343000,458000,601000,1388000,-16822000,-18764000,1
23,Net Income,- -,21095000,2353000,13214000,24832000,47359000,37285000,-42793000,-52239000,13
24,Net Income ratio,- -,0.9361,0.3008,0.7000,0.7777,0.8341,0.7602,0.8936,0.9113,22.8650
25,EPS,- -,12.50,0.31,1.76,3.31,3.98,2.18,-3.11,-3.67,0.00
26,EPS Diluted,- -,12.50,0.31,1.76,3.30,3.98,2.18,-3.11,-3.67,0.00
27,Weighted Average Shares Outstanding,- -,1688275,7505546,7509543,7512444,11443493,14649242,16775113,16901537,17185872
28,Weighted Average Shares Outstanding Diluted,- -,1688275,7508827,7512444,7523297,11450831,14657498,16787902,16919204,17206086
