,https://roic.ai/company/ATEN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,91278000,120066000,141738000,179507000,198955000,230003000,235429000,232223000,212628000,225527000,250042000
2,COGS,18475000,24510000,33396000,42937000,48768000,54910000,53318000,51896000,48881000,50148000,53505000
3,Gross Profit,72803000,95556000,108342000,136570000,150187000,175093000,182111000,180327000,163747000,175379000,196537000
4,Gross Profit Ratio,0.7976,0.7959,0.7644,0.7608,0.7549,0.7613,0.7735,0.7765,0.7701,0.7776,0.7860
5,Research and Development Exp.,16652000,25513000,33348000,49903000,54843000,60700000,62991000,65157000,61824000,58063000,54077000
6,General and Administrative Exp.,3110000,10225000,15556000,22938000,27055000,27063000,28132000,39635000,23704000,21851000,23421000
7,Selling and Marketing Exp.,34504000,51323000,70756000,96837000,104531000,104360000,101360000,103214000,92783000,77732000,85651000
8,"Selling, General and Administrative Exp.",37614000,61548000,86312000,119775000,131586000,131423000,129492000,142849000,116487000,99583000,109072000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,54266000,87061000,119660000,169678000,186429000,192123000,192483000,208006000,178311000,157646000,163149000
11,COGS and Expenses,72741000,111571000,153056000,212615000,235197000,247033000,245801000,259902000,227192000,207794000,216654000
12,Interest Income ,-618000,-2237000,-2118000,-1914000,-332000,-640000,989000,1273000,919000,1407000,- -
13,Interest Expense (Gain),241000,135000,1495000,1028000,509000,424000,162000,129000,237000,1000,- -
14,Depreciation and Amortization,3417000,5294000,7080000,10121000,8716000,8267000,8511000,7880000,10028000,11303000,8907000
15,EBITDA,11812000,-83963000,-17881000,-22064000,-30062000,-11492000,-872000,-18526000,-6147000,30443000,40549000
16,EBITDA ratio,0.1294,-0.6993,-0.1262,-0.1229,-0.1511,-0.0500,-0.0037,-0.0798,-0.0289,0.1350,0.1622
17,Operating Income,9013000,-87020000,-22843000,-30271000,-38446000,-19119000,-10372000,-27679000,-17094000,17733000,33388000
18,Operating Income ratio,0.0987,-0.7248,-0.1612,-0.1686,-0.1932,-0.0831,-0.0441,-0.1192,-0.0804,0.0786,0.1335
19,Total Other Income Expenses (Gains),-859000,-2372000,-3613000,-2942000,-841000,-1064000,827000,1144000,682000,1406000,-1746000
20,Income Before Tax,8154000,-89392000,-26456000,-33213000,-39287000,-20183000,-9545000,-26535000,-16412000,19139000,31642000
21,Income Before Tax Ratio,0.0893,-0.7445,-0.1867,-0.1850,-0.1975,-0.0878,-0.0405,-0.1143,-0.0772,0.0849,0.1265
22,Income Tax expense (Gain),850000,758000,640000,1507000,747000,757000,1206000,1082000,1407000,1323000,-63245000
23,Net Income,7304000,-90150000,-27096000,-34720000,-40034000,-20940000,-10751000,-27617000,-17819000,17816000,94887000
