,https://roic.ai/company/KAYS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,74530,323920,952850,966380,1136600,1014270,1030
2,COGS,- -,- -,- -,- -,- -,77040,144560,553290,394420,494090,410250,311
3,Gross Profit,- -,- -,- -,- -,- -,-2510,179360,399560,571960,642510,604020,719
4,Gross Profit Ratio,- -,- -,- -,- -,- -,-0.0337,0.5537,0.4193,0.5919,0.5653,0.5955,0.6982
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,220000,470000,1270000,860000,280000,1098570,1689440,2154920,2559230,3513140,2868900,721
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",220000,470000,1270000,860000,280000,1098570,1689440,2154920,2559230,3513140,2868900,721
9,Other Expenses,- -,- -,- -,-380000,1548,-6015,- -,-0,-4,-2,-1,1833
10,Operating Expenses,220000,470000,1270000,480000,281548,1092555,1689440,2154920,2559226,3513138,2868899,2554
11,COGS and Expenses,220000,470000,1270000,480000,360000,1089110,1834000,2708210,3268590,4007230,3304150,2865
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-90000,-90000,-90000,86417,60540,-417883,239640,286383,354374,541038,579722,603
14,Depreciation and Amortization,- -,- -,- -,- -,5035,10172,33603,87585,68166,161223,228117,141727
15,EBITDA,-400000,-460000,-1450000,-433583,-350000,-2784201,-2952147,-19475292,-14459250,5449561,8611969,130033
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-37.3568,-9.1138,-20.4390,-14.9623,4.7946,8.4908,126.3013
17,Operating Income,-220000,-470000,-1270000,-480000,-281548,-1067066,-1510080,-1755358,-1987267,-2870627,-2264883,-1835122
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-14.3173,-4.6619,-1.8422,-2.0564,-2.5256,-2.2330,-1782.4627
19,Total Other Income Expenses (Gains),-90000,100000,-90000,-40000,-138452,-1477144,-1817570,-18448842,-13103323,7408117,9786743,1822825
20,Income Before Tax,-310000,-370000,-1360000,-520000,-420000,-2544210,-3327650,-20204200,-15090590,4537490,7521860,-12297
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-34.1367,-10.2731,-21.2040,-15.6156,3.9922,7.4160,-11.9444
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-310000,-370000,-1360000,-520000,-420000,-2376490,-3225390,-19849260,-14881790,4747300,7804130,-12297
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-31.8864,-9.9574,-20.8315,-15.3995,4.1768,7.6943,-11.9444
25,EPS,-0.00,-0.01,-0.02,-0.01,-0.15,-0.30,-0.60,-3.00,-1.80,0.45,0.60,-0.92
26,EPS Diluted,-0.00,-0.01,-0.02,-0.01,-0.15,-0.30,-0.60,-3.00,-1.80,0.15,0.30,-0.92
27,Weighted Average Shares Outstanding,64760000,64760000,64760000,64880000,4592169,4988401,5732985,6805162,8531563,10013939,11767510,13161972
28,Weighted Average Shares Outstanding Diluted,64760000,64760000,64760000,64880000,4592169,4988401,5732985,6805162,8531563,25520773,28272181,13161972
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530746/000114420413023449/0001144204-13-023449-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174814000369/0000721748-14-000369-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174815000562/0000721748-15-000562-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174816001298/0000721748-16-001298-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000072174817000257/0000721748-17-000257-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186818000294/0001721868-18-000294-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186819000207/0001721868-19-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186820000213/0001721868-20-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1530746/000172186821000184/0001721868-21-000184-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,70000,30000,- -,- -,35190,123910,306880,318460,111510,86970,43162
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,70000,30000,- -,- -,35190,123910,306880,318460,111510,86970,43162
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
