,https://roic.ai/company/CONE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,74100000,127500000,181700000,220800000,263500000,330900000,399300000,529100000,672000000,821400000,981300000,1033500000,1205700000
2,COGS,31000000,43900000,58200000,76000000,93200000,124500000,148700000,187500000,235100000,292400000,383400000,411600000,531100000
3,Gross Profit,43100000,83600000,123500000,144800000,170300000,206400000,250600000,341600000,436900000,529000000,597900000,621900000,674600000
4,Gross Profit Ratio,0.5816,0.6557,0.6797,0.6558,0.6463,0.6238,0.6276,0.6456,0.6501,0.6440,0.6093,0.6017,0.5595
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5700000,10600000,14800000,23200000,28000000,34600000,46600000,60700000,67000000,80600000,83500000,99300000,101900000
7,Selling and Marketing Exp.,5100000,6800000,9100000,9700000,10600000,12800000,12100000,16900000,17000000,19600000,20200000,18300000,14900000
8,"Selling, General and Administrative Exp.",10800000,17400000,23900000,32900000,38600000,47400000,58700000,77600000,84000000,100200000,103700000,117600000,116800000
9,Other Expenses,18000000,36200000,55500000,73400000,95200000,118000000,141500000,183900000,258900000,334100000,417700000,449400000,499200000
10,Operating Expenses,28800000,53600000,79400000,106300000,133800000,165400000,200200000,261500000,342900000,434300000,521400000,567000000,616000000
11,COGS and Expenses,59800000,97500000,137600000,182300000,227000000,289900000,348900000,449000000,578000000,726700000,904800000,978600000,1147100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3100000,11500000,32900000,41800000,43700000,39500000,41200000,48800000,68100000,94700000,82000000,57700000,64600000
14,Depreciation and Amortization,18000000,36200000,55500000,73400000,95200000,118000000,141500000,183900000,258900000,334100000,417700000,449400000,499200000
15,EBITDA,31100000,53900000,92100000,89800000,135900000,151100000,169100000,254400000,246500000,430600000,537400000,544900000,584200000
16,EBITDA ratio,0.4197,0.4227,0.5069,0.4067,0.5157,0.4566,0.4235,0.4808,0.3668,0.5242,0.5476,0.5272,0.4845
17,Operating Income,13100000,17800000,38000000,16300000,11600000,40000000,22800000,70500000,24100000,89700000,67000000,40100000,39300000
18,Operating Income ratio,0.1768,0.1396,0.2091,0.0738,0.0440,0.1209,0.0571,0.1332,0.0359,0.1092,0.0683,0.0388,0.0326
19,Total Other Income Expenses (Gains),-3100000,-11500000,-34300000,-41800000,-44900000,-53100000,-41200000,-48800000,-104600000,-87900000,-29300000,-2300000,-18900000
20,Income Before Tax,10000000,6300000,3700000,-25500000,-33300000,-13100000,-18400000,21700000,-80500000,1800000,37700000,37800000,20400000
21,Income Before Tax Ratio,0.1350,0.0494,0.0204,-0.1155,-0.1264,-0.0396,-0.0461,0.0410,-0.1198,0.0022,0.0384,0.0366,0.0169
22,Income Tax expense (Gain),3900000,2700000,2200000,-5100000,2300000,1400000,1800000,1800000,3000000,600000,-3700000,-3600000,-4900000
23,Net Income,6100000,3500000,1500000,-20300000,-5300000,-7800000,-15400000,19900000,-83500000,1200000,41400000,41400000,25300000
24,Net Income ratio,0.0823,0.0275,0.0083,-0.0919,-0.0201,-0.0236,-0.0386,0.0376,-0.1243,0.0015,0.0422,0.0401,0.0210
25,EPS,0.31,0.18,-0.06,-1.05,-0.28,-0.30,-0.30,0.24,-0.95,0.01,0.36,0.35,0.20
26,EPS Diluted,0.31,0.18,-0.06,-1.05,-0.28,-0.30,-0.30,0.24,-0.95,0.01,0.36,0.35,0.20
27,Weighted Average Shares Outstanding,19413165,19413165,19413165,19413165,20900000,38651517,51333333,82916667,88900000,108329314,115000000,118285714,123800000
28,Weighted Average Shares Outstanding Diluted,19413165,19413165,19413165,19413165,20900000,38651517,51333333,82916667,88900000,108329314,115000000,118285714,123900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553023/000155302321000015/0001553023-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1553023/000155302322000009/0001553023-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4900000,600000,16500000,148800000,36500000,14300000,14600000,151900000,64400000,76400000,271400000,346300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,198100000,135100000,- -,- -
33,Cash and Short-Term Investments,- -,4900000,600000,16500000,148800000,36500000,14300000,14600000,151900000,262500000,211500000,271400000,346300000
34,Net Receivables,- -,- -,- -,35400000,41800000,61700000,76100000,83300000,90500000,106200000,291900000,334200000,420400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,11600000,- -,6300000,- -,- -,1500000,- -,- -,-198100000,-111700000,20600000,214500000
37,Total Current Assets,- -,16500000,600000,58200000,190600000,98200000,91900000,97900000,242400000,170600000,391700000,626200000,981200000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178200000,225200000,156000000
39,Goodwill,- -,276300000,276200000,276200000,276200000,276200000,453400000,455100000,455100000,455100000,455100000,455100000,455100000
40,Intangible Assets,- -,136200000,120700000,102600000,85900000,68900000,170300000,150200000,203000000,235700000,196100000,157800000,124800000
41,Intangible Assets,- -,412500000,396900000,378800000,362100000,345100000,623700000,605300000,658100000,690800000,651200000,612900000,579900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,198100000,135100000,67100000,30300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,433300000,557200000,773900000,954100000,1143200000,1480000000,2149200000,3411600000,4533000000,4785800000,5366000000,5704600000
45,Total Non-Current Assets,- -,845800000,954100000,1152700000,1316200000,1488300000,2103700000,2754500000,4069700000,5421900000,5750300000,6271200000,6470800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,862300000,954700000,1210900000,1506800000,1586500000,2195600000,2852400000,4312100000,5592500000,6142000000,6897400000,7452000000
48,Accounts Payable,- -,11500000,22200000,29500000,66800000,69900000,136600000,227100000,255200000,121300000,122700000,151300000,192800000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174100000,235000000
52,Other Current Liabilities,- -,- -,- -,2900000,8500000,7300000,- -,- -,- -,246300000,234900000,22200000,197800000
53,Total Current Liabilities,- -,11500000,22200000,32400000,75300000,77200000,136600000,227100000,255200000,367600000,357600000,347600000,625600000
54,Long-Term Debt,- -,413600000,480200000,525000000,525000000,659800000,996500000,1240100000,2089400000,2624700000,2886600000,3687200000,3828600000
55,Deferred Revenue,- -,46600000,49000000,52800000,55900000,65700000,78700000,76700000,111600000,148600000,163700000,174100000,235000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,68900000,60500000,53000000,39800000
57,Other Non-Current Liabilities,- -,72800000,91800000,100600000,73000000,66800000,162200000,146500000,142000000,156700000,239000000,77300000,-200700000
58,Total Non-Current Liabilities,- -,533000000,621000000,678400000,653900000,792300000,1237400000,1463300000,2343000000,2998900000,3349800000,3991600000,3902700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,70900000,91100000,93000000,73000000,66800000,162200000,146500000,142000000,156700000,227600000,278200000,335700000
61,Total Liabilities,- -,544500000,643200000,710800000,729200000,869500000,1374000000,1690400000,2598200000,3366500000,3707400000,4339200000,4528300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,493000000,200000,400000,700000,800000,1000000,1100000,1100000,1200000,1300000
64,Retained Earnings,- -,- -,- -,- -,-18900000,-55900000,-145900000,-249800000,-486900000,-600200000,-767300000,-966600000,-1200100000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-300000,-400000,-1300000,74200000,-12300000,-1200000,-13700000,-22600000
66,Other Total Stockholders Equity,- -,317800000,311500000,7100000,340700000,516500000,967200000,1412300000,2125600000,2837400000,3202000000,3537300000,4145100000
67,Total Stockholders Equity,- -,317800000,311500000,500100000,322000000,460700000,821600000,1162000000,1713900000,2226000000,2434600000,2558200000,2923700000
68,Total Liabilities And Stockholders Equity,- -,862300000,954700000,1210900000,1051200000,1330200000,2195600000,2852400000,4312100000,5592500000,6142000000,6897400000,7452000000
69,Minority Interest,- -,- -,- -,- -,455600000,256300000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,862300000,954700000,1210900000,1506800000,1586500000,2195600000,2852400000,4312100000,5592500000,6142000000,6897400000,7452000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553023/000155302321000015/0001553023-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1553023/000155302322000009/0001553023-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,6100000,3500000,1500000,-20300000,-5300000,-7800000,-15400000,19900000,-83500000,1200000,41400000,41400000,25300000
74,Depreciation and Amortization,18000000,36200000,55500000,73400000,95200000,118000000,141500000,183900000,258900000,334100000,417700000,449400000,499200000
75,Deferred Income Tax,3900000,2400000,1600000,-4500000,900000,- -,- -,- -,- -,- -,-7500000,-6900000,-9000000
76,Stock Based Compensation,- -,- -,- -,- -,6000000,10300000,14400000,12300000,14700000,17500000,16700000,18400000,22600000
77,Change in Working Capital,-4600000,9500000,-26600000,47400000,89500000,-94300000,-65700000,-84500000,116400000,-184200000,231100000,244500000,-39800000
78,Accounts Receivable,- -,-4300000,- -,-31200000,-15000000,-37000000,-23900000,-51700000,-64300000,-80200000,- -,-58000000,-111800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,4200000,3500000,-600000,18400000,6900000,7000000,7000000,17000000,3000000,- -,- -,- -
81,Other Working Capital,-4500000,5000000,-21600000,25800000,115300000,21000000,-44700000,-129200000,-12800000,-197000000,34100000,278600000,62500000
82,Other Non-Cash Items,1200000,-8100000,34000000,-51500000,-106900000,84900000,65400000,49000000,-17000000,140700000,-333700000,-290500000,-20700000
83,Cash Provided by Operating Activities,24600000,43500000,66000000,44500000,79400000,111100000,140200000,180600000,289500000,309300000,365700000,456300000,477600000
84,CAPEX,-20700000,-29300000,-117500000,-228300000,-228600000,-284200000,-234500000,-731100000,-1406800000,- -,- -,- -,- -
