,https://roic.ai/company/APAM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,296179174,382285679,455094000,505578000,685841000,828701000,805469000,720859000,795624000,828635000,798952000,899567000,1227236000
2,COGS,- -,- -,233233000,383093000,856358000,414966000,414238000,383915000,402880000,413166000,400456000,435818000,563054000
3,Gross Profit,296179174,382285679,221861000,122485000,-170517000,413735000,391231000,336944000,392744000,415469000,398496000,463749000,664182000
4,Gross Profit Ratio,1.0000,1.0000,0.4875,0.2423,-0.2486,0.4993,0.4857,0.4674,0.4936,0.5014,0.4988,0.5155,0.5412
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,205296840,294065911,41392000,46408000,52289000,57700000,65220000,70194000,76713000,83967000,91871000,81113000,91972000
7,Selling and Marketing Exp.,17783041,23022071,26174000,28990000,38398000,49132000,43626000,32516000,29620000,26561000,23170000,24312000,31719000
8,"Selling, General and Administrative Exp.",223079881,317087982,67566000,75398000,90687000,106832000,108846000,102710000,106333000,110528000,115041000,105425000,123691000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,223079881,317087982,67566000,75398000,90687000,106832000,108846000,102710000,106333000,110528000,115041000,105425000,123691000
11,COGS and Expenses,223079881,317087982,300799000,458491000,947045000,521798000,523084000,486625000,509213000,523694000,515497000,541243000,686745000
12,Interest Income ,69647,32334,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),24940786,22961324,18386000,11442000,11869000,11572000,11706000,11653000,11449000,11223000,11054000,10804000,10803000
14,Depreciation and Amortization,2388362,2287131,2360000,2401000,3225000,3250000,4519000,5272000,5297000,5668000,6233000,6625000,6933000
15,EBITDA,75557302,69056564,156655000,48650000,66291000,133280000,144797000,141438000,486853000,222798000,201632000,290841000,461278000
16,EBITDA ratio,0.2551,0.1806,0.3442,0.0962,0.0967,0.1608,0.1798,0.1962,0.6119,0.2689,0.2524,0.3233,0.3759
17,Operating Income,73099293,65197697,154295000,47087000,-261204000,306903000,282385000,234234000,286411000,304941000,283455000,358324000,540491000
18,Operating Income ratio,0.2468,0.1705,0.3390,0.0931,-0.3809,0.3703,0.3506,0.3249,0.3600,0.3680,0.3548,0.3983,0.4404
19,Total Other Income Expenses (Gains),-24871139,-21389588,-23161000,-3463000,53462000,-19324000,-23508000,-9750000,284834000,-3153000,-14189000,10974000,11059000
20,Income Before Tax,48228154,43808109,131134000,43624000,-207742000,287579000,258877000,224484000,571245000,301788000,269266000,369298000,551550000
21,Income Before Tax Ratio,0.1628,0.1146,0.2881,0.0863,-0.3029,0.3470,0.3214,0.3114,0.7180,0.3642,0.3370,0.4105,0.4494
22,Income Tax expense (Gain),- -,1281244,1162000,1047000,26390000,48829000,46771000,51483000,420508000,47598000,27809000,60795000,107026000
23,Net Income,48228154,42526865,- -,33760000,24807000,69629000,81801000,73030000,49599000,158309000,156536000,212617000,336516000
24,Net Income ratio,0.1628,0.1112,- -,0.0668,0.0362,0.0840,0.1016,0.1013,0.0623,0.1910,0.1959,0.2364,0.2742
