,https://roic.ai/company/TIPT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,12916000,22259000,20009000,34015610,14476000,15962000,97657000,80313000,440116000,567154000,579804000,625826000,765130000,814729000,1202442000
2,COGS,- -,- -,- -,- -,- -,1440000,- -,- -,- -,- -,- -,414555000,- -,- -,- -
3,Gross Profit,- -,22259000,20009000,34015610,14476000,14522000,100907000,80313000,440116000,- -,- -,211271000,- -,810301000,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,0.9098,1.0333,1.0000,1.0000,- -,- -,0.3376,- -,0.9946,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,11714000,4105000,2235000,30134679,- -,4756000,44107000,43042000,130339000,189186000,157373000,156105000,181504000,229817000,288270000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,2344000,4287000,105751000,147253000,241835000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11714000,10728000,13888000,30134679,7765000,4756000,46451000,47329000,236090000,336439000,399208000,156105000,181504000,229817000,- -
9,Other Expenses,2286000,33543000,-1735000,69536,3611000,4451000,14943000,33059000,127658000,54947000,149458000,47949000,535496000,605709000,- -
10,Operating Expenses,14000000,44271000,12153000,30204215,11376000,9207000,61394000,80388000,363748000,391386000,548666000,204054000,717000000,835526000,- -
11,COGS and Expenses,-2625000,44271000,12153000,30204215,11376000,10647000,91408000,79525000,452555000,523838000,583134000,645622000,735991000,853581000,1137100000
12,Interest Income ,11209000,395000,73000,- -,27000,75000,16477000,14845000,19930000,18908000,16229000,13742000,32326000,22363000,28286000
13,Interest Expense (Gain),134000,4521000,6510000,10667,5755000,6310000,17517000,12541000,23491000,29701000,25562000,27013000,27059000,32582000,37674000
14,Depreciation and Amortization,725000,1554000,3415000,69536,3611000,3970000,6521000,10866000,45124000,28543000,29992000,12596000,13569000,17578000,24437000
15,EBITDA,-698000,-24731000,7099000,3832041,25900000,9770000,21780000,25838000,75771000,94542000,46596000,57633000,68006000,7375000,121534000
16,EBITDA ratio,-0.0540,-1.1111,0.3548,0.1127,1.7892,0.6121,0.2230,0.3217,0.1722,0.1667,0.0804,0.0921,0.0889,0.0091,0.1011
17,Operating Income,- -,-22012000,7856000,3760169,3100000,5315000,1830000,-6196000,-5550000,23062000,-13787000,- -,- -,- -,- -
18,Operating Income ratio,- -,-0.9889,0.3926,0.1105,0.2141,0.3330,0.0187,-0.0771,-0.0126,0.0407,-0.0238,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-8794000,-10682000,-48890,13434000,-5825000,4419000,6984000,-6889000,20254000,10457000,9799000,21785000,-13627000,- -
20,Income Before Tax,- -,-30806000,-2826000,- -,16534000,-510000,6249000,788000,-12439000,43316000,-3330000,-19796000,29139000,-38852000,65342000
21,Income Before Tax Ratio,- -,-1.3840,-0.1412,- -,1.1422,-0.0320,0.0640,0.0098,-0.0283,0.0764,-0.0057,-0.0316,0.0381,-0.0477,0.0543
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,6941000,4141000,1377000,10978000,-12562000,-5909000,9017000,-13627000,21291000
23,Net Income,-1557000,-30806000,-2826000,3751838,16534000,-510000,-9199000,-1710000,5779000,25320000,3604000,23933000,18361000,-29158000,38132000
24,Net Income ratio,-0.1205,-1.3840,-0.1412,0.1103,1.1422,-0.0320,-0.0942,-0.0213,0.0131,0.0446,0.0062,0.0382,0.0240,-0.0358,0.0317
25,EPS,-0.05,-0.98,-0.09,0.37,1.63,-0.05,0.86,-0.10,0.17,0.79,0.12,0.69,0.52,-0.86,1.13
26,EPS Diluted,-0.05,-0.98,-0.09,0.37,1.60,-0.05,0.86,-0.10,0.17,0.78,0.11,0.69,0.50,-0.86,1.09
27,Weighted Average Shares Outstanding,31299789,31429458,30092644,10064982,10154372,10209497,10250438,16771980,33202681,31721449,29134190,34715852,34578292,33859775,33223792
28,Weighted Average Shares Outstanding Diluted,31299789,31429458,30092644,10064982,10309765,10209497,10250438,16771980,33202681,31766674,37306632,34715852,34578292,33859775,33688256
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1393726/000095013608001664/file1.htm,https://www.sec.gov/Archives/edgar/data/1393726/000095012309004764/0000950123-09-004764-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000095012310025300/0000950123-10-025300-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000095012311031635/y04654e10vk.htm,https://www.sec.gov/Archives/edgar/data/1393726/000119312512152199/d304834d10k.htm,https://www.sec.gov/Archives/edgar/data/1393726/000119312513122652/0001193125-13-122652-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372614000009/tiptreeform10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372615000019/tfi201410-k.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372616000082/0001393726-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372617000009/0001393726-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372618000013/0001393726-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372619000036/0001393726-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372620000041/0001393726-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372621000014/0001393726-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372622000020/0001393726-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,31800000,122512000,209858,52306000,46428000,120557000,52987000,69400000,63010000,110667000,86003000,133117000,136920000,175718000
32,Short-Term Investments,72353000,- -,- -,- -,- -,- -,17763000,171128000,184703000,146171000,182448000,283563000,335192000,377133000,577448000
33,Cash and Short-Term Investments,72353000,31800000,122512000,209858,52306000,46428000,138320000,224115000,254103000,209181000,293115000,369566000,468309000,514053000,753166000
34,Net Receivables,1899000,1045000,177000,184133,- -,- -,- -,351893000,528787000,471985000,553733000,656439000,827426000,1117974000,1355029000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,165945,- -,- -,8632000,-494976000,-694712000,-548095000,-704611000,-2462000,-383490000,-1124655000,404579000
37,Total Current Assets,- -,32845000,122689000,559936,52306000,46428000,146952000,81032000,88178000,133071000,142237000,1023543000,912245000,507372000,2512774000
38,PP&E,- -,105130000,101539000,804281,122302000,118827000,- -,- -,7024000,5936000,4304000,6122000,36137000,43089000,38748000
39,Goodwill,- -,- -,- -,- -,- -,- -,4294000,95347000,92767000,92767000,91562000,91562000,99147000,179236000,179103000
40,Intangible Assets,- -,4295000,4471000,- -,- -,6300000,154695000,119894000,93340000,85478000,64017000,52121000,47974000,152973000,152591000
41,Intangible Assets,- -,4295000,4471000,- -,6939000,6300000,158989000,215241000,186107000,178245000,155579000,143683000,147121000,332209000,331694000
42,Investments,72353000,64890000,56078000,- -,2491000,8044000,63726000,203742000,224763000,194783000,207984000,406542000,490570000,500971000,715931000
43,Tax Assets,- -,- -,- -,- -,- -,- -,3310000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,163746000,30655000,835028,10178000,6182000,6507471000,7695311000,1995156000,2378015000,1479638000,285028000,612213000,-558818000,- -
45,Total Non-Current Assets,- -,338061000,192743000,1639309,141910000,139353000,6733496000,8114294000,2413050000,2756979000,1847505000,841375000,1286041000,317451000,1086373000
46,Other Assets,328398000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4685520000
47,Total Assets,328398000,370906000,315432000,2199245,194216000,185781000,6880448000,8195326000,2501228000,2890050000,1989742000,1864918000,2198286000,824823000,3599147000
48,Accounts Payable,- -,1625000,2245000,835473,2170000,1833000,- -,11670000,142922000,154348000,165440000,192914000,221877000,394527000,446560000
49,Short-Term Debt,- -,37781000,- -,26965,- -,- -,54871000,140849000,191395000,414557000,147294000,158182000,114786000,147823000,158533000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,6274739,- -,- -,- -,45393000,63081000,52254000,56745000,- -,- -,399211000,- -
52,Other Current Liabilities,10100000,3793000,544000,1683768,1794000,86000,1120735000,6846725000,562564000,567387000,261959000,-109309000,1089107000,-176104000,- -
53,Total Current Liabilities,10100000,43199000,2789000,8820945,3964000,1919000,1175606000,7044637000,959962000,1188546000,631438000,241787000,1425770000,765457000,605093000
54,Long-Term Debt,25000000,82217000,81873000,5811198,96079000,95232000,305738000,242010000,481815000,378452000,198787000,195901000,259668000,289016000,300944000
55,Deferred Revenue,- -,- -,- -,52685098,- -,- -,- -,45393000,63081000,52254000,56745000,75754000,94601000,399211000,534863000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,45638000,22699000,32296000,22744000,25433000,32306000,24183000,- -
57,Other Non-Current Liabilities,- -,4358000,3977000,59169,593000,609000,4833248000,415922000,575977000,848358000,683254000,926784000,-12121000,- -,- -
58,Total Non-Current Liabilities,25000000,86575000,85850000,58555465,96672000,95841000,5138986000,748963000,1143572000,1311360000,961530000,1223872000,374454000,712410000,835807000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2569175000,3429680000
60,Capital Lease Obligations,- -,- -,- -,86134,- -,- -,- -,- -,- -,- -,- -,- -,29491000,32914000,29396000
61,Total Liabilities,35063000,129774000,88639000,67376410,100636000,97760000,6314592000,7793600000,2103534000,2499906000,1592968000,1465659000,1786871000,2622222000,3198966000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,21000,21000,21000,- -,11000,11000,42000,42000,43000,43000,43000,36000,35000,33000,34000
64,Retained Earnings,-5130000,-50215000,-66820000,- -,9954000,3879000,18933000,13379000,15845000,37974000,38079000,57231000,70189000,35423000,68146000
65,Other Comprehensive Income/Loss,- -,-1414000,-4481000,-194980,-4540000,-8015000,33000,-49000,-111000,555000,966000,-2058000,1698000,5674000,-2685000
66,Other Total Stockholders Equity,298444000,292740000,298073000,- -,88155000,92162000,100903000,271090000,297063000,254859000,260989000,331892000,326140000,315014000,317459000
67,Total Stockholders Equity,293335000,241132000,226793000,-65177165,93580000,88037000,119911000,284462000,312840000,293431000,300077000,387101000,398062000,356144000,382954000
68,Total Liabilities And Stockholders Equity,328398000,370906000,315432000,2199245,194216000,185797000,6434503000,8078062000,2416374000,2793337000,1893045000,1852760000,2184933000,2978366000,3581920000
69,Minority Interest,- -,- -,- -,- -,- -,-16000,445945000,117264000,84854000,96713000,96697000,12158000,13353000,-2153543000,17227000
70,Total Liabilities & Equity,328398000,370906000,315432000,2199245,194216000,185781000,6880448000,8195326000,2501228000,2890050000,1989742000,1864918000,2198286000,824823000,3599147000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1393726/000095013608001664/file1.htm,https://www.sec.gov/Archives/edgar/data/1393726/000095012309004764/0000950123-09-004764-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000095012310025300/0000950123-10-025300-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000095012311031635/y04654e10vk.htm,https://www.sec.gov/Archives/edgar/data/1393726/000119312512152199/d304834d10k.htm,https://www.sec.gov/Archives/edgar/data/1393726/000119312513122652/0001193125-13-122652-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372614000009/tiptreeform10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372615000019/tfi201410-k.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372616000082/0001393726-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372617000009/0001393726-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372618000013/0001393726-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372619000036/0001393726-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372620000041/0001393726-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1393726/000139372621000014/0001393726-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1393726/000139372622000020/0001393726-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-1557000,-30806000,-2826000,3751838,16534000,-510000,-9199000,-1710000,5779000,25320000,3604000,23933000,18361000,-29158000,38132000
74,Depreciation and Amortization,725000,1554000,3415000,69536,3611000,3970000,6521000,10866000,45124000,28543000,29992000,12596000,13569000,17578000,24437000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,2227000,-249000,-19553000,6447000,-11249000,4011000,6815000,10733000,17730000
76,Stock Based Compensation,- -,1212000,2270000,- -,56000,259000,2559000,- -,2357000,2584000,6560000,6657000,6363000,8117000,11130000
77,Change in Working Capital,8154000,-254000,130254000,-128161009,56603009,-3833000,-1073163000,-5934951000,6091821000,-183691000,566274000,1270957000,-1295281000,255440000,-3683363000
78,Accounts Receivable,-3136000,- -,- -,68010,- -,- -,- -,- -,-102958000,-35185000,-53256000,-67384000,-119482000,-116839000,-152827000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,7213000,- -,- -,-102082,- -,- -,- -,- -,48006000,4748000,19966000,27043000,26272000,53716000,40909000
81,Other Working Capital,-10100000,-10354000,119900000,-8261009,48342000,44509000,-1028654000,-6963605000,-871784000,-1055475000,-489201000,781756000,-513525000,-258085000,135652000
82,Other Non-Cash Items,4549000,41323000,-126459000,125780188,-68974009,740000,1052669000,6017092000,-6131813000,157440000,-548262000,-1260430000,1273915000,-122541000,3591934000
83,Cash Provided by Operating Activities,11871000,13029000,6654000,1440553,7830000,626000,-18386000,91048000,-6285000,36643000,46919000,57724000,23742000,140169000,- -
84,CAPEX,-204272000,- -,- -,-289541,-260000,-29000,22665000,-541000,-125000,5376000,14035000,17705000,11857000,-6694000,-2764000
