,https://roic.ai/company/AEY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7044015,11607663,5025878,15325448,22002543,22884566,25408931,33327745,47071329,50273195,52541209,65646085,56448561,42243592,47306130,38079530,35216403,33357592,35888692,43733620,38663264,48713746,47413987,55118297,50182000,62160000
2,COGS,2108419,4831397,2515339,8050308,11055052,11885210,14370776,19072042,28815132,33401167,35799831,44336505,39839667,29315645,32850524,26528682,24854960,23784272,24283236,28434731,26222381,33903153,36191011,46025775,38502000,46033000
3,Gross Profit,4935596,6776266,2510539,7275140,10947491,10999356,11038155,14255703,18256197,16872028,16741378,21309580,16608894,12927947,14455606,11550848,10361443,9573320,11605456,15298889,12440883,14810593,11222976,9092522,11680000,16127000
4,Gross Profit Ratio,0.7007,0.5838,0.4995,0.4747,0.4976,0.4806,0.4344,0.4277,0.3878,0.3356,0.3186,0.3246,0.2942,0.3060,0.3056,0.3033,0.2942,0.2870,0.3234,0.3498,0.3218,0.3040,0.2367,0.1650,0.2328,0.2594
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1405336,1641545,1327282,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,266985,633857,444835,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1672321,2275402,1772117,- -,4813011,6144174,7498175,7801231,8494486,6642641,8377152,8458384,8156536,7159604,6901946,6625907,7231097,6841273,10508357,12722679,12097022,14664987,14325268,13068636,11249000,14890000
9,Other Expenses,10547,- -,1284279,2664872,- -,- -,- -,257821,277352,256435,247504,307752,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9720000,10557000
