,https://roic.ai/company/HRNNF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,4416000000,4545000000,4655000000,4597000000,4744000000,5124000000,5471000000,5728000000,6074000000,6548000000,6538000000,6552000000,5990000000,6150000000,6480000000,7290000000,7225000000
2,COGS,2131000000,2221000000,2240000000,2181000000,2326000000,2474000000,2628000000,3845000000,4126000000,4611000000,4585000000,4496000000,3941000000,4004000000,4292000000,4924000000,4691000000
3,Gross Profit,2285000000,2324000000,2415000000,2416000000,2418000000,2650000000,2843000000,1883000000,1948000000,1937000000,1953000000,2056000000,2049000000,2146000000,2188000000,2366000000,2534000000
4,Gross Profit Ratio,0.5174,0.5113,0.5188,0.5256,0.5097,0.5172,0.5196,0.3287,0.3207,0.2958,0.2987,0.3138,0.3421,0.3489,0.3377,0.3246,0.3507
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,1279000000,1395000000,1516000000,1513000000,1594000000,1661000000,1708000000,589000000,597000000,641000000,668000000,688000000,727000000,747000000,777000000,783000000,815000000
10,Operating Expenses,1279000000,1395000000,1516000000,1513000000,1594000000,1661000000,1708000000,589000000,597000000,641000000,668000000,688000000,727000000,747000000,777000000,783000000,815000000
11,COGS and Expenses,3410000000,3616000000,3756000000,3694000000,3920000000,4135000000,4336000000,4434000000,4723000000,5252000000,5253000000,5184000000,4668000000,4751000000,5069000000,5707000000,5506000000
12,Interest Income ,5000000,4000000,5000000,7000000,1000000,3000000,3000000,4000000,3000000,6000000,3000000,2000000,2000000,7000000,7000000,5000000,3000000
13,Interest Expense (Gain),267000000,263000000,288000000,299000000,312000000,355000000,354000000,362000000,365000000,383000000,365000000,379000000,424000000,470000000,457000000,456000000,451000000
14,Depreciation and Amortization,446000000,474000000,482000000,502000000,487000000,526000000,550000000,589000000,597000000,641000000,668000000,688000000,727000000,747000000,777000000,783000000,815000000
15,EBITDA,1394000000,1371000000,1374000000,1412000000,1315000000,1528000000,1695000000,1817000000,1874000000,1862000000,1841000000,1946000000,1938000000,2061000000,2024000000,2242000000,2409000000
16,EBITDA ratio,0.3157,0.3017,0.2952,0.3072,0.2772,0.2982,0.3098,0.3172,0.3085,0.2844,0.2816,0.2970,0.3235,0.3351,0.3123,0.3075,0.3334
17,Operating Income,1006000000,929000000,899000000,903000000,824000000,989000000,1135000000,1294000000,1351000000,1296000000,1285000000,1368000000,1322000000,1399000000,1411000000,1583000000,1719000000
18,Operating Income ratio,0.2278,0.2044,0.1931,0.1964,0.1737,0.1930,0.2075,0.2259,0.2224,0.1979,0.1965,0.2088,0.2207,0.2275,0.2177,0.2171,0.2379
19,Total Other Income Expenses (Gains),-325000000,-295000000,-295000000,-292000000,-308000000,-342000000,-344000000,-428000000,-439000000,-460000000,-467000000,-483000000,-529000000,-549000000,-615000000,-572000000,-568000000
20,Income Before Tax,681000000,634000000,604000000,611000000,516000000,647000000,791000000,866000000,912000000,836000000,818000000,885000000,793000000,850000000,796000000,1011000000,1151000000
21,Income Before Tax Ratio,0.1542,0.1395,0.1298,0.1329,0.1088,0.1263,0.1446,0.1512,0.1501,0.1277,0.1251,0.1351,0.1324,0.1382,0.1228,0.1387,0.1593
22,Income Tax expense (Gain),198000000,179000000,205000000,113000000,46000000,56000000,150000000,121000000,109000000,89000000,105000000,139000000,111000000,915000000,-6000000,-785000000,178000000
23,Net Income,483000000,455000000,399000000,498000000,470000000,591000000,641000000,745000000,803000000,749000000,703000000,740000000,676000000,-71000000,796000000,1788000000,965000000
24,Net Income ratio,0.1094,0.1001,0.0857,0.1083,0.0991,0.1153,0.1172,0.1301,0.1322,0.1144,0.1075,0.1129,0.1129,-0.0115,0.1228,0.2453,0.1336
25,EPS,0.81,0.76,0.67,0.84,4700.00,5910.00,6410.00,7450.00,8030.00,1.25,1.39,1.21,1.11,-0.15,1.30,2.96,1.61
26,EPS Diluted,0.81,0.76,0.67,0.84,4700.00,5910.00,6410.00,7450.00,8030.00,1.25,1.39,1.21,1.10,-0.15,1.30,2.95,1.61
27,Weighted Average Shares Outstanding,595000000,595000000,595000000,595000000,100000,100000,100000,100000,100000,595000000,496272733,595000000,595287586,595756470,596437577,597421127,598080111
28,Weighted Average Shares Outstanding Diluted,595000000,595000000,595000000,595000000,100000,100000,100000,100000,100000,595000000,496367424,596700823,597522251,597903943,598848437,599918288,600358141
