,https://roic.ai/company/GRWG,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,3455146,7980471,14363886,29000730,79733568,193365479,422489000
2,COGS,2351836,5776194,11094331,22556172,57171721,142317178,304248000
3,Gross Profit,1103310,2204277,3269555,6444558,22561847,51048301,118241000
4,Gross Profit Ratio,0.3193,0.2762,0.2276,0.2222,0.2830,0.2640,0.2799
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1391749,2072979,3005201,5146806,9281751,21450953,- -
7,Selling and Marketing Exp.,51332,107744,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1443081,2180723,3005201,5146806,9281751,21450953,40897000
9,Other Expenses,157054,357552,3114867,5553400,11139975,21159759,62342000
10,Operating Expenses,1600135,2538275,6120068,10700206,20421726,42610712,103239000
11,COGS and Expenses,3951971,8314469,17214399,33256378,77593447,184927890,407487000
12,Interest Income ,- -,- -,- -,79184,144725,43926,486000
13,Interest Expense (Gain),2916,5251,15339,1013166,401497,14053,-43000
14,Depreciation and Amortization,16436,52962,151561,351069,1044553,2435965,12600000
15,EBITDA,-509404,-373031,-2375682,-3709520,3324854,11029287,27786000
16,EBITDA ratio,-0.1474,-0.0467,-0.1654,-0.1279,0.0417,0.0570,0.0658
17,Operating Income,-514620,-425993,-2850513,-4255648,2140121,8437589,15002000
18,Operating Income ratio,-0.1489,-0.0534,-0.1984,-0.1467,0.0268,0.0436,0.0355
19,Total Other Income Expenses (Gains),-14136,-5251,307931,-818107,-261317,141680,227000
20,Income Before Tax,-528756,-431244,-2542582,-5073755,1878804,8579269,15229000
21,Income Before Tax Ratio,-0.1530,-0.0540,-0.1770,-0.1750,0.0236,0.0444,0.0360
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,3250891,-2443000
23,Net Income,-528756,-431244,-2542582,-5073755,1878804,5328378,17672000
24,Net Income ratio,-0.1530,-0.0540,-0.1770,-0.1750,0.0236,0.0276,0.0418
25,EPS,-0.04,-0.05,-0.18,-0.22,0.06,0.12,0.30
26,EPS Diluted,-0.04,-0.05,-0.18,-0.22,0.05,0.11,0.30
27,Weighted Average Shares Outstanding,11889262,9153053,14510582,23492650,32833594,43944879,58531000
28,Weighted Average Shares Outstanding Diluted,11889262,9153053,14510582,23492650,39228696,46456249,59490000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1604868/000121390017003102/0001213900-17-003102-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390018003536/0001213900-18-003536-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390019005471/0001213900-19-005471-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390020007584/0001213900-20-007584-index.html,https://www.sec.gov/Archives/edgar/data/1604868/000121390021018097/0001213900-21-018097-index.htm,https://www.sec.gov/Archives/edgar/data/1604868/000162828022005596/0001628280-22-005596-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,699417,606644,1215265,14639981,12979444,177911511,41372000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,39793000
33,Cash and Short-Term Investments,699417,606644,1215265,14639981,12979444,177911511,81165000
34,Net Receivables,37554,391235,653568,862397,4455209,7167906,5741000
35,Inventory,1311639,2574438,4585341,8869469,22659357,54024491,105571000
