,https://roic.ai/company/LTBR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,173527,3714,- -,- -,- -,- -,- -,22219905,10516378,7586708,6356424,3677596,1901354,1310199,910531,760577,175446,- -,- -,- -,- -
2,COGS,- -,- -,- -,884776,293822,- -,- -,- -,- -,- -,11088723,6228046,4941030,3992153,2266815,1109890,756277,694292,456565,107091,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,-711249,-290108,- -,- -,- -,- -,- -,11131182,4288332,2645678,2364271,1410781,791464,553922,216239,304012,68355,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,-4.0988,-78.1120,- -,- -,- -,- -,- -,0.5010,0.4078,0.3487,0.3719,0.3836,0.4163,0.4228,0.2375,0.3997,0.3896,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,1864,- -,- -,- -,- -,- -,34400,756755,1565594,1632208,1607886,2349749,2064568,2027905,1534605,1484164,2748337,2282938,3458377,2676156,891626,1366496
6,General and Administrative Exp.,- -,- -,- -,- -,- -,47041,39574,2418521,- -,11004415,12608000,9896027,8677504,6342673,3841486,3616897,3834935,5350285,5190549,4383066,6715378,5697469,8312583,7133618
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,10950,14572,- -,- -,47041,39574,2418521,12281989,11004415,12608000,9896027,8677504,6342673,3841486,3616897,3834935,5350285,5190549,4383066,6715378,5697469,8312583,7133618
9,Other Expenses,- -,28362,30711,- -,- -,45192,55856,442813,- -,-23580940,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1056551,-715126,-72709,24940
10,Operating Expenses,- -,39312,47147,- -,- -,92233,95430,2861334,12316389,-11819770,14173594,11528235,10285390,8692422,5906054,5644802,5369540,6834449,7938886,6666004,9117204,7658499,9131500,8525054
11,COGS and Expenses,- -,39312,47147,884776,293822,92233,95430,2861334,12316389,-11819770,25262317,17756281,15226420,12684575,8172869,6754692,6125817,7528741,8395451,6773095,9117204,7658499,9131500,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162893,22422,193208,465162,- -,- -,- -,705,316,65,258795,393112,83878,8127
13,Interest Expense (Gain),- -,- -,- -,- -,36196,- -,- -,442813,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220793,507313,982436,- -,- -,- -
14,Depreciation and Amortization,- -,433,348,603,36798,46037,55371,443587,10886,8582,24668,25482,27000,26962,28357,17221,- -,- -,- -,- -,- -,- -,100117,- -
15,EBITDA,- -,-38879,-46799,-722636,-253044,-46196,-40059,-2417747,-12913564,11828352,-2824708,-7207830,-7536481,-5842045,-4028718,-4847740,-4817044,-4318150,-6124383,-6597584,-14693672,-10587124,-3661739,647568
16,EBITDA ratio,- -,-Infinity,-Infinity,-4.1644,-68.1325,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-0.1271,-0.6854,-0.9934,-0.9191,-1.0955,-2.5496,-3.6766,-4.7425,-8.0523,-37.6046,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,- -,-39312,-47147,-711249,-290108,-142233,-95430,-2691516,-12316389,11761170,-3042412,-7239903,-7639712,-6328151,-4495273,-4853338,-4815618,-6618210,-7634874,-6597649,-14952467,-10980236,-14501144,-7877486
18,Operating Income ratio,- -,-Infinity,-Infinity,-4.0988,-78.1120,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-0.1369,-0.6884,-1.0070,-0.9956,-1.2223,-2.5526,-3.6755,-7.2685,-10.0383,-37.6050,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-24435,266,-100000,- -,339636,608061,-117200,193036,6591,76231,459144,438198,-11623,-1426,2300060,1289698,-507248,-723641,393112,83878,41821
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2849376,-7233312,-7563481,-5869007,-4057075,-4864961,-4817044,-4318150,-6345176,-7104897,-15676108,-10587124,-14417266,-7835665
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1282,-0.6878,-0.9969,-0.9233,-1.1032,-2.5587,-3.6766,-4.7425,-8.3426,-40.4962,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10026,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4201039000000
23,Net Income,- -,-39312,-47147,-723239,-326038,-142233,-95430,-2691516,-11708328,-11452583,-2859402,-7233312,-7563481,-5869007,-4057075,-4864961,-4817044,-4318150,-6345176,-7104897,-15676108,-10587124,-14417266,-7835665
24,Net Income ratio,- -,-Infinity,-Infinity,-4.1679,-87.7862,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1287,-0.6878,-0.9969,-0.9233,-1.1032,-2.5587,-3.6766,-4.7425,-8.3426,-40.4962,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-18.00,-18.00,-54.00,-18.00,-18.00,-18.00,-90.00,-162.00,-72.00,-18.00,-43.20,-40.80,-28.20,-19.20,-22.20,-18.60,-14.40,-17.76,-8.52,-8.52,-3.63,-3.59,-1.93
26,EPS Diluted,- -,-18.00,-18.00,-54.00,-18.00,-18.00,-18.00,-90.00,-162.00,-72.00,-18.00,-43.20,-40.80,-28.20,-19.20,-22.20,-18.60,-14.40,-17.76,-8.52,-8.52,-3.63,-3.59,-1.93
27,Weighted Average Shares Outstanding,- -,8366,8590,12504,18747,20016,21317,31771,73127,164812,166703,167023,185564,206274,208184,216825,257722,303987,394077,868703,2219678,3107580,4216568,4216568
28,Weighted Average Shares Outstanding Diluted,- -,8366,8590,12504,18747,20016,21317,31771,73127,164812,166703,167023,185564,206274,208184,216825,257722,303987,394077,868703,2219678,3107580,4216568,4216568
