,https://roic.ai/company/VRTC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,116348,1111955,179493,564768,2352391,2963953,1617498,2362484,2205566,1332700,904178,941586,885406,586784,720172,1635363,945807,681088,325536,498481,306529,438000,389000
2,COGS,32948,321295,50732,- -,741769,261474,37339,37849,74030,196442,364566,538084,347400,244687,258217,345107,329703,322981,260614,247408,229891,210000,222000
3,Gross Profit,83400,790660,128761,- -,1610622,2702479,1580159,2324635,2131536,1136258,539612,403502,538006,342097,461955,1290256,616104,358107,64922,251073,76638,228000,167000
4,Gross Profit Ratio,0.7168,0.7111,0.7174,- -,0.6847,0.9118,0.9769,0.9840,0.9664,0.8526,0.5968,0.4285,0.6076,0.5830,0.6415,0.7890,0.6514,0.5258,0.1994,0.5037,0.2500,0.5205,0.4293
5,Research and Development Exp.,128942,299404,147087,289297,148163,74589,108675,193525,391984,580220,577003,429159,219334,206748,128672,188810,98412,68794,92992,29997,18750,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,2283781,1361521,1805422,1099634,1502249,1389477,986130,605721,705248,547357,757953,688225,688351,585404,604959,630000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,64287,30132,238988,242839,100015,166411,162614,144965,86067,31590,83863,19631,67612,1762,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,2348068,1391653,2044410,1342473,1602264,1555888,1148744,750686,791315,578947,841816,707856,755963,587166,604959,630000,- -
9,Other Expenses,342169,888295,627710,555903,2563654,2704293,8174518,- -,- -,- -,- -,- -,- -,- -,86067,31590,83863,19631,- -,1762,- -,- -,861000
10,Operating Expenses,471111,1187699,774797,845200,2711817,2778882,10631261,1585178,2436394,1922693,2179267,1985047,1368078,957434,1006054,799347,1024091,796281,848955,618925,623709,630000,861000
11,COGS and Expenses,504059,1508994,825529,845200,3453586,3040356,10668600,1623027,2510424,2119135,2543833,2523131,1715478,1202121,1006054,799347,1024091,796281,1109569,618925,623709,630000,1083000
12,Interest Income ,- -,- -,- -,- -,- -,- -,8808,16566,44860,17833,3706,30,- -,111,2008,58,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,60035,- -,- -,- -,21894,139878,160125,231235,279481,188914,499487,859914,404460,253358,302332,341000,397000
14,Depreciation and Amortization,6350,35253,44696,48609,70216,75727,21756,7517,27929,117109,43151,50321,28611,15824,644,239,411,64579,64337,16042,- -,- -,- -
15,EBITDA,-444872,-407815,-688670,-134037,-1105035,42810,-9317522,10120488,-233274,-651770,-1593580,-1531194,-801461,-599402,-541447,491206,-407577,-373595,-901010,251190,-547071,-235000,-694000
16,EBITDA ratio,-3.8236,-0.3668,-3.8368,-0.2373,-0.4697,0.0144,-5.7605,4.2838,-0.1058,-0.4891,-1.7625,-1.6262,-0.9052,-1.0215,-0.7518,0.3004,-0.4309,-0.5485,-2.7678,0.5039,-1.7847,-0.5365,-1.7841
17,Operating Income,-387711,-397039,-646036,-280432,-1101195,-76403,-9051102,739457,-304858,-786435,-1639655,-1581545,-830072,-615337,-544099,490909,-407987,-438174,-784033,-367852,-547071,-402000,-694000
18,Operating Income ratio,-3.3323,-0.3571,-3.5992,-0.4965,-0.4681,-0.0258,-5.5957,0.3130,-0.1382,-0.5901,-1.8134,-1.6797,-0.9375,-1.0487,-0.7555,0.3002,-0.4314,-0.6433,-2.4084,-0.7379,-1.7847,-0.9178,-1.7841
19,Total Other Income Expenses (Gains),-6190,-198,-8998,180505,-74056,43486,- -,9356948,-1205,-277,-782,- -,- -,- -,-277473,-188856,-499488,-859914,-585774,349642,-302332,-174000,-397000
20,Income Before Tax,- -,- -,- -,- -,-1175251,-32917,- -,- -,- -,- -,- -,- -,- -,- -,-821572,302053,-907475,-1298088,-1369807,-18210,-849403,-576000,-1091000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.4996,-0.0111,- -,- -,- -,- -,- -,- -,- -,- -,-1.1408,0.1847,-0.9595,-1.9059,-4.2079,-0.0365,-2.7710,-1.3151,-2.8046
22,Income Tax expense (Gain),- -,- -,- -,- -,1690,1900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
