,https://roic.ai/company/RYAAY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,69969000,103278000,231862000,295759000,370137000,487405000,624050000,842508000,1074224000,1336586000,1692530000,2236895000,2713822000,2941965000,2988100000,3629500000,4390200000,4884000000,5036700000,5654000000,6535800000,6647800000,7151000000,7697400000,8494800000,1635800000
2,COGS,- -,- -,- -,- -,151733001,193807186,250850297,181823200,501727120,751803807,956790946,1136009262,1539327363,1576312000,2132028000,1870800000,2332900000,3507000000,3944600000,4163200000,4353400000,4749500000,4758000000,5073300000,6078500000,6788600000,2239900000
3,Gross Profit,- -,- -,- -,- -,144025999,176329814,236554703,442226800,340780880,322420193,379795054,556520738,697567637,1137510000,809937000,1117300000,1296600000,883200000,939400000,873500000,1300600000,1786300000,1889800000,2077700000,1618900000,1706200000,-604100000
4,Gross Profit Ratio,- -,- -,- -,- -,0.4870,0.4764,0.4853,0.7086,0.4045,0.3001,0.2842,0.3288,0.3118,0.4192,0.2753,0.3739,0.3572,0.2012,0.1923,0.1734,0.2300,0.2733,0.2843,0.2905,0.2103,0.2009,-0.3693
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,39802252,48483933,60702396,219545470,215373363,312226342,371371755,232958467,281745055,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226580000,17168000,12753000,144800000,154600000,180000000,197900000,192800000,233900000,292700000,322300000,410400000,547300000,578800000,201500000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,39802252,48483933,60702396,219545470,215373363,312226342,371371755,232958467,508325055,17168000,12753000,144800000,154600000,180000000,197900000,192800000,233900000,292700000,322300000,410400000,547300000,578800000,201500000
9,Other Expenses,- -,57477000,86878000,175661000,188095748,237598067,312691604,241571530,471495779,679973461,846953453,1131954143,1315197769,583262000,704553000,570400000,653800000,20000000,23300000,22100000,23800000,33500000,33500000,- -,54800000,- -,33800000
10,Operating Expenses,- -,57477000,86878000,175661000,227898000,286082000,373394000,461117000,686869141,992199802,1218325208,1364912611,1823522825,600430000,717306000,715200000,808400000,200000000,221200000,214900000,257700000,326200000,355800000,410400000,602100000,578800000,235300000
11,COGS and Expenses,- -,57477000,86878000,175661000,379631001,479889186,624244297,642940200,1188596262,1744003610,2175116153,2500921873,3362850188,2176742000,2849334000,2586000000,3141300000,3707000000,4165800000,4378100000,4611100000,5075700000,5113800000,5483700000,6680600000,7367400000,2475200000
12,Interest Income ,- -,1433000,1807000,6151000,- -,- -,- -,- -,- -,- -,- -,- -,- -,83957000,75522000,23500000,27200000,44300000,27400000,16500000,17900000,17900000,4200000,2000000,3700000,21400000,16000000
13,Interest Expense (Gain),- -,416000,1742000,1078000,- -,- -,- -,- -,- -,- -,- -,- -,- -,97088000,130544000,72100000,93900000,109200000,99300000,83200000,74200000,71100000,67200000,60100000,59100000,72900000,69800000
14,Depreciation and Amortization,- -,3089000,6540000,25140000,36180497,-43499994,-57215976,-58901716,-76752008,-103869029,-100529644,124405000,143503000,175949000,256117000,235400000,277700000,309200000,329600000,351800000,377700000,427300000,497500000,561000000,640500000,748700000,571000000
15,EBITDA,- -,17092000,24745000,87652000,111990497,46594006,66172024,113472284,187797992,124610971,195401356,463293000,594540000,711964000,206174000,648500000,792500000,1051400000,1079800000,1026400000,1434300000,2220300000,2035000000,2232400000,1647700000,1491900000,-467900000
16,EBITDA ratio,- -,0.2443,0.2396,0.3780,0.3787,0.1259,0.1358,0.1818,0.2229,0.1160,0.1462,0.2737,0.2658,0.2623,0.0701,0.2170,0.2183,0.2395,0.2211,0.2038,0.2537,0.3397,0.3061,0.3122,0.2141,0.1756,-0.2860
17,Operating Income,- -,12531000,16399000,56281000,67861000,84055000,114011000,162933000,263474000,251287000,329489000,375046000,471745000,537080000,92631000,402100000,488200000,683200000,718200000,658600000,1042900000,1460100000,1534000000,1667300000,1016800000,1127400000,-839400000
18,Operating Income ratio,- -,0.1791,0.1588,0.2427,0.2294,0.2271,0.2339,0.2611,0.3127,0.2339,0.2465,0.2216,0.2109,0.1979,0.0315,0.1346,0.1345,0.1556,0.1471,0.1308,0.1845,0.2234,0.2308,0.2332,0.1321,0.1327,-0.5131
19,Total Other Income Expenses (Gains),- -,1056000,64000,5153000,7949000,6039000,9377000,9441000,1076000,-22807000,-33558000,-36158000,-20708000,-98153000,-273118000,-61100000,-67300000,-50200000,-67300000,-67200000,-60500000,261800000,-63700000,-56000000,-68700000,-457100000,-269300000
20,Income Before Tax,- -,13587000,16463000,61434000,75810000,90094000,123388000,172374000,264550000,228480000,295931000,338888000,451037000,438927000,-180487000,341000000,420900000,633000000,650900000,591400000,982400000,1721900000,1470300000,1611300000,948100000,670300000,-1108700000
21,Income Before Tax Ratio,- -,0.1942,0.1594,0.2650,0.2563,0.2434,0.2532,0.2762,0.3140,0.2127,0.2214,0.2002,0.2016,0.1617,-0.0613,0.1141,0.1160,0.1442,0.1333,0.1174,0.1738,0.2635,0.2212,0.2253,0.1232,0.0789,-0.6778
22,Income Tax expense (Gain),- -,5114000,5481000,15909000,18339000,17576000,18905000,21999000,25152000,21869000,29190000,32176000,15437000,48219000,-11314000,35700000,46300000,72600000,81600000,68600000,115700000,162800000,154400000,161100000,63100000,21600000,-93600000
23,Net Income,- -,8473000,10982000,45525000,57471000,72518000,104483000,150375000,239398000,206611000,266741000,306712000,435600000,390708000,-169173000,305300000,374600000,560400000,569300000,522800000,866700000,1559100000,1315900000,1450200000,885000000,648700000,-1015100000
24,Net Income ratio,- -,0.1211,0.1063,0.1963,0.1943,0.1959,0.2144,0.2410,0.2841,0.1923,0.1996,0.1812,0.1947,0.1440,-0.0575,0.1022,0.1032,0.1276,0.1166,0.1038,0.1533,0.2385,0.1979,0.2028,0.1150,0.0764,-0.6206
25,EPS,- -,0.03,0.04,0.19,0.22,0.28,0.38,0.53,0.81,0.70,0.90,1.03,1.45,1.33,-0.59,1.06,1.29,1.95,2.02,1.94,3.23,5.81,5.26,6.08,3.87,2.91,-4.57
26,EPS Diluted,- -,0.03,0.04,0.19,0.22,0.28,0.38,0.52,0.80,0.69,0.90,1.02,1.43,1.31,-0.59,1.06,1.29,1.95,2.02,1.94,3.23,5.78,5.23,6.02,3.83,2.90,-4.57
27,Weighted Average Shares Outstanding,- -,261183000,261183000,237455400,257025600,261672840,275192580,284203329,294471596,295404280,296365169,299064870,301169115,294842340,288302040,287898000,289711500,287371500,281404500,269731345,268644062,268200000,249940000,238700000,228720000,222760000,222080000
28,Weighted Average Shares Outstanding Diluted,- -,261183000,261183000,238332120,257850906,263391180,278536440,288585141,298848642,298401125,297961211,300994590,303713085,297362325,288302040,288931500,290569500,288015000,282243000,269731345,268644062,269680000,251500000,240800000,230920000,223960000,222080000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038683/000119312509157489/0001193125-09-157489-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312510161422/0001193125-10-161422-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312511195220/0001193125-11-195220-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312512323949/0001193125-12-323949-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312513312061/0001193125-13-312061-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312514285738/0001193125-14-285738-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000119312515270168/0001193125-15-270168-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837016006789/0001558370-16-006789-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000110465917046709/0001104659-17-046709-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837018005863/0001558370-18-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1038683/000155837019006523/0001558370-19-006523-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,1060218000,1257350000,1613643000,1439004000,1346419000,1877123000,1583194000,1477900000,2028300000,2708300000,1240900000,1730100000,1184600000,1259200000,1224000000,1515000000,1675600000,2566400000,2650700000
