,https://roic.ai/company/CHX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1076680000,751337000,1010466000,1218156000,1131251000,1899996000,3074990000
2,COGS,684607000,546601000,684066000,796459000,750555000,1490824000,2331715000
3,Gross Profit,392073000,204736000,326400000,421697000,380696000,409172000,743275000
4,Gross Profit Ratio,0.3641,0.2725,0.3230,0.3462,0.3365,0.2154,0.2417
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,281927000,198686000,220818000,264008000,274429000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",281927000,198686000,220818000,264008000,274429000,- -,570357000
9,Other Expenses,12135000,5697000,41580000,-1383000,1585000,463767000,- -
10,Operating Expenses,294062000,204383000,262398000,262625000,276014000,463767000,570357000
11,COGS and Expenses,987764000,760449000,911805000,1066099000,1030161000,1954591000,2902072000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-477000,-863000,-27648000,-39301000,51731000,51921000
14,Depreciation and Amortization,119992000,112112000,111879000,124461000,119938000,214362000,237285000
15,EBITDA,195821000,90841000,198495300,218346000,139027000,-498233000,441891000
16,EBITDA ratio,0.1819,0.1209,0.1964,0.1792,0.1229,-0.2622,0.1437
17,Operating Income,88916000,- -,98950000,- -,- -,- -,- -
18,Operating Income ratio,0.0826,- -,0.0979,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-11651000,-9831000,-10595000,-30704000,-41904000,-708154000,-20233000
20,Income Before Tax,77265000,-18943000,88355000,121353000,59186000,-762749000,152685000
21,Income Before Tax Ratio,0.0718,-0.0252,0.0874,0.0996,0.0523,-0.4014,0.0497
22,Income Tax expense (Gain),24131000,-8043000,-22109700,28796000,6226000,-20396000,38445000
23,Net Income,51698000,-12751000,109589000,92737000,52164000,-743930000,114240000
24,Net Income ratio,0.0480,-0.0170,0.1085,0.0761,0.0461,-0.3915,0.0372
25,EPS,0.66,-0.16,1.14,1.22,0.67,-5.01,0.57
26,EPS Diluted,0.66,-0.16,1.12,1.21,0.67,-5.01,0.55
27,Weighted Average Shares Outstanding,77842000,77842000,77842000,77342000,77427000,148370000,201852000
28,Weighted Average Shares Outstanding Diluted,78872000,78872000,78872000,77692000,77624000,148370000,208545000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1723089/000172308919000030/0001723089-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308920000030/0001723089-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308921000047/0001723089-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1723089/000172308922000021/0001723089-22-000021-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,10417000,26027000,23712000,41832000,35290000,201421000,251678000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10417000,26027000,23712000,41832000,35290000,201421000,251678000
34,Net Receivables,169976000,139485000,202024000,249948000,219874000,559545000,584440000
35,Inventory,216656000,184558000,201591000,218319000,211342000,430112000,542910000
36,Other Current Assets,8721000,6251000,14038000,20211000,26934000,74767000,81872000
37,Total Current Assets,405770000,356321000,441365000,530310000,493440000,1265845000,1460900000
38,PP&E,232886000,201747000,211832000,244328000,248181000,977017000,776813000
39,Goodwill,901928000,902579000,910088000,904985000,911113000,680594000,702867000
40,Intangible Assets,438520000,386817000,338510000,283688000,238707000,479009000,401470000
41,Intangible Assets,1340448000,1289396000,1248598000,1188673000,1149820000,1159603000,1104337000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,188022000,- -,- -,- -,- -,- -,137971000
44,Other Non-Current Assets,-183747000,3431000,2980000,8445000,31384000,73311000,54680000
45,Total Non-Current Assets,1577609000,1494574000,1463410000,1441446000,1429385000,2209931000,2073801000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1983379000,1850895000,1904775000,1971756000,1922825000,3475776000,3534701000
48,Accounts Payable,76607000,66280000,98826000,131058000,120291000,299666000,473561000
49,Short-Term Debt,- -,694000,1041000,- -,4845000,60084000,109167000
50,Tax Payable,- -,1424000,2432000,- -,- -,- -,- -
51,Deferred Revenue,- -,3787000,4487000,- -,- -,- -,- -
52,Other Current Liabilities,51347000,41933000,46711000,70937000,74545000,262810000,219597000
53,Total Current Liabilities,127954000,112694000,151065000,201995000,199681000,622560000,802325000
54,Long-Term Debt,3282000,- -,- -,658623000,555291000,989317000,697657000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,137971000
56,Deferred Tax Liabilities,- -,167565000,96985000,101724000,84060000,156283000,137971000
57,Other Non-Current Liabilities,212278000,19283000,16691000,27887000,47579000,95041000,4470000
