,https://roic.ai/company/OTLK,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,9050542,5219237,2979576,3811519,3087560,8146123,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,14124631,38876040,33101543,23809749,18504035,23805251,26341998,38958010
6,General and Administrative Exp.,7318314,12905823,21636345,15882033,14227828,9369823,9971015,12768725
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7318314,12905823,21636345,15882033,14227828,9369823,9971015,12768725
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,21442945,51781863,54737888,39691782,32731863,33175074,36313013,51726735
11,COGS and Expenses,21442945,51781863,54737888,39691782,32731863,33175074,36313013,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),901052,2297339,1467950,5625833,3891250,3466688,1756471,936127
14,Depreciation and Amortization,878477,1824600,2394279,2692100,3054352,3361873,554069,262140
15,EBITDA,-11513926,-43461455,-49364033,-30029694,-26794575,-31106227,-35758944,-51464595
16,EBITDA ratio,-1.2722,-8.3272,-16.5675,-7.8787,-8.6782,-3.8185,-Infinity,-Infinity
17,Operating Income,-12392403,-46562626,-51758312,-35880263,-29644303,-36299061,-36840637,-51726735
18,Operating Income ratio,-1.3692,-8.9213,-17.3710,-9.4136,-9.6012,-4.4560,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-901052,-2297339,-1467950,-2467364,-4095874,-1635727,-1670823,-1434613
20,Income Before Tax,-13293455,-48859965,-53226262,-38347627,-33740177,-37934788,-38511460,-53161348
21,Income Before Tax Ratio,-1.4688,-9.3615,-17.8637,-10.0610,-10.9278,-4.6568,-Infinity,-Infinity
22,Income Tax expense (Gain),439018,-190111,103000,501500,-3648216,-3411001,-3271962,- -
23,Net Income,-13732473,-47393283,-53329262,-38849127,-30091961,-34523787,-35239498,-53163348
24,Net Income ratio,-1.5173,-9.0805,-17.8983,-10.1926,-9.7462,-4.2381,-Infinity,-Infinity
25,EPS,-11.68,-26.80,-29.36,-13.36,-9.76,-1.98,-0.67,-0.35
26,EPS Diluted,-11.68,-26.80,-29.36,-14.40,-9.76,-1.98,-0.67,-0.35
27,Weighted Average Shares Outstanding,1767962,1767962,2151622,3002796,4932208,18191827,72556000,152676000
28,Weighted Average Shares Outstanding Diluted,1767962,1767962,2151622,3005223,4932208,18191827,72556000,152676000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649989/000157104916020882/0001571049-16-020882-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000157104917008779/0001571049-17-008779-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000114420418065142/0001144204-18-065142-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000110465919074095/0001104659-19-074095-index.html,https://www.sec.gov/Archives/edgar/data/1649989/000155837020014540/0001558370-20-014540-index.htm,https://www.sec.gov/Archives/edgar/data/1649989/000155837021017007/0001558370-21-017007-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,9070975,2349313,2351887,3185519,1717391,8015528,12535986,14477324
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9070975,2349313,2351887,3185519,1717391,8015528,12535986,14477324
34,Net Receivables,4300149,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1793109,797279,3326607,719087,1585089,5486033,5407882,7030823
37,Total Current Assets,15164233,3146592,5678494,3904606,3302480,13501561,17943868,21508147
38,PP&E,17759938,8009564,16958553,16088901,18489976,3175960,494235,275054
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2084450,447551,1068887,740362,491039,457476,1294448,1028250
45,Total Non-Current Assets,19844388,8457115,18027440,16829263,18981015,3633436,1788683,1303304
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35008621,11603707,23705934,20733869,22283495,17134997,19732551,22811451
48,Accounts Payable,11563055,3101445,5071520,10954358,3609607,2277817,2394818,2196349
49,Short-Term Debt,- -,- -,5198954,4665100,17858429,11337668,3662785,138636
