,https://roic.ai/company/KTRA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,2342654,- -,2555754,3360878,5003640,7132952,3662056,3630024,11815000
6,General and Administrative Exp.,- -,5582,33136,- -,3952307,- -,2168899,2853140,3317189,4041711,4736440,4514520,9757000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,5582,33136,- -,3952307,- -,2168899,2853140,3317189,4041711,4736440,4514520,9757000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,6294961,- -,4724653,6214018,8320829,11174663,8398496,8144544,21572000
11,COGS and Expenses,- -,5582,33136,- -,6294961,- -,4724653,6214018,8320829,11174663,8398496,8144544,21572000
12,Interest Income ,- -,- -,- -,- -,2491,- -,363,108,457,33243,60704,75248,- -
13,Interest Expense (Gain),- -,- -,- -,- -,8020,- -,2091,- -,- -,- -,- -,- -,26000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,10288,16683,24528,16349,9953,32000
15,EBITDA,- -,-5582,-33136,- -,-6292470,- -,-4724290,-3552776,-8542754,-11153243,-8671718,-7077971,-21634000
16,EBITDA ratio,- -,-Infinity,-Infinity,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,-5582,-33136,- -,-6294961,- -,-4724653,-6214018,-8320829,-11174663,-8398496,-8144544,-21572000
18,Operating Income ratio,- -,-Infinity,-Infinity,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-1995728,- -,-71377,-2650846,239065,36351,350275,-981372,-16726000
20,Income Before Tax,- -,- -,- -,- -,-8290689,- -,-4796030,-8864864,-8081764,-11138312,-8048221,-9125916,-38298000
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-5582,-33136,- -,-8290689,- -,-4796030,-8864864,-8081764,-11138312,-8048221,-9125916,-38298000
24,Net Income ratio,- -,-Infinity,-Infinity,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.03,-0.12,-7.18,-11.20,0.80,-5.20,-8.10,-7.40,-5.42,-3.16,-0.87,-1.60
26,EPS Diluted,- -,-0.03,-0.12,-7.18,-11.20,0.65,-5.20,-8.10,-7.40,-5.42,-3.16,-0.87,-1.60
27,Weighted Average Shares Outstanding,- -,210981,504237,334237,741683,7992398,951687,1094848,1204707,2086142,2574692,10444045,25886000
28,Weighted Average Shares Outstanding Diluted,- -,210981,504237,334237,741683,9772582,951687,1094848,1204707,2086142,2574692,10444045,25886000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498382/000156459020044019/0001564590-20-044019-index.htm,https://www.sec.gov/Archives/edgar/data/1498382/000156459021049235/0001564590-21-049235-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,44561,5695,1794,4136803,- -,1754433,6157264,6586014,5971995,3718758,2392402,10537000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,44561,5695,1794,4136803,- -,1754433,6157264,6586014,5971995,3718758,2392402,10537000
34,Net Receivables,- -,- -,5000,- -,11062,- -,25831,18387,76595,39519,26187,9401,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,170883,- -,795157,144131,1208122,1034930,280248,449281,1256000
37,Total Current Assets,- -,44561,10695,1794,4318748,- -,2575421,6319782,7870731,7046444,4025193,2851084,11793000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,36017,40290,28411,12062,2109,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84944,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,36017,40290,28411,12062,87053,1750000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,44561,10695,1794,4318748,- -,2575421,6355799,7911021,7074855,4037255,2938137,13543000
48,Accounts Payable,- -,652,- -,2500,140457,- -,762265,584002,1182312,1478086,1744517,2011058,2219000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,7484,109030,- -,90820,43444,122048,160429,325208,663865,561000
53,Total Current Liabilities,- -,652,- -,9984,249487,- -,853085,627446,1304360,1638515,2069725,2674923,2780000
54,Long-Term Debt,- -,- -,- -,- -,272372,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,4614867,- -,1210449,869575,28137,1117,- -,- -,182000
58,Total Non-Current Liabilities,- -,- -,- -,- -,4887239,- -,1210449,869575,28137,1117,- -,- -,182000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,652,- -,9984,5136726,- -,2063534,1497021,1332497,1639632,2069725,2674923,2962000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,278530,6572785,6425410,6425410,4977834,4803427,14931000
63,Common Stock,- -,5950,5950,3944,31535,- -,39456,11187,14510,22967,3839,11458,33000
64,Retained Earnings,- -,-5582,-38718,-57603,-15864506,- -,-23465711,-32237859,-41118433,-52441337,-60578345,-69721233,-111225000
65,Other Comprehensive Income/Loss,- -,-9,-87,-87,21178,- -,21178,21178,21178,21178,21178,21178,21000
66,Other Total Stockholders Equity,- -,43550,43550,45556,14993815,- -,23638434,30491487,41235859,51407005,57543024,65148384,106821000
67,Total Stockholders Equity,- -,43909,10695,-8190,-817978,- -,511887,4858778,6578524,5435223,1967530,263214,10581000
68,Total Liabilities And Stockholders Equity,- -,44561,- -,1794,4318748,- -,2575421,6355799,7911021,7074855,4037255,2938137,13543000
69,Minority Interest,- -,- -,10695,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,44561,10695,1794,4318748,- -,2575421,6355799,7911021,7074855,4037255,2938137,13543000
71,SEC Link,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498382/000156459020044019/0001564590-20-044019-index.htm,https://www.sec.gov/Archives/edgar/data/1498382/000156459021049235/0001564590-21-049235-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,-5582,-33136,-18885,-8290689,- -,-4796030,-8864864,-8081764,-11138312,-8048221,-9125916,-38298000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,10288,16683,24528,16349,9953,32000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,2146766,- -,368087,394132,124747,544549,952170,494861,5276000
77,Change in Working Capital,- -,652,-33214,-18885,4077451,- -,-2346925,3970000,874035,-1158442,-3452461,-1779307,8836839
78,Accounts Receivable,- -,- -,-5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,652,-652,2500,-537158,- -,517359,-178263,598310,295774,202000,206597,-67000
81,Other Working Capital,- -,43909,10695,-8190,4069261,- -,1722336,5692336,6566371,5407929,1955468,176161,9013000
82,Other Non-Cash Items,- -,- -,27562,26385,-3454027,- -,2921799,-655370,-952772,1876827,4204738,2472893,5293161
83,Cash Provided by Operating Activities,- -,-4930,-38788,-11385,-5520499,- -,-3853069,-5145814,-8019071,-9850850,-6327425,-7927516,-18860000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-16762,-20956,-12649,- -,- -,-8000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,969000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-16762,-20956,-12649,- -,- -,3000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-16762,-20956,-12649,- -,- -,964000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000
91,Common Stock Issued,- -,49500,- -,- -,9639520,- -,- -,2453633,7932107,8945336,3362379,6582966,21598000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-6267,-8356,-8356,-8356,-8356,-8356,-8000
94,Other Financing Activites,- -,- -,- -,7484,- -,- -,854058,7120130,545026,312500,720165,26550,4951000
95,Cash Used/Provided by Financing Activities,- -,49500,- -,7484,9639520,- -,847791,9565407,8468777,9249480,4074188,6601160,26041000
96,Effect of Forex Changes on Cash,- -,-9,-78,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-38866,-3901,4119021,- -,-3005278,4402831,428750,-614019,-2253237,-1326356,8145000
98,Cash at the End of Period,- -,44561,5695,1794,4136803,- -,1754433,6157264,6586014,5971995,3718758,2392402,10537000
99,Cash at the Beginning of Period,- -,- -,44561,5695,17782,- -,4759711,1754433,6157264,6586014,5971995,3718758,2392000
100,Free Cash Flow,- -,-4930,-38788,-11385,-5520499,- -,-3853069,-5162576,-8040027,-9863499,-6327425,-7927516,-18868000
101,SEC Link,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498382/000156459020044019/0001564590-20-044019-index.htm,https://www.sec.gov/Archives/edgar/data/1498382/000156459021049235/0001564590-21-049235-index.htm
102,false,,,,,,,,,,,,,
