,https://roic.ai/company/LPG,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,29633700,104129149,289207829,167447171,159334760,158032485,333429998,315938812
2,COGS,21686302,57431765,101776614,134131527,131856368,134017127,150845720,168227575
3,Gross Profit,7947398,46697384,187431215,33315644,27478392,24015358,182584278,147711237
4,Gross Profit Ratio,0.2682,0.4485,0.6481,0.1990,0.1725,0.1520,0.5476,0.4675
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3556030,15270086,29836029,21732864,26186332,34456993,23355768,33890999
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3556030,15270086,29836029,21732864,26186332,34456993,23355768,33890999
9,Other Expenses,- -,- -,-1945396,-2410542,-2549325,-2479599,-1840321,-2279454
10,Operating Expenses,3556030,15270086,27890633,19322322,23637007,31977394,21515447,31611545
11,COGS and Expenses,25242332,72701851,129667247,153453849,155493375,165994521,172361167,199839120
12,Interest Income ,428201,418597,148360,137556,440059,1755259,1458725,421464
13,Interest Expense (Gain),694149,-843677,9541886,24695674,27422693,36638171,32355390,21665379
14,Depreciation and Amortization,6620372,14093744,42591942,65057487,65329951,65201151,68148052,77681013
15,EBITDA,10148364,38510849,181822210,88311346,72351958,50893417,212344700,191911045
16,EBITDA ratio,0.3425,0.3698,0.6287,0.5274,0.4541,0.3220,0.6368,0.6074
17,Operating Income,4391368,29995480,158415187,13993322,3841385,-7962036,161068831,116099692
18,Operating Income ratio,0.1482,0.2881,0.5478,0.0836,0.0241,-0.0504,0.4831,0.3675
19,Total Other Income Expenses (Gains),-1557525,-4734698,-28726805,-15435137,-24242071,-42983869,-49227573,-23535039
20,Income Before Tax,2833843,25260782,129688382,-1441815,-20400686,-50945905,111841258,92564653
21,Income Before Tax Ratio,0.0956,0.2426,0.4484,-0.0086,-0.1280,-0.3224,0.3354,0.2930
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,2833843,25260782,129688382,-1441815,-20400686,-50945905,111841258,92564653
24,Net Income ratio,0.0956,0.2426,0.4484,-0.0086,-0.1280,-0.3224,0.3354,0.2930
25,EPS,0.05,0.45,2.29,-0.03,-0.38,-0.93,2.08,1.86
26,EPS Diluted,0.05,0.45,2.29,-0.03,-0.38,-0.93,2.07,1.86
27,Weighted Average Shares Outstanding,56882973,56183707,56632481,48060500,53686016,54780543,50827952,49765942
28,Weighted Average Shares Outstanding Diluted,56882973,56183707,56632481,48060500,53686016,54780543,50827952,49765942
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1596993/000091957415004764/0000919574-15-004764-index.htm,https://www.sec.gov/Archives/edgar/data/1596993/000159699316000015/0001596993-16-000015-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699317000010/0001596993-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699318000015/0001596993-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699319000010/0001596993-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699320000019/lpg-20200331x10k.htm,https://www.sec.gov/Archives/edgar/data/1596993/000159699321000026/0001596993-21-000026-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,279131795,204821183,46411962,17018552,103505676,30838684,48389688,79330007
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,14923140,- -
33,Cash and Short-Term Investments,279131795,204821183,46411962,17018552,103505676,30838684,63312828,79330007
34,Net Receivables,3606243,23233967,54611676,42468030,27216882,45839761,67668547,56393596
35,Inventory,1058329,3375759,2288073,2580742,2012907,2111637,1996203,2007464
36,Other Current Assets,31291749,1780548,2247706,1903804,2471415,3798987,6637177,15612180
37,Total Current Assets,315088116,233211457,105559417,63971128,135206880,82589069,139614755,153343247
38,PP&E,518101976,818616446,1667815764,1603786595,1539315511,1478680597,1464705997,1394849318
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7055674,47273367,92551111,78477157,61587765,64100351,67639091,33422280
45,Total Non-Current Assets,525157650,865889813,1760366875,1682263752,1600903276,1542780948,1532345088,1428271598
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,840245766,1099101270,1865926292,1746234880,1736110156,1625370017,1671959843,1581614845
48,Accounts Payable,2401456,5224349,6826503,7075622,6329193,7212580,13552796,9831328
49,Short-Term Debt,9612000,15677553,66265643,65978785,65067569,63968414,62268714,61411730
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,554111,1122239,4606540,7313048,5564557,4258683,2068205,853983
52,Other Current Liabilities,2309851,6172872,10429687,5397559,5048323,3925760,7123244,9983596
53,Total Current Liabilities,14877418,28197013,88128373,85765014,82009642,79365437,85012959,82080637
54,Long-Term Debt,119106500,184665874,770102729,683985463,694035583,632122372,581919094,547732756
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,14062416,13024124,22095953,482685,651569,1199650,27975592,4976122
58,Total Non-Current Liabilities,133168916,197689998,792198682,684468148,694687152,633322022,609894686,552708878
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,26864528,17672442
61,Total Liabilities,148046334,225887011,880327055,770233162,776696794,712687459,694907645,634789515
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,483650,580575,580575,583422,586402,588826,590833,510715
64,Retained Earnings,2833843,28094625,157783007,156341192,135940506,84994601,196835859,289400512
65,Other Comprehensive Income/Loss,-6555269,-19251018,-61035104,-125861359,-190476147,-254773496,-319626400,-385929575
66,Other Total Stockholders Equity,695437208,863790077,888270759,944938463,1013362601,1081872627,1099251906,1042843678
67,Total Stockholders Equity,692199432,873214259,985599237,976001718,959413362,912682558,977052198,946825330
68,Total Liabilities And Stockholders Equity,840245766,1099101270,1865926292,1746234880,1736110156,1625370017,1671959843,1581614845
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,840245766,1099101270,1865926292,1746234880,1736110156,1625370017,1671959843,1581614845
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1596993/000091957415004764/0000919574-15-004764-index.htm,https://www.sec.gov/Archives/edgar/data/1596993/000159699316000015/0001596993-16-000015-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699317000010/0001596993-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699318000015/0001596993-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699319000010/0001596993-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699320000019/lpg-20200331x10k.htm,https://www.sec.gov/Archives/edgar/data/1596993/000159699321000026/0001596993-21-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,2833843,25260782,129688382,-1441815,-20400686,-50945905,111841258,92564653
74,Depreciation and Amortization,6620372,14093744,42591942,65057487,65329951,65201151,68148052,77681013
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,2311565,4052249,4385911,5138489,5476234,3227686,3356199
77,Change in Working Capital,-2062,-95196254,-187583400,-39224930,74991124,-49973606,51378164,16660814
78,Accounts Receivable,-1966746,-21018670,22739907,96287,-325132,-1047956,563272,618625
79,Inventory,396776,-2317430,1087686,-292669,567835,-98730,115434,-11261
80,Accounts Payable,1799616,2731828,1044595,743993,-561808,793925,1470669,212173
81,Other Working Capital,300210698,205014444,17431044,-21793886,53197238,3223632,54601796,71262610
82,Other Non-Cash Items,-2215731,79153383,162278327,23327115,-67809775,39125559,-65558753,-19666983
83,Cash Provided by Operating Activities,7236422,25623220,151027500,52103768,57249103,8883433,169036407,170595696
84,CAPEX,-172253126,-314565546,-895525712,-1919665,-437037,-4020614,-20024102,-9510494
85,Acquisitions Net,-13732896,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-499690,-14888638,-4743809
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1767906,15275393
88,Other Investing Activites,-35448702,2238702,-14889129,-61357,24713908,-3972815,-19883090,-9492953
89,Cash Used for Investing Activites,-221434724,-312326844,-910414841,-1981022,24574405,-4520304,-33144834,1021090
90,Debt Repayment,-6506000,-9612000,-40794928,-66265644,-251994382,-130205069,-63968414,-99418395
91,Common Stock Issued,510496990,155830178,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-20943816,-12953453,-1220535,-1310064,-50642795,-126260923
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-10668897,67476413,662829153,-99785,257886575,64509356,-40547,51194851
95,Cash Used/Provided by Financing Activities,493322093,213694591,601090409,-79318882,4671658,-67005777,-114651756,-174484467
96,Effect of Forex Changes on Cash,8004,-1301579,-112289,-197274,-8042,-253086,-323336,205753
97,Net Change In Cash,- -,-74310612,-158409221,-29393410,86487124,-62895734,20916481,-2661928
98,Cash at the End of Period,279131795,204821183,46411962,17018552,103505676,66472646,87389127,84727199
99,Cash at the Beginning of Period,- -,279131795,204821183,46411962,17018552,129368380,66472646,87389127
100,Free Cash Flow,-165016704,-288942326,-744498212,50184103,56812066,4862819,149012305,161085202
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1596993/000091957415004764/0000919574-15-004764-index.htm,https://www.sec.gov/Archives/edgar/data/1596993/000159699316000015/0001596993-16-000015-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699317000010/0001596993-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699318000015/0001596993-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699319000010/0001596993-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1596993/000159699320000019/lpg-20200331x10k.htm,https://www.sec.gov/Archives/edgar/data/1596993/000159699321000026/0001596993-21-000026-index.htm
102,false,,,,,,,,
