,https://roic.ai/company/SPWH,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,376551000,526942000,643163000,660003000,706764000,779956000,809671000,849129000,886401000,1451767000,1506072000
2,COGS,259354000,364326000,435933000,444796000,468234000,516726000,535811000,564199000,589768000,975313000,1015775000
3,Gross Profit,117197000,162616000,207230000,215207000,238530000,263230000,273860000,284930000,296633000,476454000,490297000
4,Gross Profit Ratio,0.3112,0.3086,0.3222,0.3261,0.3375,0.3375,0.3382,0.3356,0.3346,0.3282,0.3255
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,170315000,179218000,202543000,227292000,240911000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,170315000,179218000,202543000,227292000,240911000,263169000,353706000,399678000
9,Other Expenses,89659000,109408000,147140000,- -,0,- -,-0,0,- -,- -,- -
10,Operating Expenses,89659000,109408000,147140000,170315000,179218000,202543000,227292000,240911000,263169000,353706000,399678000
11,COGS and Expenses,349013000,473734000,583073000,615111000,647452000,719269000,763103000,805110000,852937000,1329019000,1415453000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),4392000,6321000,25447000,22480000,14156000,13402000,13738000,13206000,7995000,3506000,1380000
14,Depreciation and Amortization,3816000,3431000,13229000,9150000,11569000,13974000,17706000,18250000,19320000,21829000,26200000
15,EBITDA,30435000,56902000,73264000,54042000,70881000,74661000,64274000,62269000,52784000,146795000,171819000
16,EBITDA ratio,0.0808,0.1080,0.1139,0.0819,0.1003,0.0957,0.0794,0.0733,0.0595,0.1011,0.1141
17,Operating Income,26619000,53471000,60035000,44892000,59312000,60687000,46568000,44019000,33464000,122748000,90619000
18,Operating Income ratio,0.0707,0.1015,0.0933,0.0680,0.0839,0.0778,0.0575,0.0518,0.0378,0.0846,0.0602
