,https://roic.ai/company/DK,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,549600000,600157000,857899000,2031869000,3207700000,4097100000,4615200000,2666700000,3755600000,7198200000,8726700000,8706800000,8324300000,5762000000,4197900000,7267100000,10233100000,9298200000,7301800000,10648200000
2,COGS,460300000,- -,730780000,1731625000,2818300000,3853000000,4210000000,2613100000,3642400000,6750800000,8067700000,8258800000,7714000000,5422200000,4062200000,6756600000,9260300000,8408100000,7544800000,10476400000
3,Gross Profit,89300000,- -,127119000,300244000,389400000,244100000,405200000,53600000,113200000,447400000,659000000,448000000,610300000,339800000,135700000,510500000,972800000,890100000,-243000000,171800000
4,Gross Profit Ratio,0.1625,- -,0.1482,0.1478,0.1214,0.0596,0.0878,0.0201,0.0301,0.0622,0.0755,0.0515,0.0733,0.0590,0.0323,0.0702,0.0951,0.0957,-0.0333,0.0161
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,64300000,59000000,81400000,103500000,120500000,133400000,126000000,106100000,169800000,247600000,274700000,248300000,229400000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12200000,- -,95182000,156583000,211400000,54600000,290600000,64300000,59000000,81400000,103500000,120500000,133400000,126000000,106100000,169800000,247600000,274700000,248300000,229400000
9,Other Expenses,69500000,- -,11476000,23548000,22800000,33000000,34100000,15000000,57800000,74100000,82500000,89800000,110400000,133100000,121200000,154300000,113300000,123100000,110700000,72800000
10,Operating Expenses,81700000,- -,106658000,180131000,234200000,87600000,324700000,79300000,116800000,155500000,186000000,210300000,243800000,259100000,227300000,324100000,360900000,397800000,359000000,302200000
11,COGS and Expenses,542000000,- -,837438000,1911756000,3052500000,3940600000,4534700000,2692400000,3759200000,6906300000,8253700000,8469100000,7957800000,5681300000,4289500000,7080700000,9621200000,8805900000,7903800000,10778600000
12,Interest Income ,- -,- -,58000,2144000,7200000,9300000,2100000,100000,- -,- -,200000,300000,800000,1100000,1500000,4000000,5800000,11300000,3300000,500000
13,Interest Expense (Gain),5700000,- -,8327000,20390000,25200000,30600000,23700000,25500000,34100000,51200000,45700000,37700000,40600000,58300000,54400000,93800000,125900000,131100000,129000000,137200000
14,Depreciation and Amortization,7400000,- -,13205000,18384000,27000000,38000000,40900000,52400000,61100000,74100000,82500000,89800000,111500000,134000000,116400000,153300000,199400000,203800000,278400000,25000000
15,EBITDA,12400000,6480000,32997000,137844000,189200000,200600000,108500000,81700000,10300000,368300000,552600000,316100000,452300000,195100000,-154400000,506700000,767300000,717200000,-393300000,-103800000
16,EBITDA ratio,0.0226,0.0108,0.0385,0.0678,0.0590,0.0490,0.0235,0.0306,0.0027,0.0512,0.0633,0.0363,0.0543,0.0339,-0.0368,0.0697,0.0750,0.0771,-0.0539,-0.0097
17,Operating Income,7600000,- -,20461000,120113000,155200000,156500000,80500000,31400000,9200000,286100000,473100000,237700000,366500000,80700000,-49200000,186400000,611900000,492300000,-728000000,-130400000
18,Operating Income ratio,0.0138,- -,0.0239,0.0591,0.0484,0.0382,0.0174,0.0118,0.0024,0.0397,0.0542,0.0273,0.0440,0.0140,-0.0117,0.0256,0.0598,0.0529,-0.0997,-0.0122
19,Total Other Income Expenses (Gains),-8300000,- -,-8996000,-20776000,-18200000,-24500000,-40100000,-26000000,-94100000,-38300000,-45500000,-31100000,-38900000,-53600000,-342000000,112900000,-126400000,-89600000,-35100000,-102600000
20,Income Before Tax,-700000,- -,11465000,99337000,137000000,132000000,40400000,5400000,-84900000,247800000,427600000,206600000,327600000,27100000,-391200000,299300000,485500000,402700000,-763100000,-233000000
21,Income Before Tax Ratio,-0.0013,- -,0.0134,0.0489,0.0427,0.0322,0.0088,0.0020,-0.0226,0.0344,0.0490,0.0237,0.0394,0.0047,-0.0932,0.0412,0.0474,0.0433,-0.1045,-0.0219
22,Income Tax expense (Gain),-200000,- -,4132000,34954000,44000000,35600000,17400000,3100000,-5000000,84700000,151600000,70900000,101600000,-16600000,-171500000,-29200000,101900000,71700000,-192700000,-62500000
23,Net Income,-500000,6480000,7333000,64116000,93000000,96400000,26500000,700000,-79900000,158300000,272800000,117700000,198600000,19400000,-153700000,288800000,340100000,310600000,-608000000,-203500000
24,Net Income ratio,-0.0009,0.0108,0.0085,0.0316,0.0290,0.0235,0.0057,0.0003,-0.0213,0.0220,0.0313,0.0135,0.0239,0.0034,-0.0366,0.0397,0.0332,0.0334,-0.0833,-0.0191
25,EPS,-0.01,0.16,0.19,1.63,1.98,1.85,0.50,0.01,-1.47,2.80,4.65,1.99,3.38,0.32,-2.49,4.04,4.18,4.10,-8.26,-2.29
26,EPS Diluted,-0.01,0.16,0.19,1.63,1.94,1.82,0.49,0.01,-1.47,2.78,4.57,1.96,3.35,0.32,-2.49,4.00,4.02,4.06,-8.26,-2.28
27,Weighted Average Shares Outstanding,39389869,40500000,39389869,39389869,47077369,52077893,53675145,53693258,54264763,56543977,58719968,59186921,58780947,60819771,61921787,71566225,82797110,75853187,73598389,74074446
28,Weighted Average Shares Outstanding Diluted,39389869,40500000,39389869,39389869,47938144,52850231,54401747,54484969,54264763,57026864,59644798,60047138,59355120,61320570,61921787,72303083,86768401,76574091,73598389,74492176
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1694426/000169442618000036/0001694426-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442619000021/0001694426-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442620000011/0001694426-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442621000034/0001694426-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442622000048/0001694426-22-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11000000,- -,22106000,62568000,101600000,104300000,15300000,68400000,49100000,225900000,601700000,400000000,444100000,302200000,689200000,931800000,1079300000,955300000,787500000,856500000
32,Short-Term Investments,- -,- -,- -,26586000,73200000,45500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,363000000,- -
33,Cash and Short-Term Investments,11000000,- -,22106000,89154000,174800000,149800000,15300000,68400000,49100000,225900000,601700000,400000000,444100000,302200000,689200000,931800000,1079300000,955300000,1150500000,856500000
34,Net Receivables,- -,- -,10210000,52968000,83700000,112600000,45400000,76700000,104700000,277100000,256600000,250500000,197000000,233500000,285200000,657400000,538700000,958200000,672800000,776600000
35,Inventory,- -,- -,28307000,101294000,120800000,130600000,80200000,116400000,136700000,508000000,477600000,672300000,469600000,307600000,392400000,808400000,690900000,946700000,727700000,1176100000
36,Other Current Assets,29000000,- -,3400000,8405000,31300000,47000000,59700000,50100000,8900000,39600000,23800000,87700000,136700000,145500000,35400000,214200000,111400000,103100000,-251500000,126000000
37,Total Current Assets,40000000,- -,64023000,251821000,410600000,440000000,200600000,311600000,299400000,1050600000,1359700000,1410500000,1247400000,988800000,1402200000,2611800000,2420300000,2963300000,2299500000,2935200000
38,PP&E,130900000,- -,189293000,270595000,424700000,546100000,581700000,692000000,680100000,1053800000,1124200000,1278500000,1448800000,1521100000,1103300000,2140800000,2194900000,2611900000,2549200000,2515800000
39,Goodwill,- -,- -,65286000,63711000,80700000,89000000,77500000,71900000,71900000,69700000,72700000,72700000,73900000,74400000,12200000,816600000,857800000,855700000,729700000,729700000
40,Intangible Assets,- -,- -,649000,549000,12200000,11600000,10000000,9000000,7900000,17500000,16700000,13300000,16200000,27300000,26700000,101100000,104400000,110300000,107800000,102700000
41,Intangible Assets,- -,- -,65935000,64260000,92900000,100600000,87500000,80900000,79800000,87200000,89400000,86000000,90100000,101700000,38900000,917700000,962200000,966000000,837500000,832400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,131600000,71600000,- -,- -,- -,- -,605200000,360000000,138100000,130300000,416200000,363600000,344100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,63200000,- -,10851000,19484000,21200000,151100000,147400000,6900000,13700000,39000000,50400000,59400000,105100000,108100000,80700000,126800000,52900000,58900000,84300000,100500000
45,Total Non-Current Assets,194100000,- -,266079000,354339000,538800000,797800000,816600000,911400000,845200000,1180000000,1264000000,1423900000,1644000000,2336100000,1582900000,3323400000,3340300000,4053000000,3834600000,3792800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,234100000,- -,330102000,606160000,949400000,1237800000,1017200000,1223000000,1144600000,2230600000,2623700000,2834400000,2891400000,3324900000,2985100000,5935200000,5760600000,7016300000,6134100000,6728000000
48,Accounts Payable,- -,- -,16086000,35392000,175500000,248600000,68000000,192500000,222900000,521100000,568800000,602000000,477000000,397600000,496400000,975100000,1011200000,1599700000,1144000000,1695300000
49,Short-Term Debt,- -,- -,23405000,1696000,21000000,10800000,83900000,82700000,14100000,74200000,52200000,33700000,56400000,95200000,84400000,590200000,32000000,76900000,83600000,146100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115700000,154100000,126000000,119600000,109500000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,39300000,- -,32723000,138726000,34400000,39100000,34300000,47000000,55500000,399400000,378100000,445100000,323800000,266900000,359700000,1106400000,620300000,679300000,675600000,1285300000
53,Total Current Liabilities,39300000,- -,72214000,175814000,230900000,298500000,186200000,322200000,292500000,994700000,999100000,1080800000,857200000,759700000,940500000,2671700000,1663500000,2355900000,1903200000,3126700000
54,Long-Term Debt,- -,- -,179701000,267059000,265600000,344400000,202100000,234400000,281700000,358400000,310000000,376600000,533300000,880500000,748500000,875400000,1751300000,2030700000,2315000000,2277800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,17728000,27530000,50500000,60300000,71100000,110500000,105900000,168100000,183200000,220000000,266300000,247900000,76200000,199900000,210200000,267900000,255500000,196400000
57,Other Non-Current Liabilities,152900000,- -,4705000,15887000,20200000,22100000,24000000,24900000,21200000,55800000,53400000,36600000,36200000,82900000,37400000,224000000,327500000,526500000,535300000,179600000
58,Total Non-Current Liabilities,152900000,- -,202134000,310476000,336300000,426800000,297200000,369800000,408800000,582300000,546600000,633200000,835800000,1211300000,862100000,1299300000,2289000000,2825100000,3105800000,2653800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,227000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,- -,184800000,182000000,205900000
61,Total Liabilities,192200000,- -,274348000,486290000,567200000,725300000,483400000,692000000,701300000,1577000000,1545700000,1714000000,1693000000,1971000000,1802600000,3971000000,3952500000,5181000000,5009000000,5780500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,394000,394000,500000,500000,500000,500000,500000,600000,600000,600000,600000,700000,700000,800000,900000,900000,900000,900000
64,Retained Earnings,- -,- -,14633000,78749000,169800000,237600000,256100000,248700000,155300000,294100000,531400000,591800000,731200000,713500000,522300000,767800000,981800000,1205600000,522000000,318200000
65,Other Comprehensive Income/Loss,- -,- -,-31792000,-46523000,-68400000,300000,-600000,- -,-206600000,1800000,400000,-4000000,-12600000,-45300000,-20800000,6900000,28600000,100000,-7200000,-3800000
66,Other Total Stockholders Equity,41900000,- -,72519000,87250000,280300000,274100000,277800000,281800000,494100000,356900000,366900000,346600000,282500000,484400000,489700000,875100000,621300000,459700000,491000000,512400000
67,Total Stockholders Equity,41900000,- -,55754000,119870000,382200000,512500000,533800000,531000000,443300000,653400000,899300000,935000000,1001700000,1153300000,991900000,1650600000,1632600000,1666300000,1006700000,827700000
68,Total Liabilities And Stockholders Equity,234100000,- -,330102000,606160000,949400000,1237800000,1017200000,1223000000,1144600000,2230400000,2445000000,2649000000,2694700000,3124300000,2794500000,5621600000,5585100000,6847300000,6015700000,6608200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,178700000,185400000,196700000,200600000,190600000,313600000,175500000,169000000,118400000,119800000
70,Total Liabilities & Equity,234100000,- -,330102000,606160000,949400000,1237800000,1017200000,1223000000,1144600000,2230600000,2623700000,2834400000,2891400000,3324900000,2985100000,5935200000,5760600000,7016300000,6134100000,6728000000
71,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1694426/000169442618000036/0001694426-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442619000021/0001694426-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442620000011/0001694426-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442621000034/0001694426-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1694426/000169442622000048/0001694426-22-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-500000,- -,7333000,64116000,93000000,96400000,26500000,700000,-79900000,158300000,272800000,117700000,198600000,19400000,-153700000,288800000,340100000,310600000,-608000000,-203500000
74,Depreciation and Amortization,7400000,- -,13205000,18384000,27000000,38000000,40900000,52400000,61100000,74100000,82500000,89800000,111500000,134000000,116400000,153300000,199400000,203800000,278400000,- -
75,Deferred Income Tax,- -,- -,3943000,8866000,22800000,10300000,10000000,39800000,-4600000,57700000,15100000,38900000,37000000,17400000,-154400000,-49400000,-29000000,62100000,-32100000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,4000000,3100000,2700000,6200000,15000000,13900000,16800000,16400000,17500000,21400000,25800000,22800000,- -
77,Change in Working Capital,- -,- -,-8891000,84198000,103693000,-38200000,-127100000,-25000000,17500000,49000000,304700000,-30900000,60500000,-161100000,232600000,-521600000,816700000,-149400000,-211100000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-31300000,-28000000,-157100000,20500000,5800000,55400000,-36500000,-48100000,-155800000,112700000,-276700000,259700000,- -
79,Inventory,- -,- -,-2164000,14332000,-24800000,-32000000,59000000,-46900000,20900000,-166900000,46000000,-255600000,217000000,114000000,-53700000,-191100000,138700000,-417700000,244400000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,137200000,38900000,65300000,38900000,47100000,-117300000,-75800000,221000000,290900000,-128100000,565200000,-480300000,- -
81,Other Working Capital,700000,- -,-8191000,76007000,179700000,141500000,14400000,-10600000,6900000,55900000,360600000,329700000,390200000,229100000,461700000,-59900000,756800000,607400000,396300000,- -
82,Other Non-Cash Items,10600000,- -,9336000,-26896000,-136293000,73400000,78000000,65900000,73800000,-211700000,-218400000,-128000000,-104600000,153500000,210900000,443500000,-788300000,122300000,267100000,574900000
83,Cash Provided by Operating Activities,17500000,- -,24926000,148668000,110200000,179900000,28300000,137800000,71000000,130100000,462900000,102500000,316900000,180000000,268200000,332100000,560300000,575200000,-282900000,371400000
84,CAPEX,- -,- -,-6974000,-29186000,-97500000,-87700000,-102100000,-170000000,-57000000,-81000000,-132000000,-222300000,-256900000,-221300000,-47000000,-177500000,-323700000,-432900000,-272200000,- -
85,Acquisitions Net,- -,- -,-22150000,-109561000,-107300000,-74600000,- -,- -,- -,-105200000,-27400000,-23200000,-33800000,-241300000,-61600000,190400000,110600000,-260300000,8700000,- -
86,Purchases of Investments,- -,- -,- -,-26586000,-520200000,-3303200000,-472800000,- -,- -,-13000000,-4100000,- -,- -,-240900000,-61600000,-5800000,-200000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,473600000,3242500000,517200000,14300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-12100000,- -,1781000,3020000,- -,300000,18600000,52800000,12300000,3500000,4300000,1300000,1300000,235900000,350000000,12600000,86300000,-18000000,69400000,-178400000
89,Cash Used for Investing Activites,-12100000,- -,-27343000,-162313000,-251400000,-222700000,-39100000,-102900000,-44500000,-195700000,-159200000,-244200000,-289400000,-460400000,180500000,25200000,-125300000,-691300000,-191300000,-178400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-588800000,-915400000,-700600000,-793300000,-758000000,-1025400000,-650800000,-382900000,-1343400000,-2506100000,-1588000000,-1792800000,- -
