,https://roic.ai/company/GNK,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,1887000,116906000,133232000,185387000,405370000,379531000,448687000,392214000,226453000,227464000,- -,153959000,135586000,209698000,367522000,389496000,355560000,547129000
2,COGS,185000,19422000,25613000,32722000,52246000,62335000,83443000,109971000,260390000,260460000,- -,221821000,203193000,195183000,282792000,358255000,319880000,320872000
3,Gross Profit,1702000,97484000,107619000,152665000,353124000,317196000,365244000,282243000,-33937000,-32996000,- -,-67862000,-67607000,14515000,84730000,31241000,35680000,226257000
4,Gross Profit Ratio,0.9020,0.8339,0.8078,0.8235,0.8711,0.8358,0.8140,0.7196,-0.1499,-0.1451,- -,-0.4408,-0.4986,0.0692,0.2305,0.0802,0.1003,0.4135
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,140000,6416000,8882000,- -,19814000,18554000,29081000,33928000,35673000,34031000,- -,83902000,45174000,22190000,23141000,24516000,21266000,24454000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",140000,6416000,8882000,- -,19814000,18554000,29081000,33928000,35673000,34031000,- -,83902000,45174000,22190000,23141000,24516000,21266000,24454000
9,Other Expenses,421000,22322000,28417000,21595000,71395000,88150000,114872000,135676000,-265000,-121000,- -,- -,7972000,7659000,8000000,7567000,6961000,5612000
10,Operating Expenses,561000,28738000,37299000,21595000,91209000,106704000,143953000,169604000,35408000,33910000,- -,83902000,53146000,29849000,31141000,32083000,28227000,30066000
11,COGS and Expenses,746000,48160000,62912000,54317000,143455000,169039000,227396000,279575000,295798000,294370000,- -,305723000,256339000,225032000,313933000,390338000,348107000,350938000
12,Interest Income ,- -,- -,- -,- -,1757000,240000,685000,616000,378000,75000,- -,110000,204000,1551000,3801000,4095000,1028000,154000
13,Interest Expense (Gain),- -,- -,- -,- -,52589000,61796000,72650000,86722000,87558000,88216000,- -,20032000,28453000,30497000,33091000,31955000,22413000,15357000
14,Depreciation and Amortization,421000,22322000,26978000,34378000,71395000,88150000,115663000,136203000,139063000,140743000,112666000,79556000,76330000,71776000,68976000,72824000,66527000,57618000
15,EBITDA,1328000,76804000,90500000,141187000,210564000,298570000,331396000,249696000,82915000,83116000,- -,-93488000,-112265000,43548000,69127000,48794000,-136633000,254982000
16,EBITDA ratio,0.7038,0.6570,0.6793,0.7616,0.5194,0.7867,0.7386,0.6366,0.3661,0.3654,- -,-0.6072,-0.8280,0.2077,0.1881,0.1253,-0.3843,0.4660
17,Operating Income,1141000,68746000,70320000,131070000,234377000,210492000,221291000,112639000,-69345000,-66906000,- -,-192867000,-186476000,-29615000,516000,-28403000,-203337000,201115000
18,Operating Income ratio,0.6047,0.5880,0.5278,0.7070,0.5782,0.5546,0.4932,0.2872,-0.3062,-0.2941,- -,-1.2527,-1.3753,-0.1412,0.0014,-0.0729,-0.5719,0.3676
19,Total Other Income Expenses (Gains),- -,- -,108000,-1265000,-124503000,-312000,-72042000,-86186000,-87209000,-88217000,- -,-59680000,-30572000,-29110000,-33456000,-27582000,-22236000,-19070000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,149249000,26453000,-156554000,-155123000,- -,-252547000,-217048000,-58725000,-32940000,-55985000,-225573000,182045000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.3326,0.0674,-0.6913,-0.6820,- -,-1.6404,-1.6008,-0.2800,-0.0896,-0.1437,-0.6344,0.3327
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,1840000,1385000,1222000,1898000,- -,1821000,709000,- -,- -,- -,- -,- -
23,Net Income,907000,54482000,63522000,106809000,86580000,148624000,141243000,25386000,-144928000,-147741000,- -,-194897000,-217757000,-58725000,-32940000,-55985000,-225573000,182007000
24,Net Income ratio,0.4807,0.4660,0.4768,0.5761,0.2136,0.3916,0.3148,0.0647,-0.6400,-0.6495,- -,-1.2659,-1.6060,-0.2800,-0.0896,-0.1437,-0.6344,0.3327
25,EPS,0.70,29.10,25.10,40.80,28.60,47.50,42.80,7.20,-34.70,-34.20,- -,-29.60,-29.95,-1.71,-0.86,-1.34,-5.38,4.33
26,EPS Diluted,0.70,29.00,25.10,40.60,28.40,47.30,40.70,7.20,-34.70,-34.20,- -,-29.60,-29.95,-1.71,-0.86,-1.34,-5.38,4.27
27,Weighted Average Shares Outstanding,1350000,1875172,2527872,2616560,3029001,3129521,3298744,3517924,4172707,4324907,6583163,6583163,7251231,34242631,38382599,41762893,41907597,42060996
28,Weighted Average Shares Outstanding Diluted,1350000,1875519,2535129,2629752,3045285,3144506,3589137,3525820,4172707,4324907,6583163,6583163,7251231,34242631,38382599,41762893,41907597,42588871
