,https://roic.ai/company/RCMT,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17200000,18300000,22700000,27500000,23200000,26900000,28600000,29300000,26900000,61000000,114000000,201500000,313400000,296001276,224893800,186650616,206605188,- -,180618000,201900000,214200000,209300000,- -,162022000,143811000,145817000,170778000,- -,185736000,176448000,186737000,200352000,191100000,- -,150409000
2,COGS,14900000,16000000,19100000,22800000,19300000,22700000,24300000,23800000,22400000,48800000,86800000,153000000,236700000,217515660,162098191,139985755,162010502,- -,137936000,151400000,161200000,155300000,- -,115835000,103075000,106102000,126417000,- -,133851000,129418000,138350000,151042000,142508000,- -,111554000
3,Gross Profit,2300000,2300000,3600000,4700000,3900000,4200000,4300000,5500000,4500000,12200000,27200000,48500000,76700000,78485616,62795609,46664861,44594686,- -,42682000,50500000,53000000,54000000,- -,46187000,40736000,39715000,44361000,- -,51885000,47030000,48387000,49310000,48592000,- -,38855000
4,Gross Profit Ratio,0.1337,0.1257,0.1586,0.1709,0.1681,0.1561,0.1503,0.1877,0.1673,0.2000,0.2386,0.2407,0.2447,0.2652,0.2792,0.2500,0.2158,- -,0.2363,0.2501,0.2474,0.2580,- -,0.2851,0.2833,0.2724,0.2598,- -,0.2793,0.2665,0.2591,0.2461,0.2543,- -,0.2583
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,3500000,8900000,18100000,30500000,- -,54845757,43093799,- -,- -,- -,- -,41200000,41400000,52700000,- -,- -,- -,- -,- -,- -,- -,- -,40644000,40757000,40437000,- -,37551000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1900000,2500000,4100000,4900000,5500000,3800000,3400000,3800000,3500000,8900000,18100000,30500000,48100000,54845757,43093799,33320034,32557953,- -,35461000,41243523,41418000,52658000,- -,35825000,32578000,33166000,35514000,- -,42567000,40063000,40644000,40757000,40437000,- -,37791000
9,Other Expenses,100000,100000,100000,200000,200000,100000,100000,100000,100000,300000,600000,1500000,3000000,6648139,42410978,40986805,7914987,- -,1206000,1556477,682000,45342000,- -,1341000,1149000,1321000,1111000,- -,1467000,1569000,7463000,3138000,1588000,- -,12014000
10,Operating Expenses,2000000,2600000,4200000,5100000,5700000,3900000,3500000,3900000,3600000,9200000,18700000,32000000,51100000,61493896,85504777,74306839,40472940,- -,36667000,42800000,42100000,98000000,- -,37166000,33727000,34487000,36625000,- -,44034000,41632000,48107000,43895000,42025000,- -,49805000
11,COGS and Expenses,16900000,18600000,23300000,27900000,25000000,26600000,27800000,27700000,26000000,58000000,105500000,185000000,287800000,279009556,247602968,214292594,202483442,- -,174603000,194200000,203300000,253300000,- -,153001000,136802000,140589000,163042000,- -,177885000,171050000,186457000,194937000,184533000,- -,161359000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315334,297377,598504,- -,- -,- -,282951,126000,92000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),100000,100000,100000,- -,- -,- -,- -,100000,- -,200000,200000,200000,- -,3992911,2586473,770404,314491,- -,221000,539187,67000,322000,- -,61000,36000,40000,- -,- -,- -,528000,- -,- -,1756000,- -,778000
14,Depreciation and Amortization,100000,100000,100000,200000,200000,100000,100000,100000,100000,300000,600000,1500000,3000000,6648139,7417543,1279043,1223397,- -,1206000,1507723,1449000,2056000,- -,1383000,1149000,1321000,1111000,- -,1467000,1569000,1757000,1567000,1588000,- -,1386000
15,EBITDA,400000,-300000,-500000,-100000,-1600000,-700000,900000,1800000,1000000,3400000,8700000,18400000,27500000,-14876247,-14973411,-26714529,5477439,- -,7234000,9546910,12616000,-41980000,- -,9809000,8116000,6691000,3698000,- -,8621000,5399000,1512000,5475000,8166000,- -,-9893000
16,EBITDA ratio,0.0233,-0.0164,-0.0220,-0.0036,-0.0690,-0.0260,0.0315,0.0614,0.0372,0.0557,0.0763,0.0913,0.0877,-0.0503,-0.0666,-0.1431,0.0265,- -,0.0401,0.0473,0.0589,-0.2006,- -,0.0605,0.0564,0.0459,0.0217,- -,0.0464,0.0306,0.0081,0.0273,0.0427,- -,-0.0658
17,Operating Income,300000,-300000,-600000,-400000,-1800000,300000,800000,1600000,900000,3000000,8500000,16500000,25600000,16991720,-22709168,-27641978,4121746,- -,6016000,7757126,10116000,-44065000,- -,9021000,7009000,5228000,2555000,- -,7851000,4115000,280000,5415000,6567000,- -,-10950000
18,Operating Income ratio,0.0174,-0.0164,-0.0264,-0.0145,-0.0776,0.0112,0.0280,0.0546,0.0335,0.0492,0.0746,0.0819,0.0817,0.0574,-0.1010,-0.1481,0.0199,- -,0.0333,0.0384,0.0472,-0.2105,- -,0.0557,0.0487,0.0359,0.0150,- -,0.0423,0.0233,0.0015,0.0270,0.0344,- -,-0.0728
19,Total Other Income Expenses (Gains),-100000,-200000,-100000,100000,- -,-100000,- -,- -,- -,-100000,-200000,200000,-1100000,-42509017,-2268259,-154933,-182195,- -,-209000,-257126,984000,-335000,- -,-34000,-78000,102000,32000,- -,-697000,-813000,-525000,-1507000,-1745000,- -,-1107000
20,Income Before Tax,200000,-500000,-700000,-300000,-1800000,200000,800000,1600000,900000,2900000,8300000,16700000,24500000,-25517297,-24977427,-27796911,3939551,- -,5807000,7500000,11100000,-44400000,- -,8987000,6931000,5330000,2587000,- -,7154000,3302000,-245000,3908000,4822000,- -,-12057000
21,Income Before Tax Ratio,0.0116,-0.0273,-0.0308,-0.0109,-0.0776,0.0074,0.0280,0.0546,0.0335,0.0475,0.0728,0.0829,0.0782,-0.0862,-0.1111,-0.1489,0.0191,- -,0.0322,0.0371,0.0518,-0.2121,- -,0.0555,0.0482,0.0366,0.0151,- -,0.0385,0.0187,-0.0013,0.0195,0.0252,- -,-0.0802
22,Income Tax expense (Gain),100000,100000,100000,100000,100000,100000,100000,200000,100000,500000,3500000,6900000,9600000,-3620911,-6221458,-4628046,1160398,- -,2271000,1100000,4300000,-4558000,- -,2570000,2653000,2103000,597000,- -,1139000,1544000,-2255000,1193000,764000,- -,-3188000
23,Net Income,100000,-600000,-800000,-400000,-1900000,-900000,700000,1400000,800000,2400000,4400000,9800000,14900000,-21896386,-18755969,-24135930,2779153,- -,3536000,6400000,6800000,-39800000,- -,5795000,4278000,3227000,1990000,- -,6015000,1758000,2010000,2715000,4058000,- -,-8869000
