,https://roic.ai/company/CG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,1317800000,2798900000,2845300000,2973100000,4441200000,3880300000,3006200000,2274300000,3676200000,2427200000,2702500000,1876700000,5531800000
2,COGS,348400000,429000000,477900000,1100400000,2119800000,1970600000,1608200000,542900000,1251400000,623100000,- -,- -,- -
3,Gross Profit,969400000,2369900000,2367400000,1872700000,2321400000,1909700000,1398000000,1731400000,2424800000,1804100000,- -,- -,- -
4,Gross Profit Ratio,0.7356,0.8467,0.8320,0.6299,0.5227,0.4922,0.4650,0.7613,0.6596,0.7433,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,236600000,177200000,323500000,1183700000,1556800000,1659800000,1723000000,1460300000,1239700000,1437300000,494400000,349300000,431700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",236600000,177200000,323500000,1183700000,1556800000,1659800000,1723000000,1460300000,1239700000,1437300000,494400000,349300000,431700000
9,Other Expenses,-10700000,216500000,32000000,7100000,-16500000,-30300000,-7400000,31300000,-61300000,11100000,974700000,947400000,1072600000
10,Operating Expenses,225900000,393700000,355500000,1190800000,1540300000,1629500000,1715600000,1491600000,1178400000,1448400000,1469100000,1296700000,1504300000
11,COGS and Expenses,574300000,822700000,833400000,2291200000,3693900000,3775400000,3468400000,2242100000,2632300000,2071500000,- -,- -,- -
12,Interest Income ,31300000,251100000,513700000,787300000,888700000,885500000,891700000,164300000,214400000,315800000,289600000,301200000,322000000
13,Interest Expense (Gain),31300000,251100000,513700000,24600000,45500000,55700000,58000000,61300000,65500000,82200000,213900000,257500000,291800000
14,Depreciation and Amortization,28600000,24500000,83100000,107800000,163600000,192100000,322800000,72000000,41300000,46900000,65600000,52100000,52000000
15,EBITDA,1432400000,3347100000,3136500000,193100000,409400000,410400000,364500000,169700000,475800000,276900000,709400000,855000000,4300800000
16,EBITDA ratio,1.0870,1.1959,1.1023,0.0649,0.0922,0.1058,0.1212,0.0746,0.1294,0.1141,0.2625,0.4556,0.7775
17,Operating Income,712200000,1725100000,1498200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.5404,0.6163,0.5266,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-33800000,-245400000,-315400000,1758000000,696700000,887000000,864400000,13100000,88400000,4500000,- -,- -,- -
20,Income Before Tax,678400000,1479700000,1182800000,2439900000,1444000000,991900000,402200000,45300000,1132300000,360200000,1233400000,580000000,4027500000
21,Income Before Tax Ratio,0.5148,0.5287,0.4157,0.8207,0.3251,0.2556,0.1338,0.0199,0.3080,0.1484,0.4564,0.3091,0.7281
22,Income Tax expense (Gain),14800000,20300000,28500000,40400000,96200000,76800000,2100000,30000000,124900000,31300000,49000000,197200000,982300000
23,Net Income,1357700000,3051200000,2511200000,20300000,104100000,85800000,-18400000,6400000,244100000,116500000,380900000,348200000,2974700000
24,Net Income ratio,1.0303,1.0901,0.8826,0.0068,0.0234,0.0221,-0.0061,0.0028,0.0664,0.0480,0.1409,0.1855,0.5377
25,EPS,4.46,10.02,8.25,0.48,2.24,1.35,-0.22,0.08,2.58,0.89,3.05,0.99,8.55
26,EPS Diluted,2.28,5.01,4.46,0.41,2.05,1.23,-0.28,-0.08,2.38,0.82,2.82,0.97,8.35
27,Weighted Average Shares Outstanding,304500000,304500000,304500000,42562928,46135229,62788634,74523935,82714178,92136959,104198089,113082733,350464315,355954734
28,Weighted Average Shares Outstanding Diluted,304500000,304500000,304500000,259698987,278250489,68461157,298739382,308522990,100082548,113389443,122632889,358393802,364740675
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527166/000119312513107699/0001193125-13-107699-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000119312514070322/d633340d10k.htm,https://www.sec.gov/Archives/edgar/data/1527166/000162828015001092/cg201410-k.htm,https://www.sec.gov/Archives/edgar/data/1527166/000152716616000018/0001527166-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1610462/000155479517000002/0001554795-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716618000008/0001527166-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716619000008/0001527166-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716620000006/0001527166-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1527166/000152716621000010/0001527166-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1527166/000152716622000007/0001527166-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1346400000,1076200000,2213700000,2369300000,2793100000,2604200000,1432400000,1377700000,877100000,915800000,1136200000,2617300000
32,Short-Term Investments,- -,14458900000,22151300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15805300000,23227500000,2213700000,2369300000,2793100000,2604200000,1432400000,1377700000,877100000,915800000,1136200000,2617300000
34,Net Receivables,- -,565400000,574600000,522500000,912400000,1504100000,1032400000,356100000,307900000,576500000,348300000,361600000,518400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
