,https://roic.ai/company/ZZLL,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,9291881,20570280,32080684,37616276,24307739,30600427,38540310,39090912,- -,- -,- -,- -,5353,91019,277099,4508703
2,COGS,- -,9085700,19929896,30846517,36308486,23008756,29252793,37134094,37711292,- -,- -,- -,- -,2865,34808,142288,4266850
3,Gross Profit,- -,206181,640384,1234167,1307790,1298983,1347634,1406216,1379620,- -,- -,- -,- -,2488,56211,134811,241853
4,Gross Profit Ratio,- -,0.0222,0.0311,0.0385,0.0348,0.0534,0.0440,0.0365,0.0353,- -,- -,- -,- -,0.4648,0.6176,0.4865,0.0536
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1687677,1298752,1285542,- -,1526564,240758,364830,247239,242070,958022,178034,228588,610732
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66251
8,"Selling, General and Administrative Exp.",- -,325085,865218,1464876,1687677,1298752,1285542,1313978,1526564,240758,364830,247239,242070,958022,178034,228588,676983
9,Other Expenses,- -,- -,- -,39771,44205,27821,-37625,-18348,20229,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,325085,865218,1504647,1731882,1326573,1247917,1295630,1546793,240758,364830,247239,242070,958022,178034,228588,676983
11,COGS and Expenses,- -,9410785,20795114,32351164,38040368,24335329,30500710,38429724,39258085,240758,364830,247239,242070,960887,212842,370876,4943833
12,Interest Income ,- -,37,236,- -,- -,324,- -,- -,44,- -,- -,- -,- -,- -,- -,286,5
13,Interest Expense (Gain),- -,- -,- -,- -,33975,1230,736,1685,1745,15,- -,- -,199,- -,- -,7245,23378
14,Depreciation and Amortization,- -,-13225,-33186,-39771,44205,27821,21601,20407,20231,- -,- -,- -,- -,- -,240,27098,5762
15,EBITDA,- -,-131548,-253576,-307888,-246762,40386,72524,119976,-149499,-240758,-364829,-247239,-242070,-924556,-119177,486943,-357687
16,EBITDA ratio,- -,-0.0142,-0.0123,-0.0096,-0.0066,0.0017,0.0024,0.0031,-0.0038,-Infinity,-Infinity,-Infinity,-Infinity,-172.7174,-1.3094,1.7573,-0.0793
17,Operating Income,- -,-118904,-224834,-270480,-424092,27394,99717,110586,-136785,-240758,-364830,-247239,-242070,-955534,-121823,-93777,-435130
18,Operating Income ratio,- -,-0.0128,-0.0109,-0.0084,-0.0113,0.0011,0.0033,0.0029,-0.0035,-Infinity,-Infinity,-Infinity,-Infinity,-178.5044,-1.3384,-0.3384,-0.0965
19,Total Other Income Expenses (Gains),- -,581,4444,2363,99150,-81,4181,7987,12671,-15,131,- -,-199,3348,758,546377,48303
20,Income Before Tax,- -,-118323,-220390,-268117,-324942,27313,103898,118573,-124114,-240773,-364699,-247239,-242269,-952186,-121065,452600,-386827
21,Income Before Tax Ratio,- -,-0.0127,-0.0107,-0.0084,-0.0086,0.0011,0.0034,0.0031,-0.0032,-Infinity,-Infinity,-Infinity,-Infinity,-177.8789,-1.3301,1.6334,-0.0858
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,6176,24433,9111,19407,- -,- -,- -,- -,- -,1389,- -,- -
23,Net Income,- -,-118323,-220390,-268117,-324942,5159,25754,88773,-190882,-240773,-364699,-247239,-235737,-924556,-120806,452600,-386827
24,Net Income ratio,- -,-0.0127,-0.0107,-0.0084,-0.0086,0.0002,0.0008,0.0023,-0.0049,-Infinity,-Infinity,-Infinity,-Infinity,-172.7174,-1.3273,1.6334,-0.0858
25,EPS,- -,-3.50,-5.00,-5.00,-5.00,0.10,0.60,2.08,-4.46,-0.99,-1.00,-0.66,-0.38,-0.19,-0.01,0.02,-0.02
26,EPS Diluted,- -,-3.50,-5.00,-5.00,-5.00,0.10,0.60,2.08,-4.46,-0.99,-1.00,-0.66,-0.38,-0.19,-0.01,0.02,-0.02
27,Weighted Average Shares Outstanding,- -,33000,33027,43000,43867,42800,42800,42800,42800,242364,364438,374500,630743,5040092,20116352,20277448,20277448
28,Weighted Average Shares Outstanding Diluted,- -,33000,33027,43000,43986,42800,43377,42800,42800,242364,364438,374500,630743,5040092,20116352,20277448,20277448
