,https://roic.ai/company/RC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,24446501,16253895,49678836,57979217,117508000,144758000,148944000,136428000,253487000,383373000
2,COGS,- -,1387451,7094519,17259545,18849905,65591000,77009000,- -,- -,- -,- -
3,Gross Profit,- -,23059050,9159376,32419291,39129312,51917000,67749000,- -,- -,258636000,- -
4,Gross Profit Ratio,- -,0.9432,0.5635,0.6526,0.6749,0.4418,0.4680,- -,- -,1.0203,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,228359,2580480,3765784,30934727,30353000,61196000,63326000,61020000,98920000,118443000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,595000,- -,- -,2052000,1970000,3025000
8,"Selling, General and Administrative Exp.",- -,228359,2580480,3765784,30934727,30948000,61196000,63326000,63072000,100890000,121468000
9,Other Expenses,- -,2125195,7023609,10716204,19919817,40787000,24989000,58167000,-71072000,103293000,- -
10,Operating Expenses,- -,2353554,9604089,14481988,50854544,71735000,86185000,121493000,-8000000,204183000,- -
11,COGS and Expenses,- -,3741005,16698608,31741533,69704449,137326000,163194000,121493000,- -,- -,- -
12,Interest Income ,- -,9398319,26418327,41592747,37802556,137023000,138305000,169499000,229916000,258636000,403496000
13,Interest Expense (Gain),- -,1387451,7094519,17259545,18849905,57772000,74646000,109238000,151880000,175481000,213561000
14,Depreciation and Amortization,- -,- -,- -,154010,933812,615000,- -,- -,- -,33550000,- -
15,EBITDA,- -,21290724,13767626,43304529,22938482,117207000,119775000,169882000,214296000,262285000,400388000
16,EBITDA ratio,- -,0.8709,0.8470,0.8717,0.3956,0.9974,0.8274,1.1406,1.5708,1.0347,1.0444
17,Operating Income,- -,3829964,9719719,5339473,-31901893,-303000,-51828000,-121493000,- -,54453000,189057000
18,Operating Income ratio,- -,0.1567,0.5980,0.1075,-0.5502,-0.0026,-0.3580,-0.8157,- -,0.2148,0.4931
19,Total Other Income Expenses (Gains),- -,16435633,-2166254,23661261,34898090,65518000,99481000,184336000,- -,- -,- -
20,Income Before Tax,- -,20265597,7553465,29000734,2996197,65215000,47653000,62843000,64504000,54453000,189057000
21,Income Before Tax Ratio,- -,0.8290,0.4647,0.5838,0.0517,0.5550,0.3292,0.4219,0.4728,0.2148,0.4931
