,https://roic.ai/company/KIM-PL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,49900000,82600000,106800000,130300000,149800000,168144419,198929403,338797629,433880000,459407000,468616000,450829000,479664000,516967000,522545000,593880000,681553000,758704000,844329000,898876000,916288000,922304000,946673000,993897000,1166769000,1170792000,1200834000,1164762000,1158884000,1057893000,1364585000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216070000,236543000,252948000,256022000,246830000,246061000,258617000,304477000,298518000,311128000,328559000,- -,342969000,195029000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,542634000,607786000,645928000,660266000,675474000,700612000,735280000,862292000,872274000,889706000,836203000,1158884000,714924000,1169556000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7152,0.7198,0.7186,0.7206,0.7324,0.7401,0.7398,0.7390,0.7450,0.7409,0.7179,1.0000,0.6758,0.8571
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4200000,6900000,7900000,8500000,8800000,10333924,11651341,18582817,23833000,25691000,28980000,31904000,38657000,44611000,56803000,77683000,103882000,117879000,- -,- -,- -,124480000,127913000,122201000,122735000,117302000,118455000,87797000,96942000,93217000,104121000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4200000,6900000,7900000,8500000,8800000,10333924,11651341,18582817,23833000,25691000,28980000,31904000,38657000,44611000,56803000,77683000,103882000,117879000,- -,- -,- -,124480000,127913000,122201000,122735000,117302000,118455000,87797000,96942000,93217000,104121000
9,Other Expenses,-50700000,-63600000,-71300000,-89000000,-72100000,59625476,71814886,124051525,155397000,157405000,163635000,- -,- -,- -,- -,- -,- -,148191000,337820000,347675000,366486000,256373000,255793000,262956000,350602000,360883000,366441000,316633000,277879000,288955000,618202000
10,Operating Expenses,-46500000,-56700000,-63400000,-80500000,-63300000,69959400,83466227,142634342,179230000,183096000,192615000,- -,- -,- -,- -,- -,- -,266070000,337820000,347675000,366486000,380853000,383706000,385157000,473337000,478185000,484896000,404430000,374821000,382172000,722323000
11,COGS and Expenses,-46500000,-56700000,-63400000,-80500000,-63300000,69959400,83466227,142634342,179230000,183096000,192615000,122597000,126495000,133269000,137975000,161479000,479247000,482140000,574363000,600623000,622508000,627683000,629767000,643774000,777814000,776703000,796024000,732989000,681297000,725141000,917352000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33098000,21256000,16566000,2170000,16999000,966000,39061000,1478000,2809000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212591000,209879000,226388000,225035000,227595000,213911000,203759000,218891000,192549000,191956000,183339000,177395000,186904000,204133000
14,Depreciation and Amortization,10700000,16800000,19900000,23400000,26200000,27066709,30052714,51347612,67416000,71129000,74209000,76674000,89068000,102872000,108042000,144767000,191270000,206518000,227776000,247637000,251139000,262742000,257855000,273093000,344527000,355320000,360811000,310380000,277879000,288955000,395320000
