,https://roic.ai/company/EAST,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,74679,122320,64036,1055444,1702618,2108306,2610996,6123510,15596624,13721000,12890000
2,COGS,1555,9285,8216,494889,870390,1280344,1634069,3813309,10139663,9164000,9484000
3,Gross Profit,73124,113035,55820,560555,832228,827962,976927,2310201,5456961,4557000,3406000
4,Gross Profit Ratio,0.9792,0.9241,0.8717,0.5311,0.4888,0.3927,0.3742,0.3773,0.3499,0.3321,0.2642
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,83340,164084,137587,1366341,4373746,3881771,3546659,6225998,11538438,9209000,6777000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,1244152,2219168,4345210,7500501,3900000,2614000
8,"Selling, General and Administrative Exp.",83340,164084,137587,1366341,4373746,5125923,5765827,10571208,19038939,13109000,9391000
9,Other Expenses,82,- -,- -,- -,- -,- -,- -,- -,- -,-366000,419000
10,Operating Expenses,83422,164084,137587,1366341,4373746,5125923,5765827,10571208,19038939,12743000,9810000
11,COGS and Expenses,84977,173369,145803,1861230,5244136,6406267,7399896,14384517,29178602,21907000,19294000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),12360,14774,15210,- -,- -,862468,235053,789362,523391,1089000,1254000
14,Depreciation and Amortization,- -,- -,- -,5889,19277,21991,92016,364813,1696755,2286000,1237000
15,EBITDA,-10298,-42244,-71025,-4049782,-3581789,-4315160,-4950247,-7893494,-14687958,-6485000,-3563000
16,EBITDA ratio,-0.1379,-0.3454,-1.1091,-3.8370,-2.1037,-2.0467,-1.8959,-1.2890,-0.9417,-0.4726,-0.2764
17,Operating Income,-10298,-51049,-81767,-4051935,-3541518,-4297961,-4829875,-8261007,-13715157,-8186000,-6900000
18,Operating Income ratio,-0.1379,-0.4173,-1.2769,-3.8391,-2.0800,-2.0386,-1.8498,-1.3491,-0.8794,-0.5966,-0.5353
19,Total Other Income Expenses (Gains),-12360,-5969,-4468,-3736,-59548,-901658,-448042,-786662,-3192947,-1461000,846000
20,Income Before Tax,-22658,-57018,-86235,-4055671,-3601066,-5199619,-5277917,-9047669,-16908104,-9647000,-6054000
21,Income Before Tax Ratio,-0.3034,-0.4661,-1.3467,-3.8426,-2.1150,-2.4663,-2.0214,-1.4775,-1.0841,-0.7031,-0.4697
22,Income Tax expense (Gain),- -,- -,- -,1500,- -,- -,- -,- -,- -,- -,-1543000
23,Net Income,-22658,-57018,-86235,-4057171,-3601066,-5199619,-5277316,-9047669,-16908104,-9860000,-4511000
24,Net Income ratio,-0.3034,-0.4661,-1.3467,-3.8440,-2.1150,-2.4663,-2.0212,-1.4775,-1.0841,-0.7186,-0.3500
25,EPS,-0.11,-0.27,-0.60,-7.20,-4.80,-4.20,-1.42,-1.49,-1.82,-0.98,-0.45
26,EPS Diluted,-0.11,-0.27,-0.60,-7.20,-4.80,-4.20,-1.42,-1.49,-1.82,-0.98,-0.45
27,Weighted Average Shares Outstanding,211833,211833,250572,556232,762505,1247279,3717956,6074489,9275696,10027000,10027000
28,Weighted Average Shares Outstanding Diluted,211833,211833,250572,556232,762505,1247279,3717956,6074489,9275696,10027000,10027000
